Wavelength (nm)	A01 abs1 e
220.00	10.019
221.00	7.2979
222.00	6.6169
223.00	7.4690
224.00	8.8052
225.00	8.9038
226.00	9.5664
227.00	11.000
228.00	14.452
229.00	17.528
230.00	17.593
231.00	18.638
232.00	22.193
233.00	29.608
234.00	34.096
235.00	33.019
236.00	31.934
237.00	41.346
238.00	57.152
239.00	60.254
240.00	55.549
241.00	47.903
242.00	60.696
243.00	98.041
244.00	102.73
245.00	82.322
246.00	68.347
247.00	61.134
248.00	118.26
249.00	170.25
250.00	133.38
251.00	89.333
252.00	70.101
253.00	66.197
254.00	149.08
255.00	210.00
256.00	147.87
257.00	89.753
258.00	60.496
259.00	47.426
260.00	92.337
261.00	155.34
262.00	110.04
263.00	61.477
264.00	34.848
265.00	21.324
266.00	12.709
267.00	9.1339
268.00	10.562
269.00	10.881
270.00	6.9973
271.00	3.9943
272.00	2.3239
273.00	1.4696
274.00	1.1085
275.00	0.91332
276.00	0.75809
277.00	0.69660
278.00	0.57296
279.00	0.51270
280.00	0.42747
281.00	0.43565
282.00	0.39175
283.00	0.35490
284.00	0.38144
285.00	0.35109
286.00	0.37371
287.00	0.37640
288.00	0.36128
289.00	0.35802
290.00	0.35688
291.00	0.35378
292.00	0.37103
293.00	0.41045
294.00	0.36498
295.00	0.42165
296.00	0.46331
297.00	0.42120
298.00	0.48784
299.00	0.45424
300.00	0.52390
301.00	0.48952
302.00	0.55661
303.00	0.56523
304.00	0.51080
305.00	0.54507
306.00	0.48638
307.00	0.52043
308.00	0.57542
309.00	0.53958
310.00	0.56366
311.00	0.54921
312.00	0.57486
313.00	0.56825
314.00	0.56568
315.00	0.59233
316.00	0.51304
317.00	0.43206
318.00	0.56781
319.00	0.60533
320.00	0.59077
321.00	0.55313
322.00	0.56534
323.00	0.57374
324.00	0.58360
325.00	0.60891
326.00	0.55157
327.00	0.62425
328.00	0.51954
329.00	0.52267
330.00	0.60947
331.00	0.60992
332.00	0.65796
333.00	0.57229
334.00	0.55201
335.00	0.53533
336.00	0.59883
337.00	0.59838
338.00	0.63512
339.00	0.66547
340.00	0.62705
341.00	0.61193
342.00	0.63814
343.00	0.63859
344.00	0.65908
345.00	0.68496
346.00	0.68227
347.00	0.64598
348.00	0.66547
349.00	0.61821
350.00	0.67398
351.00	0.68182
352.00	0.76044
353.00	0.70556
354.00	0.64710
355.00	0.59345
356.00	0.53925
357.00	0.73659
358.00	0.87670
359.00	0.84108
360.00	0.73905
361.00	0.65763
362.00	0.66972
363.00	0.75361
364.00	0.76671
365.00	0.83604
366.00	0.71755
367.00	0.68272
368.00	0.76772
369.00	0.74275
370.00	0.77836
371.00	0.82294
372.00	0.81375
373.00	0.90817
374.00	0.69828
375.00	0.65852
376.00	0.80905
377.00	0.83817
378.00	0.82708
379.00	0.80614
380.00	0.77041
381.00	0.68283
382.00	0.73099
383.00	0.77847
384.00	0.75731
385.00	0.91948
386.00	0.80177
387.00	0.59637
388.00	0.64654
389.00	0.78329
390.00	0.89887
391.00	0.83884
392.00	0.66491
393.00	0.63198
394.00	0.69761
395.00	0.84366
396.00	0.78620
397.00	0.76694
398.00	0.58561
399.00	0.71497
400.00	0.78587
401.00	0.76335
402.00	0.78105
403.00	0.75428
404.00	0.83783
405.00	0.65662
406.00	0.63646
407.00	0.64788
408.00	0.68406
409.00	0.68193
410.00	0.82675
411.00	0.73894
412.00	0.60936
413.00	0.67756
414.00	0.66726
415.00	0.72158
416.00	0.84153
417.00	0.76459
418.00	0.74185
419.00	0.73256
420.00	0.62313
421.00	0.64732
422.00	0.80681
423.00	0.81499
424.00	0.77153
425.00	0.77847
426.00	0.69571
427.00	0.76391
428.00	0.74992
429.00	0.82484
430.00	0.73860
431.00	0.90223
432.00	0.83806
433.00	0.66076
434.00	0.61888
435.00	0.85116
436.00	0.77579
437.00	0.68025
438.00	0.77444
439.00	0.79684
440.00	0.78049
441.00	0.66390
442.00	0.71217
443.00	0.82417
444.00	0.75719
445.00	0.72180
446.00	0.71968
447.00	0.81286
448.00	0.81633
449.00	0.77455
450.00	0.69896
451.00	0.70512
452.00	0.77086
453.00	0.75742
454.00	0.80121
455.00	0.72796
456.00	0.77511
457.00	0.76369
458.00	0.70713
459.00	0.84220
460.00	0.89551
461.00	0.96126
462.00	0.89394
463.00	0.76167
464.00	0.72483
465.00	0.67622
466.00	0.84063
467.00	0.97918
468.00	0.84131
469.00	0.90985
470.00	0.82159
471.00	0.82428
472.00	0.68865
473.00	0.90850
474.00	0.87871
475.00	0.85945
476.00	0.75977
477.00	0.67387
478.00	0.79729
479.00	0.79662
480.00	0.73726
481.00	0.71676
482.00	0.74152
483.00	0.65684
484.00	0.64979
485.00	0.68861
486.00	0.75160
487.00	0.83160
488.00	0.96820
489.00	0.75216
490.00	0.64744
491.00	0.63355
492.00	0.79124
493.00	0.79628
494.00	0.80457
495.00	0.77299
496.00	0.74499
497.00	0.70220
498.00	0.81857
499.00	0.81275
500.00	0.92721
