Wavelength (nm)	591-50-4
210.00	0.49383
211.00	0.44194
212.00	0.41208
213.00	0.39675
214.00	0.39381
215.00	0.40017
216.00	0.41810
217.00	0.44315
218.00	0.47268
219.00	0.50526
220.00	0.54468
221.00	0.59406
222.00	0.65482
223.00	0.71365
224.00	0.75965
225.00	0.79867
226.00	0.85058
227.00	0.92311
228.00	0.98344
229.00	0.97282
230.00	0.90706
231.00	0.86482
232.00	0.88409
233.00	0.92738
234.00	0.88653
235.00	0.71133
236.00	0.48588
237.00	0.29776
238.00	0.17792
239.00	0.11303
240.00	0.079342
241.00	0.062314
242.00	0.053239
243.00	0.048138
244.00	0.046009
245.00	0.045633
246.00	0.046009
247.00	0.046572
248.00	0.046978
249.00	0.047314
250.00	0.048473
251.00	0.050508
252.00	0.051357
253.00	0.051648
254.00	0.051383
255.00	0.051202
256.00	0.051638
257.00	0.053277
258.00	0.053371
259.00	0.051917
260.00	0.049550
261.00	0.047533
262.00	0.046198
263.00	0.045578
264.00	0.045450
265.00	0.043675
266.00	0.041038
267.00	0.038500
268.00	0.036267
269.00	0.033897
270.00	0.031794
271.00	0.030232
272.00	0.028193
273.00	0.025365
274.00	0.023215
275.00	0.021709
276.00	0.019955
277.00	0.018069
278.00	0.016258
279.00	0.014234
280.00	0.012350
281.00	0.010854
282.00	0.0096010
283.00	0.0084857
284.00	0.0074624
285.00	0.0065874
286.00	0.0056137
287.00	0.0049176
288.00	0.0043167
289.00	0.0036573
290.00	0.0032443
291.00	0.0026163
292.00	0.0022740
293.00	0.0018882
294.00	0.0015482
295.00	0.0013007
296.00	0.0012259
297.00	0.00088876
298.00	0.00062268
299.00	0.00064414
300.00	0.00056260
301.00	0.00045960
302.00	0.00058120
303.00	0.00023644
304.00	0.00041478
305.00	0.00041383
306.00	0.00048392
307.00	0.00074523
308.00	0.00046819
309.00	0.00058549
310.00	0.00079101
311.00	0.00080674
312.00	0.00097650
313.00	0.00081061
314.00	0.00039850
315.00	0.00071451
316.00	0.00041480
317.00	0.00061471
318.00	0.00041386
319.00	0.00051751
320.00	0.00061618
321.00	0.00071765
322.00	0.00041810
323.00	0.00051666
324.00	0.00013494
325.00	0.00025462
326.00	0.00051511
327.00	0.00038617
328.00	0.00020217
329.00	0.00023412
330.00	0.00014066
331.00	0.00025272
332.00	0.00030183
333.00	0.00020122
334.00	0.00025272
335.00	0.00012683
336.00	0.00065361
337.00	0.00029563
338.00	0.00040531
339.00	0.00030517
340.00	0.00041532
341.00	0.00089639
342.00	0.00052642
343.00	0.00030660
344.00	0.00028371
345.00	0.00031089
346.00	0.00027131
347.00	0.00024175
348.00	0.00021505
349.00	0.00035238
350.00	0.00037288
351.00	0.00060075
352.00	0.00023412
353.00	0.00029897
354.00	0.00041437
355.00	0.00056743
356.00	0.00053548
357.00	0.00039100
358.00	0.00041770
359.00	0.00056409
360.00	0.00029277
361.00	0.00058678
362.00	0.00029039
363.00	0.00020456
364.00	0.00023317
365.00	0.00017738
366.00	0.00022697
367.00	0.00034141
368.00	0.00031757
369.00	0.00046539
370.00	0.00031661
371.00	0.00036954
372.00	0.00043931
373.00	0.00036811
374.00	0.00049093
375.00	0.00042676
376.00	0.00045728
377.00	0.00046539
378.00	0.00069188
379.00	0.00055742
380.00	0.00049781
381.00	0.00054073
382.00	0.00061988
383.00	0.00087785
384.00	0.00060129
385.00	0.00042819
386.00	0.00057172
387.00	0.00042581
388.00	0.00015354
389.00	0.00019597
390.00	0.00051736
391.00	0.00030898
392.00	0.00061416
393.00	0.00078916
394.00	0.00071859
395.00	0.00042295
396.00	0.00075817
397.00	0.00090694
398.00	0.00059986
399.00	0.00080299
400.00	0.00083398
401.00	0.00073861
402.00	0.00097513
403.00	0.00068282
404.00	0.00046205
405.00	0.00093603
406.00	0.00058936
407.00	0.00078344
408.00	0.00071000
409.00	0.00084733
410.00	0.00047445
411.00	0.00065421
412.00	0.0010886
413.00	0.00048684
414.00	0.00041723
415.00	0.00093603
416.00	0.00074148
417.00	0.00062131
418.00	0.00050640
419.00	0.00064420
420.00	0.00059699
421.00	0.00071573
422.00	0.0010333
423.00	0.00066041
424.00	0.00097942
425.00	0.00068569
426.00	0.00083541
427.00	0.00090122
428.00	0.00086259
429.00	0.00081157
430.00	0.00070810
431.00	0.00061654
432.00	0.00050544
433.00	0.00066661
434.00	0.00072479
435.00	0.00066995
436.00	0.00078344
437.00	0.0010023
438.00	0.00093459
439.00	0.00060129
440.00	0.00068902
441.00	0.00068282
442.00	0.00056838
443.00	0.00078821
444.00	0.00052070
445.00	0.00065851
446.00	0.00078821
447.00	0.00066900
448.00	0.00071668
449.00	0.00047254
450.00	0.00060367
451.00	0.00066900
452.00	0.00060653
453.00	0.00044774
