Wavelength (nm)	A36 abs e
220.00	7266.9
221.00	6835.1
222.00	6468.3
223.00	6185.8
224.00	5991.1
225.00	5856.9
226.00	5790.2
227.00	5788.6
228.00	5888.0
229.00	6078.5
230.00	6348.4
231.00	6703.3
232.00	7110.9
233.00	7590.2
234.00	8149.6
235.00	8807.5
236.00	9505.6
237.00	10272
238.00	11064
239.00	11877
240.00	12722
241.00	13555
242.00	14362
243.00	15152
244.00	15929
245.00	16660
246.00	17320
247.00	17915
248.00	18398
249.00	18806
250.00	19142
251.00	19331
252.00	19400
253.00	19360
254.00	19152
255.00	18867
256.00	18469
257.00	17967
258.00	17347
259.00	16653
260.00	15889
261.00	15065
262.00	14261
263.00	13451
264.00	12619
265.00	11813
266.00	11027
267.00	10288
268.00	9592.2
269.00	8917.9
270.00	8307.7
271.00	7758.8
272.00	7246.3
273.00	6767.4
274.00	6332.8
275.00	5929.4
276.00	5557.1
277.00	5213.8
278.00	4894.1
279.00	4593.0
280.00	4305.1
281.00	4034.8
282.00	3773.6
283.00	3523.4
284.00	3284.5
285.00	3055.9
286.00	2836.0
287.00	2633.2
288.00	2426.9
289.00	2230.4
290.00	2035.0
291.00	1844.5
292.00	1656.7
293.00	1472.7
294.00	1297.3
295.00	1133.5
296.00	979.42
297.00	841.82
298.00	717.43
299.00	610.24
300.00	513.83
301.00	438.54
302.00	368.04
303.00	318.55
304.00	277.77
305.00	244.67
306.00	217.43
307.00	192.14
308.00	183.65
309.00	177.06
310.00	170.11
311.00	167.62
312.00	161.30
313.00	160.73
314.00	163.85
315.00	168.07
316.00	171.91
317.00	172.74
318.00	173.90
319.00	175.01
320.00	179.45
321.00	183.67
322.00	194.15
323.00	193.34
324.00	192.01
325.00	197.47
326.00	196.03
327.00	200.26
328.00	198.49
329.00	208.37
330.00	205.25
331.00	199.76
332.00	201.82
333.00	201.02
334.00	207.23
335.00	204.78
336.00	204.12
337.00	201.66
338.00	192.98
339.00	195.71
340.00	203.28
341.00	201.40
342.00	200.88
343.00	192.65
344.00	192.78
345.00	191.32
346.00	187.94
347.00	183.39
348.00	184.39
349.00	177.21
350.00	172.31
351.00	170.79
352.00	164.77
353.00	151.01
354.00	151.47
355.00	153.31
356.00	144.86
357.00	142.75
358.00	138.27
359.00	139.51
360.00	140.59
361.00	145.08
362.00	135.10
363.00	122.74
364.00	114.91
365.00	112.02
366.00	101.16
367.00	106.72
368.00	102.98
369.00	98.921
370.00	73.056
371.00	80.305
372.00	78.680
373.00	80.918
374.00	79.377
375.00	72.900
376.00	72.786
377.00	62.456
378.00	57.330
379.00	62.739
380.00	65.604
381.00	66.862
382.00	60.927
383.00	59.919
384.00	47.121
385.00	40.186
386.00	45.871
387.00	44.895
388.00	50.750
389.00	48.785
390.00	44.276
391.00	29.456
392.00	40.855
393.00	42.507
394.00	41.467
395.00	38.459
396.00	40.909
397.00	38.890
398.00	38.595
399.00	38.012
400.00	37.611
