Wavelength (nm)	C04 ems
510.00	2138.4
511.00	2266.0
512.00	3148.3
513.00	3522.7
514.00	4099.4
515.00	5072.1
516.00	5656.5
517.00	7253.4
518.00	8318.0
519.00	10267
520.00	12096
521.00	14305
522.00	16037
523.00	19362
524.00	21941
525.00	25224
526.00	28124
527.00	31203
528.00	34389
529.00	37649
530.00	39918
531.00	42613
532.00	44152
533.00	45776
534.00	46939
535.00	47414
536.00	47644
537.00	47004
538.00	47010
539.00	46116
540.00	44210
541.00	42966
542.00	42616
543.00	41080
544.00	39644
545.00	37622
546.00	36169
547.00	34752
548.00	33779
549.00	32085
550.00	30896
551.00	29949
552.00	29197
553.00	27847
554.00	27339
555.00	26874
556.00	26406
557.00	26279
558.00	26061
559.00	25606
560.00	25743
561.00	25763
562.00	26016
563.00	26749
564.00	27211
565.00	28273
566.00	28285
567.00	29829
568.00	30492
569.00	31858
570.00	32516
571.00	34411
572.00	35352
573.00	37273
574.00	38786
575.00	40089
576.00	41536
577.00	43411
578.00	44223
579.00	45414
580.00	46796
581.00	47251
582.00	47733
583.00	47252
584.00	47441
585.00	46924
586.00	46473
587.00	45768
588.00	44685
589.00	43873
590.00	42802
591.00	42035
592.00	41302
593.00	40615
594.00	39629
595.00	38643
596.00	37705
597.00	37095
598.00	35984
599.00	35152
600.00	34714
601.00	34011
602.00	32942
603.00	32023
604.00	31582
605.00	30983
606.00	30553
607.00	29169
608.00	28958
609.00	28576
610.00	28302
611.00	27543
612.00	27271
613.00	26759
614.00	26088
615.00	26247
616.00	26146
617.00	25964
618.00	25424
619.00	25333
620.00	25562
621.00	25179
622.00	25042
623.00	25593
624.00	25048
625.00	25146
626.00	24978
627.00	25421
628.00	25377
629.00	24849
630.00	24937
631.00	24740
632.00	24545
633.00	24608
634.00	24065
635.00	23813
636.00	23326
637.00	23440
638.00	22633
639.00	22474
640.00	22274
641.00	22314
642.00	21432
643.00	21315
644.00	20390
645.00	20283
646.00	20096
647.00	19130
648.00	18937
649.00	18178
650.00	17937
651.00	17785
652.00	17064
653.00	16482
654.00	16463
655.00	15772
656.00	15675
657.00	15182
658.00	15019
659.00	14843
660.00	13889
661.00	13438
662.00	13351
663.00	13161
664.00	12516
665.00	12830
666.00	11873
667.00	11419
668.00	11271
669.00	11134
670.00	11159
671.00	10440
672.00	10096
673.00	10274
674.00	9817.5
675.00	9650.8
676.00	9125.5
677.00	9552.5
678.00	9342.4
679.00	8569.6
680.00	8381.7
681.00	8338.1
682.00	8146.0
683.00	7377.8
684.00	7703.8
685.00	7081.0
686.00	7577.2
687.00	6844.7
688.00	6630.2
689.00	6602.1
690.00	6594.9
691.00	6526.4
692.00	6209.2
693.00	5867.3
694.00	5794.4
695.00	6092.8
696.00	5695.6
697.00	5838.8
698.00	5381.4
699.00	5123.0
700.00	5025.7
701.00	4767.1
702.00	5150.6
703.00	4764.8
704.00	4158.3
705.00	3973.7
706.00	4585.7
707.00	4237.2
708.00	4080.6
709.00	3778.3
710.00	3779.8
711.00	3199.8
712.00	3541.8
713.00	3283.5
714.00	3242.3
715.00	3318.3
716.00	2646.4
717.00	3045.0
718.00	2841.2
719.00	3058.7
720.00	2765.8
721.00	2643.3
722.00	2900.8
723.00	2389.4
724.00	2598.1
725.00	2672.8
726.00	2479.3
727.00	2075.7
728.00	1884.9
729.00	2088.3
730.00	1623.2
731.00	2219.0
732.00	1763.2
733.00	1782.6
734.00	1836.9
735.00	1333.8
736.00	994.32
737.00	1011.5
738.00	1260.2
739.00	759.85
740.00	643.55
741.00	823.04
742.00	748.67
743.00	446.69
744.00	899.29
745.00	835.83
746.00	818.01
747.00	1069.7
748.00	882.25
749.00	707.95
750.00	598.44
