Wavelength (nm)	C06 abs e
220.00	12331
221.00	13691
222.00	15141
223.00	16405
224.00	17508
225.00	18640
226.00	20064
227.00	22591
228.00	26410
229.00	30302
230.00	35187
231.00	41434
232.00	44571
233.00	42454
234.00	39539
235.00	38492
236.00	39896
237.00	46034
238.00	54127
239.00	59435
240.00	68969
241.00	81675
242.00	75997
243.00	52881
244.00	32776
245.00	20793
246.00	14452
247.00	11278
248.00	10010
249.00	9868.7
250.00	10426
251.00	11374
252.00	12123
253.00	12200
254.00	11628
255.00	11018
256.00	11040
257.00	11889
258.00	13716
259.00	16564
260.00	20083
261.00	23620
262.00	26182
263.00	25896
264.00	22119
265.00	18018
266.00	15492
267.00	14878
268.00	16877
269.00	20550
270.00	24223
271.00	29416
272.00	41115
273.00	51915
274.00	44598
275.00	27390
276.00	15273
277.00	9021.3
278.00	5952.0
279.00	4400.0
280.00	3592.8
281.00	3199.6
282.00	3001.8
283.00	2898.7
284.00	2858.8
285.00	2837.4
286.00	2862.9
287.00	2961.2
288.00	3100.6
289.00	3234.3
290.00	3475.5
291.00	3850.2
292.00	4233.4
293.00	4541.1
294.00	4742.1
295.00	4782.4
296.00	4746.1
297.00	4702.1
298.00	4718.9
299.00	4895.2
300.00	5329.8
301.00	6070.0
302.00	7057.6
303.00	8408.8
304.00	10170
305.00	11615
306.00	12155
307.00	11941
308.00	11261
309.00	10309
310.00	9386.8
311.00	8841.7
312.00	9007.8
313.00	10097
314.00	11897
315.00	13948
316.00	16525
317.00	20900
318.00	26441
319.00	30295
320.00	30744
321.00	27893
322.00	23448
323.00	18999
324.00	15011
325.00	12126
326.00	10625
327.00	10199
328.00	11279
329.00	15001
330.00	20288
331.00	23396
332.00	24653
333.00	29906
334.00	42434
335.00	54000
336.00	50039
337.00	34575
338.00	20466
339.00	11960
340.00	7441.4
341.00	4805.0
342.00	3206.2
343.00	2255.1
344.00	1735.8
345.00	1381.3
346.00	1074.9
347.00	897.59
348.00	808.37
349.00	766.57
350.00	777.79
351.00	810.43
352.00	762.10
353.00	664.39
354.00	589.33
355.00	533.08
356.00	557.92
357.00	605.98
358.00	558.87
359.00	466.61
360.00	418.50
361.00	485.10
362.00	541.95
363.00	521.98
364.00	475.21
365.00	465.20
366.00	441.31
367.00	410.04
368.00	369.83
369.00	345.93
370.00	313.92
371.00	310.20
372.00	318.66
373.00	308.10
374.00	286.30
375.00	266.54
376.00	258.28
377.00	252.12
378.00	229.18
379.00	242.31
380.00	242.31
381.00	232.09
382.00	239.67
383.00	220.72
384.00	228.57
385.00	243.12
386.00	248.27
387.00	240.28
388.00	258.96
389.00	262.07
390.00	278.59
391.00	295.10
392.00	291.99
393.00	295.58
394.00	283.39
395.00	298.76
396.00	294.09
397.00	305.66
398.00	298.49
399.00	280.01
400.00	276.22
