Wavelength (nm)	D07 abs e
290.00	12388
290.25	12447
290.50	12464
290.75	12624
291.00	12607
291.25	12693
291.50	12744
291.75	12810
292.00	12867
292.25	12908
292.50	12952
292.75	12929
293.00	12981
293.25	12972
293.50	13105
293.75	13164
294.00	13168
294.25	13208
294.50	13219
294.75	13235
295.00	13225
295.25	13254
295.50	13338
295.75	13384
296.00	13430
296.25	13454
296.50	13496
296.75	13456
297.00	13467
297.25	13560
297.50	13594
297.75	13561
298.00	13575
298.25	13592
298.50	13539
298.75	13590
299.00	13583
299.25	13612
299.50	13662
299.75	13614
300.00	13601
300.25	13626
300.50	13639
300.75	13622
301.00	13595
301.25	13575
301.50	13555
301.75	13524
302.00	13478
302.25	13456
302.50	13405
302.75	13411
303.00	13457
303.25	13322
303.50	13310
303.75	13305
304.00	13178
304.25	13186
304.50	13222
304.75	13078
305.00	13072
305.25	13033
305.50	13015
305.75	12903
306.00	12836
306.25	12817
306.50	12795
306.75	12691
307.00	12624
307.25	12547
307.50	12459
307.75	12427
308.00	12357
308.25	12279
308.50	12278
308.75	12115
309.00	12067
309.25	12052
309.50	11994
309.75	11925
310.00	11846
310.25	11567
310.50	11712
310.75	11524
311.00	11368
311.25	11411
311.50	11462
311.75	11040
312.00	11077
312.25	11152
312.50	11177
312.75	11103
313.00	10874
313.25	10803
313.50	10925
313.75	10711
314.00	10541
314.25	10593
314.50	10466
314.75	10177
315.00	10102
315.25	10358
315.50	10140
315.75	9965.2
316.00	9926.6
316.25	9713.2
316.50	9701.6
316.75	9509.9
317.00	9160.0
317.25	9317.1
317.50	9302.0
317.75	9152.7
318.00	9156.9
318.25	8919.8
318.50	9008.6
318.75	8805.3
319.00	8649.1
319.25	8615.8
319.50	8508.6
319.75	8325.2
320.00	8389.0
320.25	8100.9
320.50	8294.9
320.75	8248.2
321.00	8096.1
321.25	7928.1
321.50	7864.3
321.75	8037.3
322.00	7761.8
322.25	7794.1
322.50	7683.4
322.75	7590.8
323.00	7217.2
323.25	7410.9
323.50	7169.0
323.75	7244.2
324.00	7186.9
324.25	7080.9
324.50	6958.3
324.75	6946.2
325.00	6872.1
325.25	6717.4
325.50	6739.1
325.75	6600.4
326.00	6630.9
326.25	6430.3
326.50	6486.8
326.75	6472.5
327.00	6338.5
327.25	6171.5
327.50	6235.6
327.75	6019.9
328.00	6072.1
328.25	5906.8
328.50	5950.7
328.75	5802.9
329.00	5756.5
329.25	5725.0
329.50	5959.6
329.75	5527.2
330.00	5496.4
330.25	5344.0
330.50	5607.1
330.75	5507.2
331.00	5250.7
331.25	5245.1
331.50	5133.6
331.75	5336.4
332.00	5081.1
332.25	5114.9
332.50	5037.7
332.75	5035.7
333.00	5003.4
333.25	4861.7
333.50	4806.4
333.75	4853.1
334.00	4810.2
334.25	4679.5
334.50	4685.8
334.75	4572.8
335.00	4647.5
335.25	4657.3
335.50	4685.6
335.75	4516.3
336.00	4495.1
336.25	4371.0
336.50	4467.1
336.75	4307.7
337.00	4380.6
337.25	4325.8
337.50	4333.9
337.75	4219.9
338.00	4326.8
338.25	4285.2
338.50	4123.2
338.75	4151.7
339.00	4080.4
339.25	4041.2
339.50	3979.2
339.75	4093.7
340.00	4044.8
340.25	4046.8
340.50	3841.2
340.75	3974.6
341.00	3921.9
341.25	3905.0
341.50	3854.1
341.75	3876.0
342.00	3827.8
342.25	3721.6
342.50	3775.8
342.75	3831.1
343.00	3868.4
343.25	3832.4
343.50	3660.1
343.75	3760.0
344.00	3794.3
344.25	3588.4
344.50	3764.0
344.75	3603.0
345.00	3808.4
345.25	3780.1
345.50	3770.0
345.75	3704.5
346.00	3777.1
346.25	3692.1
346.50	3693.9
346.75	3775.1
347.00	3718.8
347.25	3693.4
347.50	3641.6
347.75	3681.0
348.00	3673.4
348.25	3738.5
348.50	3767.0
348.75	3703.2
349.00	3812.7
349.25	3792.8
349.50	3811.9
349.75	3809.7
350.00	3687.3
350.25	3786.7
350.50	3829.1
350.75	3878.8
351.00	3901.5
351.25	3849.5
351.50	3924.2
351.75	3930.5
352.00	3953.5
352.25	3931.3
352.50	3978.2
352.75	4050.1
353.00	4038.0
353.25	4142.9
353.50	4226.9
353.75	4009.2
354.00	4187.8
354.25	4176.7
354.50	4180.8
354.75	4279.9
355.00	4318.8
355.25	4411.6
355.50	4380.6
355.75	4372.5
356.00	4411.6
356.25	4504.9
356.50	4529.4
356.75	4467.1
357.00	4565.7
357.25	4589.4
357.50	4725.4
357.75	4727.9
358.00	4795.3
358.25	4702.5
358.50	4991.3
358.75	5024.6
359.00	5018.1
359.25	5143.2
359.50	5073.6
359.75	5194.4
360.00	5243.4
360.25	5194.2
360.50	5257.0
360.75	5310.2
361.00	5386.9
361.25	5510.5
361.50	5564.0
361.75	5689.4
362.00	5695.4
362.25	5760.8
362.50	5653.8
362.75	5772.4
363.00	5825.6
363.25	5983.8
363.50	5958.6
363.75	6172.5
364.00	6165.7
364.25	6140.5
364.50	6177.3
364.75	6264.8
365.00	6329.7
365.25	6440.9
365.50	6483.3
365.75	6489.9
366.00	6627.9
366.25	6706.1
366.50	6741.4
366.75	6751.7
367.00	6893.5
367.25	7059.5
367.50	7027.2
367.75	7140.2
368.00	7199.3
368.25	7257.5
368.50	7314.8
368.75	7363.8
369.00	7492.9
369.25	7599.1
369.50	7592.6
369.75	7731.1
370.00	7764.4
370.25	7817.6
370.50	7928.9
370.75	7917.3
371.00	8035.6
371.25	8156.2
371.50	8231.8
371.75	8292.4
372.00	8343.3
372.25	8449.6
372.50	8552.7
372.75	8748.8
373.00	8739.7
373.25	8747.0
373.50	8865.1
373.75	9020.2
374.00	9007.3
374.25	9001.3
374.50	9109.8
374.75	9177.6
375.00	9060.1
375.25	9344.9
375.50	9392.6
375.75	9498.8
376.00	9601.7
376.25	9796.5
376.50	9816.9
376.75	10032
377.00	10155
377.25	10102
377.50	10204
377.75	10323
378.00	10382
378.25	10411
378.50	10617
378.75	10692
379.00	10790
379.25	10820
379.50	10918
379.75	11062
380.00	11160
380.25	11268
380.50	11323
380.75	11272
381.00	11564
381.25	11568
381.50	11784
381.75	11817
382.00	11919
382.25	12075
382.50	12123
382.75	12212
383.00	12255
383.25	12409
383.50	12407
383.75	12555
384.00	12706
384.25	12811
384.50	12837
384.75	13008
385.00	13128
385.25	13273
385.50	13269
385.75	13448
386.00	13618
386.25	13645
386.50	13636
386.75	13948
387.00	13950
387.25	14114
387.50	14167
387.75	14250
388.00	14383
388.25	14418
388.50	14629
388.75	14710
389.00	14777
389.25	14979
389.50	15076
389.75	15123
390.00	15260
390.25	15373
390.50	15506
390.75	15533
391.00	15582
391.25	15810
391.50	15961
391.75	16015
392.00	16043
392.25	16249
392.50	16357
392.75	16382
393.00	16516
393.25	16497
393.50	16617
393.75	16838
394.00	16938
394.25	17039
394.50	17074
394.75	17223
