Wavelength (nm)	E22 abs e
220.00	13904
220.25	13874
220.50	13840
220.75	13854
221.00	13957
221.25	13915
221.50	13875
221.75	13853
222.00	13832
222.25	13929
222.50	13975
222.75	13957
223.00	13920
223.25	13999
223.50	13926
223.75	13936
224.00	13928
224.25	13979
224.50	14030
224.75	13960
225.00	14019
225.25	14009
225.50	13998
225.75	13983
226.00	13937
226.25	13934
226.50	13975
226.75	13990
227.00	14014
227.25	13944
227.50	13949
227.75	13908
228.00	13945
228.25	13820
228.50	13853
228.75	13827
229.00	13802
229.25	13782
229.50	13786
229.75	13754
230.00	13730
230.25	13624
230.50	13654
230.75	13519
231.00	13538
231.25	13506
231.50	13380
231.75	13426
232.00	13335
232.25	13270
232.50	13177
232.75	13102
233.00	13001
233.25	12969
233.50	12912
233.75	12821
234.00	12698
234.25	12608
234.50	12481
234.75	12328
235.00	12214
235.25	12034
235.50	11859
235.75	11671
236.00	11513
236.25	11337
236.50	11184
236.75	10962
237.00	10752
237.25	10548
237.50	10322
237.75	10087
238.00	9865.2
238.25	9621.8
238.50	9373.4
238.75	9123.0
239.00	8820.8
239.25	8563.0
239.50	8295.2
239.75	8041.7
240.00	7755.8
240.25	7481.8
240.50	7205.3
240.75	6942.1
241.00	6680.6
241.25	6423.2
241.50	6172.1
241.75	5926.6
242.00	5724.6
242.25	5476.9
242.50	5235.8
242.75	5076.3
243.00	4848.3
243.25	4680.7
243.50	4480.3
243.75	4305.2
244.00	4152.3
244.25	3981.5
244.50	3822.3
244.75	3684.1
245.00	3556.4
245.25	3400.8
245.50	3333.8
245.75	3226.5
246.00	3102.1
246.25	3016.4
246.50	2937.7
246.75	2857.3
247.00	2797.7
247.25	2737.5
247.50	2657.9
247.75	2569.5
248.00	2548.9
248.25	2490.4
248.50	2459.8
248.75	2404.2
249.00	2371.5
249.25	2361.7
249.50	2277.7
249.75	2314.4
250.00	2278.5
250.25	2246.9
250.50	2190.5
250.75	2165.7
251.00	2183.9
251.25	2158.7
251.50	2146.4
251.75	2168.3
252.00	2159.1
252.25	2146.1
252.50	2129.7
252.75	2113.6
253.00	2113.9
253.25	2095.8
253.50	2117.5
253.75	2116.0
254.00	2129.8
254.25	2164.7
254.50	2130.8
254.75	2137.3
255.00	2149.9
255.25	2129.8
255.50	2102.9
255.75	2127.0
256.00	2124.8
256.25	2162.0
256.50	2173.8
256.75	2178.4
257.00	2175.5
257.25	2182.1
257.50	2167.4
257.75	2154.6
258.00	2155.9
258.25	2203.1
258.50	2218.3
258.75	2218.9
259.00	2202.4
259.25	2213.3
259.50	2226.2
259.75	2209.2
260.00	2187.4
260.25	2229.0
260.50	2205.9
260.75	2213.7
261.00	2235.4
261.25	2239.9
261.50	2247.0
261.75	2232.5
262.00	2221.8
262.25	2217.1
262.50	2206.1
262.75	2229.7
263.00	2196.8
263.25	2208.9
263.50	2227.8
263.75	2223.2
264.00	2183.9
264.25	2190.5
264.50	2177.0
264.75	2183.0
265.00	2163.4
265.25	2166.1
265.50	2178.8
265.75	2167.8
266.00	2159.7
266.25	2148.0
266.50	2120.0
266.75	2116.9
267.00	2111.5
267.25	2107.7
267.50	2089.8
267.75	2090.9
268.00	2071.2
268.25	2031.5
268.50	2052.0
268.75	2025.1
269.00	2022.9
