Wavelength (nm)	F08 abs e
235.00	5480.1
235.25	5450.1
235.50	5398.1
235.75	5340.5
236.00	5313.1
236.25	5259.4
236.50	5235.3
236.75	5197.6
237.00	5146.8
237.25	5127.0
237.50	5084.1
237.75	5065.2
238.00	5010.8
238.25	4973.7
238.50	4953.0
238.75	4932.3
239.00	4883.8
239.25	4847.3
239.50	4818.5
239.75	4789.0
240.00	4739.4
240.25	4729.9
240.50	4705.2
240.75	4679.9
241.00	4648.3
241.25	4623.6
241.50	4599.6
241.75	4555.2
242.00	4553.9
242.25	4530.0
242.50	4514.7
242.75	4475.8
243.00	4478.4
243.25	4435.0
243.50	4416.4
243.75	4406.8
244.00	4397.4
244.25	4376.4
244.50	4358.1
244.75	4336.8
245.00	4332.8
245.25	4313.1
245.50	4307.6
245.75	4302.8
246.00	4293.3
246.25	4295.8
246.50	4273.7
246.75	4271.1
247.00	4276.5
247.25	4267.6
247.50	4257.7
247.75	4266.4
248.00	4271.3
248.25	4274.5
248.50	4279.8
248.75	4296.8
249.00	4280.9
249.25	4294.6
249.50	4310.4
249.75	4325.1
250.00	4340.6
250.25	4346.9
250.50	4364.9
250.75	4372.7
251.00	4420.0
251.25	4407.8
251.50	4434.1
251.75	4461.0
252.00	4477.8
252.25	4512.3
252.50	4545.7
252.75	4563.4
253.00	4593.5
253.25	4617.3
253.50	4646.9
253.75	4670.7
254.00	4702.7
254.25	4750.9
254.50	4774.3
254.75	4790.5
255.00	4810.1
255.25	4843.3
255.50	4859.7
255.75	4932.0
256.00	4939.3
256.25	4982.0
256.50	5017.4
256.75	5055.0
257.00	5109.1
257.25	5132.8
257.50	5189.6
257.75	5239.5
258.00	5272.4
258.25	5299.7
258.50	5326.7
258.75	5366.6
259.00	5408.6
259.25	5438.4
259.50	5487.2
259.75	5528.3
260.00	5576.6
260.25	5596.9
260.50	5636.0
260.75	5665.7
261.00	5709.1
261.25	5728.4
261.50	5768.4
261.75	5802.9
262.00	5804.5
262.25	5857.2
262.50	5883.9
262.75	5916.2
263.00	5915.6
263.25	5950.4
263.50	5968.2
263.75	5978.7
264.00	5999.3
264.25	6018.1
264.50	6019.6
264.75	6037.8
265.00	6023.2
265.25	6030.2
265.50	6068.3
265.75	6056.6
266.00	6064.3
266.25	6081.4
266.50	6088.8
266.75	6100.0
267.00	6058.0
267.25	6045.5
267.50	6062.1
267.75	6050.3
268.00	6026.0
268.25	6014.2
268.50	5997.1
268.75	5973.0
269.00	5963.7
269.25	5936.0
269.50	5918.3
269.75	5865.1
270.00	5830.6
270.25	5833.1
270.50	5776.2
270.75	5706.7
271.00	5682.0
271.25	5631.8
271.50	5585.4
271.75	5548.4
272.00	5468.2
272.25	5439.2
272.50	5382.6
272.75	5316.9
273.00	5283.5
273.25	5238.0
273.50	5164.0
273.75	5105.3
274.00	5038.9
274.25	4979.4
274.50	4909.6
274.75	4839.3
275.00	4729.0
275.25	4654.9
275.50	4560.2
275.75	4457.3
276.00	4371.5
276.25	4282.7
276.50	4209.4
276.75	4129.1
277.00	4054.4
277.25	3966.3
277.50	3893.6
277.75	3801.2
278.00	3719.0
278.25	3654.4
278.50	3590.2
278.75	3496.0
279.00	3412.5
279.25	3355.3
279.50	3273.4
279.75	3195.1
280.00	3126.3
280.25	3028.3
280.50	2961.2
280.75	2862.3
281.00	2772.5
281.25	2693.4
281.50	2605.2
281.75	2539.6
282.00	2433.2
282.25	2347.4
282.50	2254.0
282.75	2160.3
283.00	2082.7
283.25	1976.0
283.50	1888.9
283.75	1836.3
284.00	1742.1
284.25	1647.0
284.50	1568.4
284.75	1482.9
285.00	1425.8
285.25	1345.5
285.50	1271.7
285.75	1201.0
286.00	1142.5
286.25	1087.4
286.50	1019.5
286.75	970.16
287.00	905.20
287.25	856.99
287.50	808.78
287.75	773.14
288.00	711.78
288.25	683.64
288.50	647.00
288.75	609.79
289.00	581.23
289.25	539.07
289.50	513.19
289.75	491.74
290.00	460.04
290.25	431.03
290.50	399.04
290.75	383.46
291.00	373.57
291.25	353.45
291.50	331.29
291.75	313.62
292.00	294.54
292.25	286.63
292.50	258.37
292.75	253.25
293.00	234.53
293.25	235.23
293.50	225.81
293.75	208.48
294.00	198.94
294.25	200.92
294.50	182.25
294.75	166.37
295.00	164.69
295.25	171.20
295.50	173.06
295.75	148.00
296.00	152.18
296.25	132.59
296.50	137.30
296.75	132.24
297.00	122.99
297.25	118.34
297.50	106.59
297.75	106.19
298.00	113.11
298.25	108.28
298.50	109.38
298.75	115.03
299.00	119.44
299.25	104.73
299.50	100.84
299.75	86.589
300.00	83.798
300.25	79.727
300.50	77.692
300.75	90.660
301.00	85.426
301.25	75.831
301.50	74.319
301.75	88.159
302.00	76.180
302.25	71.237
302.50	72.400
302.75	73.854
303.00	70.888
303.25	71.469
303.50	67.748
303.75	75.714
304.00	72.690
304.25	84.902
304.50	64.084
304.75	57.338
305.00	58.443
305.25	43.091
305.50	69.550
305.75	59.955
306.00	69.376
306.25	68.213
306.50	55.826
306.75	58.443
307.00	56.175
307.25	57.047
307.50	49.662
307.75	52.919
308.00	63.677
308.25	63.212
308.50	55.710
308.75	56.640
309.00	67.108
309.25	52.628
309.50	41.404
309.75	49.720
310.00	36.927
310.25	20.063
310.50	8.8392
310.75	29.367
311.00	6.3968
311.25	7.6761
311.50	20.411
311.75	23.552
312.00	16.806
312.25	18.085
312.50	22.389
312.75	6.8038
313.00	10.002
313.25	13.375
313.50	19.016
313.75	23.028
314.00	31.809
314.25	47.278
314.50	14.305
314.75	9.9441
315.00	36.345
315.25	17.736
315.50	26.634
315.75	12.096
316.00	10.177
316.25	20.004
316.50	14.015
316.75	9.4207
317.00	24.598
317.25	42.393
317.50	18.551
317.75	24.017
318.00	25.936
318.25	28.378
318.50	30.646
318.75	13.608
319.00	23.028
319.25	16.922
319.50	42.684
319.75	21.400
320.00	21.226
320.25	6.1060
320.50	21.923
320.75	8.1413
321.00	18.725
321.25	21.400
321.50	25.587
321.75	17.097
322.00	7.8506
322.25	19.365
322.50	16.690
322.75	11.165
323.00	44.312
323.25	54.838
323.50	52.395
323.75	28.029
324.00	42.044
324.25	15.236
324.50	17.039
324.75	16.166
325.00	48.964
325.25	5.9315
325.50	16.864
325.75	6.6294
326.00	29.716
326.25	14.654
326.50	9.0718
326.75	6.1642
327.00	20.586
327.25	6.6294
327.50	21.342
327.75	9.2462
328.00	20.295
328.25	23.610
328.50	20.004
328.75	35.473
329.00	30.530
329.25	15.294
329.50	15.352
329.75	24.936
330.00	7.1527
330.25	19.423
330.50	52.628
330.75	29.425
331.00	20.702
331.25	34.252
331.50	16.108
331.75	23.494
332.00	14.422
332.25	32.972
332.50	13.259
332.75	13.491
333.00	4.2451
333.25	7.0946
333.50	9.8859
333.75	21.982
334.00	19.714
334.25	20.237
334.50	10.758
334.75	28.611
335.00	40.474
335.25	36.927
335.50	24.424
335.75	21.575
336.00	13.840
336.25	27.971
336.50	30.588
336.75	24.540
337.00	61.642
337.25	42.684
337.50	41.521
337.75	29.541
338.00	15.410
338.25	20.760
338.50	12.328
338.75	30.704
339.00	24.366
339.25	34.484
339.50	31.170
339.75	17.969
340.00	21.749
340.25	10.409
340.50	25.994
340.75	23.319
341.00	11.456
341.25	18.318
341.50	51.465
341.75	15.643
342.00	14.829
342.25	15.178
342.50	27.448
342.75	12.038
343.00	40.183
343.25	25.296
343.50	43.556
343.75	11.049
344.00	15.120
344.25	15.047
344.50	37.741
344.75	11.979
345.00	8.3158
345.25	21.458
345.50	49.546
345.75	15.817
346.00	43.440
346.25	31.519
346.50	36.578
346.75	20.353
347.00	13.608
347.25	23.668
347.50	35.647
347.75	31.402
348.00	13.317
348.25	24.075
348.50	18.318
348.75	32.623
349.00	27.448
349.25	31.809
349.50	13.782
349.75	20.470
350.00	8.8392
