Wavelengthy (nm)	G13 abs e
210.00	11521
211.00	10742
212.00	10219
213.00	9836.9
214.00	9542.5
215.00	9300.6
216.00	9081.7
217.00	8879.7
218.00	8686.6
219.00	8506.7
220.00	8334.5
221.00	8175.5
222.00	8025.6
223.00	7887.7
224.00	7765.4
225.00	7666.8
226.00	7596.7
227.00	7563.9
228.00	7575.9
229.00	7635.6
230.00	7746.2
231.00	7911.3
232.00	8135.4
233.00	8439.3
234.00	8808.5
235.00	9249.4
236.00	9749.4
237.00	10329
238.00	10974
239.00	11639
240.00	12311
241.00	13019
242.00	13814
243.00	14683
244.00	15475
245.00	16080
246.00	16585
247.00	17164
248.00	17863
249.00	18411
250.00	18549
251.00	18329
252.00	18153
253.00	18351
254.00	18850
255.00	19116
256.00	18594
257.00	17321
258.00	15793
259.00	14483
260.00	13564
261.00	12946
262.00	12508
263.00	12116
264.00	11694
265.00	11186
266.00	10572
267.00	9836.0
268.00	9000.4
269.00	8085.4
270.00	7134.8
271.00	6212.4
272.00	5315.5
273.00	4490.7
274.00	3755.6
275.00	3121.4
276.00	2580.9
277.00	2136.6
278.00	1775.5
279.00	1486.8
280.00	1261.6
281.00	1086.7
282.00	955.96
283.00	854.49
284.00	779.17
285.00	726.33
286.00	689.46
287.00	664.55
288.00	651.11
289.00	642.69
290.00	642.51
291.00	648.53
292.00	655.80
293.00	671.18
294.00	688.40
295.00	707.52
296.00	729.41
297.00	754.28
298.00	783.40
299.00	815.20
300.00	844.06
301.00	880.18
302.00	916.53
303.00	953.94
304.00	996.74
305.00	1039.4
306.00	1085.5
307.00	1135.2
308.00	1181.4
309.00	1234.1
310.00	1288.7
311.00	1343.0
312.00	1400.4
313.00	1456.6
314.00	1514.9
315.00	1577.7
316.00	1637.5
317.00	1700.1
318.00	1763.6
319.00	1827.6
320.00	1892.4
321.00	1962.3
322.00	2025.1
323.00	2093.7
324.00	2159.1
325.00	2225.4
326.00	2288.7
327.00	2351.7
328.00	2417.3
329.00	2475.1
330.00	2533.1
331.00	2587.1
332.00	2641.0
333.00	2696.0
334.00	2744.0
335.00	2792.8
336.00	2839.4
337.00	2881.2
338.00	2920.3
339.00	2952.0
340.00	2984.1
341.00	3006.5
342.00	3028.5
343.00	3045.1
344.00	3056.4
345.00	3060.0
346.00	3059.2
347.00	3054.6
348.00	3046.3
349.00	3031.1
350.00	3015.5
351.00	2994.9
352.00	2971.7
353.00	2942.1
354.00	2905.8
355.00	2869.7
356.00	2830.3
357.00	2792.1
358.00	2751.2
359.00	2703.3
360.00	2651.9
361.00	2592.8
362.00	2534.2
363.00	2471.0
364.00	2403.7
365.00	2340.1
366.00	2272.1
367.00	2205.4
368.00	2135.1
369.00	2067.4
370.00	1988.6
371.00	1923.1
372.00	1846.6
373.00	1775.8
374.00	1708.4
375.00	1636.1
376.00	1567.5
377.00	1499.2
378.00	1426.6
379.00	1364.6
380.00	1301.1
381.00	1236.5
382.00	1169.4
383.00	1114.1
384.00	1057.0
385.00	1001.7
386.00	948.83
387.00	889.63
388.00	838.27
389.00	792.02
390.00	752.61
391.00	705.72
392.00	664.30
393.00	624.16
394.00	593.43
395.00	554.77
396.00	522.84
397.00	491.97
398.00	461.88
399.00	439.07
400.00	418.03
401.00	397.31
402.00	371.65
403.00	351.48
404.00	337.44
405.00	319.56
406.00	305.37
407.00	292.38
408.00	276.23
409.00	265.62
410.00	254.27
411.00	243.09
412.00	233.58
413.00	222.32
414.00	215.26
415.00	207.91
416.00	203.79
417.00	195.99
418.00	187.47
419.00	181.03
420.00	175.81
421.00	171.72
422.00	167.87
423.00	164.68
424.00	160.04
425.00	161.19
426.00	157.61
427.00	146.55
428.00	151.72
429.00	147.13
430.00	143.99
431.00	142.77
432.00	139.95
433.00	134.58
434.00	134.45
435.00	134.00
436.00	130.35
437.00	127.07
438.00	126.82
439.00	121.88
440.00	121.19
441.00	115.64
442.00	115.40
443.00	115.18
444.00	111.35
445.00	109.11
446.00	106.23
447.00	107.40
448.00	103.75
449.00	99.768
450.00	102.36
451.00	100.37
452.00	98.630
453.00	97.609
454.00	91.718
455.00	93.291
456.00	89.123
457.00	85.475
458.00	83.918
459.00	83.834
460.00	81.374
461.00	79.232
462.00	80.420
463.00	76.068
464.00	74.930
465.00	70.913
466.00	70.009
467.00	70.729
468.00	67.917
469.00	70.545
470.00	67.934
471.00	65.089
472.00	65.825
473.00	57.707
474.00	63.181
475.00	54.494
476.00	58.528
477.00	57.004
478.00	54.728
479.00	55.799
480.00	55.197
481.00	52.218
482.00	54.075
483.00	52.736
484.00	49.573
485.00	42.292
486.00	34.108
487.00	57.590
488.00	54.193
489.00	46.611
490.00	47.899
491.00	47.414
492.00	42.443
493.00	45.004
494.00	50.159
495.00	47.832
496.00	38.978
497.00	41.774
498.00	42.493
499.00	39.999
500.00	40.100
