Wavelength (nm)	H09 abs e
220.00	26156
220.25	24928
220.50	23948
220.75	22685
221.00	21571
221.25	20840
221.50	19687
221.75	18796
222.00	18025
222.25	17280
222.50	16502
222.75	15777
223.00	15130
223.25	14526
223.50	13972
223.75	13571
224.00	13120
224.25	12737
224.50	12368
224.75	11923
225.00	11635
225.25	11249
225.50	11015
225.75	10693
226.00	10495
226.25	10298
226.50	10199
226.75	9986.2
227.00	9832.7
227.25	9717.8
227.50	9551.4
227.75	9561.0
228.00	9379.2
228.25	9262.9
228.50	9289.2
228.75	9254.8
229.00	9204.3
229.25	9194.8
229.50	9141.9
229.75	9122.1
230.00	9163.0
230.25	9190.3
230.50	9252.4
230.75	9246.9
231.00	9192.0
231.25	9201.6
231.50	9224.4
231.75	9327.1
232.00	9354.3
232.25	9393.9
232.50	9422.2
232.75	9562.0
233.00	9533.4
233.25	9570.2
233.50	9628.8
233.75	9711.3
234.00	9724.0
234.25	9797.6
234.50	9806.1
234.75	9861.7
235.00	9948.3
235.25	10081
235.50	10211
235.75	10229
236.00	10290
236.25	10354
236.50	10501
236.75	10559
237.00	10586
237.25	10697
237.50	10830
237.75	10853
238.00	10921
238.25	11022
238.50	11100
238.75	11115
239.00	11213
239.25	11344
239.50	11455
239.75	11503
240.00	11551
240.25	11601
240.50	11706
240.75	11735
241.00	11818
241.25	11903
241.50	11985
241.75	12073
242.00	12156
242.25	12137
242.50	12216
242.75	12175
243.00	12291
243.25	12331
243.50	12249
243.75	12440
244.00	12400
244.25	12456
244.50	12486
244.75	12467
245.00	12466
245.25	12446
245.50	12526
245.75	12525
246.00	12581
246.25	12555
246.50	12566
246.75	12482
247.00	12577
247.25	12587
247.50	12591
247.75	12543
248.00	12572
248.25	12580
248.50	12546
248.75	12608
249.00	12582
249.25	12536
249.50	12544
249.75	12568
250.00	12626
250.25	12644
250.50	12587
250.75	12519
251.00	12578
251.25	12564
251.50	12575
251.75	12571
252.00	12560
252.25	12593
252.50	12589
252.75	12509
253.00	12591
253.25	12527
253.50	12528
253.75	12566
254.00	12501
254.25	12555
254.50	12543
254.75	12527
255.00	12573
255.25	12516
255.50	12571
255.75	12567
256.00	12544
256.25	12584
256.50	12638
256.75	12639
257.00	12545
257.25	12556
257.50	12589
257.75	12578
258.00	12604
258.25	12588
258.50	12579
258.75	12651
259.00	12618
259.25	12669
259.50	12695
259.75	12663
260.00	12632
260.25	12712
260.50	12682
260.75	12737
261.00	12717
261.25	12732
261.50	12685
261.75	12669
262.00	12722
262.25	12669
262.50	12649
262.75	12697
263.00	12687
263.25	12710
263.50	12656
263.75	12531
264.00	12581
264.25	12547
264.50	12497
264.75	12456
265.00	12466
265.25	12424
265.50	12330
265.75	12279
266.00	12271
266.25	12192
266.50	12187
266.75	12176
267.00	12114
267.25	12109
267.50	12044
267.75	11960
268.00	11919
268.25	11850
268.50	11830
268.75	11911
269.00	11855
269.25	11809
269.50	11762
269.75	11663
270.00	11630
270.25	11686
270.50	11657
270.75	11670
271.00	11705
