Wavelength (nm)	I02 abs e
220.00	9353.5
220.25	9377.5
220.50	9449.3
220.75	9447.2
221.00	9549.9
221.25	9697.8
221.50	9831.2
221.75	9923.6
222.00	9953.4
222.25	10092
222.50	10267
222.75	10428
223.00	10524
223.25	10625
223.50	10699
223.75	10870
224.00	11029
224.25	11091
224.50	11230
224.75	11339
225.00	11568
225.25	11673
225.50	11821
225.75	11945
226.00	12172
226.25	12236
226.50	12468
226.75	12632
227.00	12794
227.25	12937
227.50	13081
227.75	13160
228.00	13403
228.25	13486
228.50	13693
228.75	13912
229.00	14089
229.25	14237
229.50	14396
229.75	14560
230.00	14692
230.25	14822
230.50	15051
230.75	15123
231.00	15343
231.25	15553
231.50	15779
231.75	15994
232.00	16172
232.25	16467
232.50	16544
232.75	16885
233.00	17151
233.25	17335
233.50	17574
233.75	17756
234.00	18013
234.25	18218
234.50	18524
234.75	18943
235.00	19288
235.25	19543
235.50	19981
235.75	20291
236.00	20636
236.25	20958
236.50	21314
236.75	21561
237.00	21900
237.25	22197
237.50	22561
237.75	22889
238.00	23283
238.25	23550
238.50	23932
238.75	24253
239.00	24677
239.25	25051
239.50	25353
239.75	25737
240.00	26107
240.25	26432
240.50	26837
240.75	27161
241.00	27550
241.25	27893
241.50	28294
241.75	28656
242.00	29111
242.25	29514
242.50	29913
242.75	30266
243.00	30689
243.25	31037
243.50	31451
243.75	31861
244.00	32227
244.25	32576
244.50	33091
244.75	33447
245.00	33953
245.25	34209
245.50	34704
245.75	35191
246.00	35614
246.25	35964
246.50	36272
246.75	36705
247.00	37164
247.25	37548
247.50	37899
247.75	38371
248.00	38669
248.25	39157
248.50	39583
248.75	40045
249.00	40371
249.25	40725
249.50	41179
249.75	41419
250.00	41812
250.25	42125
250.50	42603
250.75	42877
251.00	43189
251.25	43530
251.50	43921
251.75	44143
252.00	44520
252.25	44858
252.50	45134
252.75	45526
253.00	45668
253.25	45958
253.50	46329
253.75	46618
254.00	46871
254.25	47274
254.50	47447
254.75	47588
255.00	47726
255.25	48062
255.50	48393
255.75	48545
256.00	48901
256.25	49321
256.50	49521
256.75	49873
257.00	50330
257.25	50668
257.50	50877
257.75	51163
258.00	51465
258.25	51655
258.50	51984
258.75	52342
259.00	52538
259.25	52891
259.50	52858
259.75	53164
260.00	53276
260.25	53383
260.50	53468
260.75	53610
261.00	53702
261.25	53539
261.50	53537
261.75	53618
262.00	53177
262.25	52911
262.50	52800
262.75	52532
263.00	52133
263.25	51768
263.50	51376
263.75	50786
264.00	50372
264.25	49785
264.50	49130
264.75	48603
265.00	47882
265.25	47362
265.50	46589
265.75	45984
266.00	45435
266.25	44757
266.50	44135
266.75	43319
267.00	42578
267.25	41823
267.50	41193
267.75	40506
268.00	39849
268.25	39194
268.50	38534
268.75	37802
269.00	37065
269.25	36531
269.50	35960
269.75	35276
270.00	34640
270.25	34160
270.50	33579
270.75	33035
271.00	32519
271.25	32060
271.50	31539
271.75	31105
272.00	30786
272.25	30192
272.50	29882
272.75	29488
273.00	29260
273.25	28797
273.50	28546
273.75	28184
274.00	28013
274.25	27751
274.50	27453
274.75	27255
275.00	26990
275.25	26752
275.50	26409
275.75	26148
276.00	25979
276.25	25759
276.50	25479
276.75	25309
277.00	25227
277.25	24928
277.50	24720
277.75	24706
278.00	24410
278.25	24272
278.50	24083
278.75	23839
279.00	23619
279.25	23442
279.50	23244
279.75	23005
280.00	22931
280.25	22689
280.50	22455
280.75	22290
281.00	22150
281.25	21856
281.50	21690
281.75	21514
282.00	21467
282.25	21166
282.50	20974
282.75	20798
283.00	20647
283.25	20397
283.50	20192
283.75	20037
284.00	19744
284.25	19589
284.50	19456
284.75	19183
285.00	19048
285.25	18888
285.50	18740
285.75	18548
286.00	18314
286.25	18084
286.50	17895
286.75	17670
287.00	17527
287.25	17357
287.50	17039
287.75	16908
288.00	16663
288.25	16501
288.50	16231
288.75	16034
289.00	15884
289.25	15630
289.50	15427
289.75	15273
290.00	15013
290.25	14878
290.50	14705
290.75	14486
291.00	14362
291.25	14078
291.50	13918
291.75	13683
292.00	13484
292.25	13353
292.50	13149
292.75	12988
293.00	12857
293.25	12551
293.50	12460
293.75	12287
294.00	12175
294.25	11962
294.50	11798
294.75	11663
295.00	11626
295.25	11444
295.50	11231
295.75	11048
296.00	10835
296.25	10700
296.50	10360
296.75	10290
297.00	10027
297.25	9761.1
297.50	9566.4
297.75	9378.9
298.00	9150.3
298.25	8902.4
298.50	8677.8
298.75	8347.9
299.00	8083.3
299.25	7792.5
299.50	7462.0
299.75	7175.7
300.00	6997.5
300.25	6633.8
300.50	6306.0
300.75	5996.8
301.00	5630.5
301.25	5437.4
301.50	5119.6
301.75	4929.7
302.00	4561.8
302.25	4298.2
302.50	4086.7
302.75	3713.3
303.00	3559.0
303.25	3326.6
303.50	3121.6
303.75	2861.8
304.00	2764.5
304.25	2499.2
304.50	2287.1
304.75	2161.5
305.00	1974.9
305.25	1862.1
305.50	1686.8
305.75	1598.3
306.00	1467.8
306.25	1307.3
306.50	1174.9
306.75	1082.5
307.00	1008.4
307.25	875.37
307.50	885.52
307.75	733.11
308.00	653.59
308.25	620.20
308.50	577.46
308.75	484.72
309.00	399.72
309.25	390.84
309.50	317.77
309.75	676.61
310.00	658.38
310.25	390.49
310.50	126.15
310.75	588.53
311.00	163.23
311.25	376.92
311.50	196.12
311.75	241.76
312.00	256.10
312.25	357.54
312.50	566.72
312.75	302.37
313.00	194.47
313.25	77.539
313.50	-68.425
313.75	88.493
314.00	52.845
314.25	258.47
314.50	216.37
314.75	-35.071
315.00	132.49
315.25	-157.65
315.50	102.48
315.75	-50.255
316.00	-12.038
316.25	-13.173
316.50	109.88
316.75	-113.50
317.00	11.162
317.25	-178.35
317.50	190.49
317.75	-108.04
318.00	-65.308
318.25	-68.056
318.50	-60.805
318.75	-65.488
319.00	-28.884
319.25	-54.856
319.50	-80.183
319.75	-71.963
320.00	30.765
320.25	47.693
320.50	-92.464
320.75	113.16
321.00	-82.477
321.25	-168.44
321.50	85.886
321.75	24.110
322.00	-40.569
322.25	84.416
322.50	-7.0351
322.75	-94.293
323.00	-172.52
323.25	89.230
323.50	74.870
323.75	-64.319
324.00	80.342
324.25	49.531
324.50	20.011
324.75	105.32
325.00	-150.96
325.25	-114.67
325.50	-84.199
325.75	-104.37
326.00	52.553
326.25	52.063
326.50	79.636
326.75	-25.040
327.00	55.754
327.25	43.975
327.50	59.935
327.75	-238.92
328.00	-105.55
328.25	-19.593
328.50	148.61
328.75	92.322
329.00	-121.70
329.25	-87.354
329.50	39.566
329.75	2.3043
330.00	105.36
330.25	-46.737
330.50	36.961
330.75	57.115
331.00	106.94
331.25	37.104
331.50	11.777
331.75	39.995
332.00	163.37
332.25	43.854
332.50	42.396
332.75	27.391
333.00	179.15
333.25	101.57
333.50	119.46
333.75	76.395
334.00	33.973
334.25	151.86
334.50	248.14
334.75	282.49
335.00	59.108
335.25	212.80
335.50	281.66
335.75	283.11
336.00	379.38
336.25	219.55
336.50	164.87
336.75	72.129
337.00	364.20
337.25	120.18
337.50	237.42
337.75	345.31
338.00	199.67
338.25	373.36
338.50	291.91
338.75	244.33
339.00	376.73
339.25	229.48
339.50	322.85
339.75	298.81
340.00	311.55
340.25	343.64
340.50	428.30
340.75	361.04
341.00	311.53
341.25	450.70
341.50	398.93
341.75	532.94
342.00	469.55
342.25	494.22
342.50	475.35
342.75	441.63
343.00	331.15
343.25	323.24
343.50	554.03
343.75	599.99
344.00	465.63
344.25	457.40
344.50	420.14
344.75	554.48
345.00	524.32
345.25	644.46
345.50	638.81
345.75	705.74
346.00	644.61
346.25	644.76
346.50	713.94
346.75	680.23
347.00	679.74
347.25	524.10
347.50	615.54
347.75	694.40
348.00	726.16
348.25	716.32
348.50	824.53
348.75	783.40
349.00	816.46
349.25	840.80
349.50	884.50
349.75	875.63
350.00	872.23
350.25	875.61
350.50	1069.9
350.75	978.82
351.00	906.40
351.25	1024.6
351.50	1004.8
351.75	1069.1
352.00	1029.6
352.25	1005.9
352.50	1077.3
352.75	1037.2
353.00	1140.9
353.25	1225.2
353.50	1250.2
353.75	1207.1
354.00	1210.8
354.25	1143.9
354.50	1276.6
354.75	1253.5
355.00	1305.6
355.25	1333.8
355.50	1366.9
355.75	1398.3
356.00	1424.6
356.25	1555.7
356.50	1435.6
356.75	1536.7
357.00	1502.3
357.25	1528.6
357.50	1585.5
357.75	1604.1
358.00	1533.9
358.25	1612.8
358.50	1546.5
358.75	1694.1
359.00	1712.6
359.25	1738.6
359.50	1839.7
359.75	1895.0
360.00	1833.5
360.25	1871.8
360.50	1877.1
360.75	1963.7
361.00	1994.5
361.25	1926.2
361.50	2039.3
361.75	1956.5
362.00	2094.8
362.25	2041.0
362.50	2072.8
362.75	2235.9
363.00	2207.6
363.25	2163.6
363.50	2277.3
363.75	2247.1
364.00	2249.2
364.25	2342.9
364.50	2486.3
364.75	2499.3
365.00	2458.9
365.25	2448.7
365.50	2498.2
365.75	2549.3
366.00	2553.0
366.25	2624.5
366.50	2617.5
366.75	2730.6
367.00	2756.2
367.25	2747.3
367.50	2879.1
367.75	2856.0
368.00	2899.7
368.25	2921.2
368.50	2950.3
368.75	2962.1
369.00	3126.8
369.25	3101.4
369.50	3145.5
369.75	3221.4
370.00	3196.4
370.25	3388.8
370.50	3233.2
370.75	3340.4
371.00	3375.1
371.25	3423.6
371.50	3507.0
371.75	3526.2
372.00	3568.6
372.25	3692.0
372.50	3574.4
372.75	3665.2
373.00	3699.9
373.25	3786.5
373.50	3855.0
373.75	3794.8
374.00	3892.1
374.25	3863.5
374.50	3983.0
374.75	4062.2
375.00	3976.9
375.25	3940.3
375.50	4149.4
375.75	4130.6
376.00	4198.5
376.25	4379.9
376.50	4417.8
376.75	4457.9
377.00	4448.1
377.25	4601.1
377.50	4624.2
377.75	4620.8
378.00	4684.2
378.25	4756.9
378.50	4828.0
378.75	4829.5
379.00	4846.4
379.25	4916.2
379.50	4971.2
379.75	5013.3
380.00	5093.8
380.25	5113.3
380.50	5322.1
380.75	5191.7
381.00	5328.3
381.25	5381.0
381.50	5562.7
381.75	5530.3
382.00	5639.2
382.25	5728.7
382.50	5705.0
382.75	5807.1
383.00	5866.9
383.25	5997.7
383.50	5984.9
383.75	6130.6
384.00	6160.1
384.25	6215.4
384.50	6173.3
384.75	6319.9
385.00	6437.1
385.25	6529.2
385.50	6573.2
385.75	6640.8
386.00	6808.7
386.25	6792.4
386.50	6800.0
386.75	6897.2
387.00	6950.3
387.25	7024.9
387.50	7168.3
387.75	7213.6
388.00	7307.0
388.25	7456.2
388.50	7487.6
388.75	7549.4
389.00	7685.0
389.25	7725.5
389.50	7848.5
389.75	8003.2
390.00	7980.1
390.25	8027.7
390.50	8056.9
390.75	8201.2
391.00	8227.5
391.25	8391.5
391.50	8406.2
391.75	8501.8
392.00	8688.4
392.25	8763.4
392.50	8819.0
392.75	8932.1
393.00	9083.5
393.25	9089.1
393.50	9157.7
393.75	9270.4
394.00	9301.5
394.25	9471.0
394.50	9564.4
394.75	9563.3
395.00	9722.8
395.25	9852.3
395.50	9924.4
395.75	9989.0
396.00	10246
396.25	10277
396.50	10405
396.75	10489
397.00	10598
397.25	10722
397.50	10780
397.75	10957
398.00	11030
398.25	11097
398.50	11269
398.75	11297
399.00	11435
399.25	11529
399.50	11658
399.75	11775
400.00	11867
400.25	12002
400.50	12030
400.75	12140
401.00	12368
401.25	12400
401.50	12499
401.75	12583
402.00	12651
402.25	12712
402.50	12868
402.75	13065
403.00	13159
403.25	13208
403.50	13465
403.75	13508
404.00	13645
404.25	13788
404.50	13889
404.75	13970
405.00	14116
405.25	14205
405.50	14330
405.75	14521
406.00	14588
406.25	14751
406.50	14866
406.75	14882
407.00	15155
407.25	15253
407.50	15406
407.75	15451
408.00	15679
408.25	15790
408.50	15930
408.75	16127
409.00	16326
409.25	16489
409.50	16562
409.75	16633
410.00	16846
410.25	17021
410.50	17104
410.75	17224
411.00	17408
411.25	17634
411.50	17738
411.75	17868
412.00	18095
412.25	18282
412.50	18280
412.75	18543
413.00	18633
413.25	18933
413.50	19016
413.75	19245
414.00	19303
414.25	19587
414.50	19665
414.75	19975
415.00	19839
415.25	20112
415.50	20202
415.75	20359
416.00	20532
416.25	20741
416.50	20890
416.75	21147
417.00	21311
417.25	21596
417.50	21706
417.75	21807
418.00	22099
418.25	22329
418.50	22493
418.75	22647
419.00	22836
419.25	23155
419.50	23251
419.75	23569
420.00	23656
420.25	23818
420.50	24066
420.75	24324
421.00	24558
421.25	24642
421.50	24907
421.75	25190
422.00	25336
422.25	25520
422.50	25599
422.75	25884
423.00	26116
423.25	26282
423.50	26484
423.75	26741
424.00	26849
424.25	27231
424.50	27211
424.75	27396
425.00	27582
425.25	27807
425.50	28034
425.75	28122
426.00	28351
426.25	28586
426.50	28758
426.75	28813
427.00	29075
427.25	29272
427.50	29408
427.75	29635
428.00	29891
428.25	29989
428.50	30072
428.75	30337
429.00	30423
429.25	30617
429.50	30899
429.75	30969
430.00	31124
430.25	31230
430.50	31397
430.75	31580
431.00	31633
431.25	31837
431.50	31989
431.75	32028
432.00	32319
432.25	32429
432.50	32633
432.75	32683
433.00	32837
433.25	33042
433.50	33146
433.75	33252
434.00	33248
434.25	33523
434.50	33632
434.75	33674
435.00	33734
435.25	33968
435.50	34019
435.75	34115
436.00	34268
436.25	34377
436.50	34551
436.75	34606
437.00	34694
437.25	34741
437.50	34859
437.75	34972
438.00	34937
438.25	35054
438.50	35155
438.75	35199
439.00	35293
439.25	35301
439.50	35464
439.75	35486
440.00	35604
440.25	35447
440.50	35639
440.75	35730
441.00	35682
441.25	35754
441.50	35745
441.75	35887
442.00	35930
442.25	35934
442.50	35973
442.75	35849
443.00	35954
443.25	35784
443.50	35925
443.75	35948
444.00	35974
444.25	35832
444.50	35932
444.75	35988
445.00	35899
445.25	35866
445.50	35839
445.75	35785
446.00	35845
446.25	35703
446.50	35796
446.75	35687
447.00	35664
447.25	35567
447.50	35489
447.75	35320
448.00	35299
448.25	35282
448.50	35047
448.75	35054
449.00	34921
449.25	34803
449.50	34771
449.75	34491
450.00	34415
450.25	34308
450.50	34151
450.75	33865
451.00	33795
451.25	33629
451.50	33470
451.75	33256
452.00	33064
452.25	32905
452.50	32728
452.75	32430
453.00	32245
453.25	32007
453.50	31826
453.75	31610
454.00	31368
454.25	31163
454.50	30910
454.75	30720
455.00	30558
455.25	30452
455.50	30026
455.75	29904
456.00	29534
456.25	29248
456.50	28994
456.75	28597
457.00	28368
457.25	28038
457.50	27687
457.75	27360
458.00	26996
458.25	26673
458.50	26428
458.75	25957
459.00	25660
459.25	25358
459.50	25024
459.75	24681
460.00	24280
460.25	23834
460.50	23574
460.75	23155
461.00	22831
461.25	22369
461.50	22221
461.75	21674
462.00	21414
462.25	21037
462.50	20629
462.75	20285
463.00	19796
463.25	19539
463.50	19145
463.75	18823
464.00	18449
464.25	18088
464.50	17773
464.75	17335
465.00	17150
465.25	16734
465.50	16391
465.75	16029
466.00	15744
466.25	15398
466.50	15038
466.75	14781
467.00	14399
467.25	14156
467.50	13838
467.75	13471
468.00	13261
468.25	12960
468.50	12718
468.75	12327
469.00	12031
469.25	11831
469.50	11494
469.75	11242
470.00	11002
470.25	10766
470.50	10471
470.75	10260
471.00	9906.4
471.25	9743.0
471.50	9507.4
471.75	9256.6
472.00	9074.5
472.25	8807.2
472.50	8648.4
472.75	8267.0
473.00	8162.0
473.25	7911.5
473.50	7757.5
473.75	7577.0
474.00	7342.3
474.25	7223.4
474.50	6972.3
474.75	6828.6
475.00	6704.6
475.25	6391.5
475.50	6190.7
475.75	5970.3
476.00	5829.1
476.25	5650.3
476.50	5470.1
476.75	5303.8
477.00	5136.3
477.25	4979.3
477.50	4867.6
477.75	4777.4
478.00	4594.7
478.25	4530.6
478.50	4383.1
478.75	4261.0
479.00	4145.0
479.25	4025.5
479.50	3935.6
479.75	3863.2
480.00	3761.5
480.25	3603.6
480.50	3540.5
480.75	3454.8
481.00	3231.5
481.25	3253.2
481.50	3106.0
481.75	3058.4
482.00	2992.7
482.25	2832.6
482.50	2814.0
482.75	2717.1
483.00	2619.5
483.25	2539.4
483.50	2405.3
483.75	2420.6
484.00	2272.1
484.25	2356.8
484.50	2195.3
484.75	2178.7
485.00	2116.6
485.25	2005.2
485.50	1942.7
485.75	1891.3
486.00	1840.2
486.25	1785.1
486.50	1759.5
486.75	1650.6
487.00	1651.1
487.25	1574.8
487.50	1532.1
487.75	1491.3
488.00	1461.1
488.25	1473.8
488.50	1356.9
488.75	1349.0
489.00	1223.3
489.25	1181.2
489.50	1176.6
489.75	1174.5
490.00	1225.6
490.25	1052.8
490.50	1203.0
490.75	932.20
491.00	966.54
491.25	951.86
491.50	962.98
491.75	857.02
492.00	876.85
492.25	840.23
492.50	809.74
492.75	865.70
493.00	803.93
493.25	676.03
493.50	703.60
493.75	632.15
494.00	709.72
494.25	666.97
494.50	572.29
494.75	596.96
495.00	681.95
495.25	574.37
495.50	480.34
495.75	531.78
496.00	543.87
496.25	574.03
496.50	452.25
496.75	497.89
497.00	484.17
497.25	401.43
497.50	438.04
497.75	389.81
498.00	346.10
498.25	449.79
498.50	444.14
498.75	384.62
499.00	369.94
499.25	357.52
499.50	322.19
499.75	309.12
500.00	332.82
500.25	359.43
500.50	336.68
500.75	247.81
501.00	323.77
501.25	245.54
501.50	229.89
501.75	234.88
502.00	245.68
502.25	232.94
502.50	212.77
502.75	233.25
503.00	225.34
503.25	231.30
503.50	171.78
503.75	177.42
504.00	169.51
504.25	142.57
504.50	214.33
504.75	154.49
505.00	221.42
505.25	140.93
505.50	124.32
505.75	184.14
506.00	163.33
506.25	232.52
506.50	163.32
506.75	230.57
507.00	107.83
507.25	199.27
507.50	152.65
507.75	34.752
508.00	119.42
508.25	135.06
508.50	213.91
508.75	202.14
509.00	88.105
509.25	170.51
509.50	71.642
509.75	93.732
510.00	28.730
510.25	127.91
510.50	113.23
510.75	149.83
511.00	131.28
511.25	138.53
511.50	104.49
511.75	59.169
512.00	87.064
512.25	35.288
512.50	59.958
512.75	60.758
513.00	67.364
513.25	136.22
513.50	-21.029
513.75	170.40
514.00	46.696
514.25	82.978
514.50	89.907
514.75	143.61
515.00	95.378
515.25	-4.7822
515.50	81.173
515.75	-2.8591
516.00	61.485
516.25	84.542
516.50	51.151
516.75	104.21
517.00	1.7878
517.25	112.26
517.50	80.157
517.75	135.15
518.00	-15.332
518.25	39.658
518.50	106.91
518.75	61.580
519.00	14.641
519.25	46.085
519.50	128.81
519.75	36.073
520.00	26.229
520.25	39.287
520.50	79.762
520.75	71.853
521.00	41.365
521.25	88.614
521.50	49.417
521.75	16.994
522.00	96.176
522.25	6.0147
522.50	94.551
522.75	7.9379
523.00	99.700
523.25	18.248
523.50	16.468
523.75	70.812
524.00	29.358
524.25	161.76
524.50	-30.005
524.75	144.01
525.00	37.720
525.25	79.485
525.50	53.513
525.75	-6.9726
526.00	9.9556
526.25	4.9499
526.50	119.61
526.75	8.1633
527.00	49.928
527.25	92.339
527.50	98.300
527.75	81.037
528.00	-86.860
528.25	66.832
528.50	47.634
528.75	77.142
529.00	35.687
529.25	17.134
529.50	176.63
529.75	88.407
530.00	199.52
530.25	-7.0819
530.50	104.68
530.75	1.6150
531.00	96.280
531.25	44.180
531.50	-78.559
531.75	108.36
532.00	33.679
532.25	84.798
532.50	115.27
532.75	90.592
533.00	102.04
533.25	-51.345
533.50	58.802
533.75	8.9610
534.00	64.919
534.25	122.17
534.50	20.393
534.75	59.256
535.00	12.963
535.25	101.18
535.50	34.884
535.75	41.491
536.00	-22.220
536.25	2.1265
536.50	113.89
536.75	10.178
537.00	59.362
537.25	58.227
537.50	94.832
537.75	31.120
538.00	27.727
538.25	66.590
538.50	69.970
538.75	110.12
539.00	36.090
539.25	74.629
539.50	7.3697
539.75	114.61
540.00	39.613
540.25	15.577
540.50	3.4748
540.75	106.20
541.00	77.651
541.25	77.484
541.50	52.479
541.75	146.82
542.00	54.725
542.25	45.526
542.50	-38.506
542.75	148.73
543.00	-3.6823
543.25	116.46
543.50	48.560
543.75	-3.8617
544.00	160.80
544.25	-0.97082
544.50	31.763
544.75	8.3712
545.00	-4.3759
545.25	90.611
545.50	3.3532
545.75	89.631
546.00	10.437
546.25	59.621
546.50	29.779
546.75	50.900
547.00	74.925
547.25	50.243
547.50	57.494
547.75	23.459
548.00	85.222
548.25	59.250
548.50	40.052
548.75	9.8868
549.00	19.396
549.25	63.419
549.50	-5.1304
549.75	145.98
550.00	13.566
550.25	78.878
550.50	36.133
550.75	118.86
551.00	45.475
551.25	54.339
551.50	69.977
551.75	57.875
552.00	159.31
552.25	21.414
552.50	28.343
552.75	61.399
553.00	46.716
553.25	129.12
553.50	31.222
553.75	130.08
554.00	101.85
554.25	40.719
554.50	119.58
554.75	-35.740
555.00	152.14
555.25	27.470
555.50	120.20
555.75	13.587
556.00	134.06
556.25	89.376
556.50	75.339
556.75	82.268
557.00	53.393
557.25	97.416
557.50	62.090
557.75	71.277
558.00	101.43
558.25	3.2048
558.50	136.25
558.75	92.864
559.00	125.92
559.25	57.693
559.50	-2.7929
559.75	158.32
560.00	88.156
560.25	148.95
560.50	52.663
560.75	21.207
561.00	134.58
561.25	18.615
561.50	190.37
561.75	38.924
562.00	48.111
562.25	-7.8593
562.50	88.418
562.75	-25.290
563.00	44.216
563.25	165.01
563.50	65.492
563.75	85.969
564.00	82.253
564.25	146.92
564.50	-41.621
564.75	42.399
565.00	46.425
565.25	122.06
565.50	243.82
565.75	5.2806
566.00	125.10
566.25	-14.730
566.50	147.35
566.75	45.254
567.00	-13.297
567.25	73.304
567.50	104.42
567.75	260.38
568.00	-26.869
568.25	133.28
568.50	55.049
568.75	90.686
569.00	95.356
569.25	57.127
569.50	108.25
569.75	10.989
570.00	79.527
570.25	-8.6987
570.50	92.740
570.75	-25.161
571.00	127.89
571.25	-30.334
571.50	-24.051
571.75	-1.9614
572.00	9.1607
572.25	102.54
572.50	10.439
572.75	131.88
573.00	19.458
573.25	12.195
573.50	49.767
573.75	-30.395
574.00	47.497
574.25	-63.308
574.50	92.643
574.75	15.706
575.00	77.470
575.25	-12.368
575.50	-3.8266
575.75	25.681
576.00	-14.161
576.25	82.762
576.50	13.890
576.75	126.94
577.00	2.2655
577.25	45.321
577.50	29.993
577.75	-40.492
578.00	76.107
578.25	3.0417
578.50	-7.7701
578.75	33.995
579.00	18.990
579.25	24.951
579.50	-40.050
579.75	2.3601
580.00	0.25728
580.25	114.92
580.50	9.5994
580.75	43.623
581.00	58.939
581.25	69.416
581.50	42.476
581.75	-39.621
582.00	56.656
582.25	47.135
582.50	68.579
582.75	7.4481
583.00	29.215
583.25	30.015
583.50	-45.953
583.75	14.198
584.00	-7.5812
584.25	-10.006
584.50	68.853
584.75	61.267
585.00	19.167
585.25	4.4843
585.50	69.474
585.75	8.0203
586.00	22.691
586.25	52.521
586.50	33.968
586.75	47.026
587.00	34.923
587.25	26.047
587.50	-46.051
587.75	61.194
588.00	18.126
588.25	-94.614
588.50	35.855
588.75	16.011
589.00	57.777
589.25	57.932
589.50	-32.552
589.75	44.050
590.00	-8.6946
590.25	46.295
590.50	69.997
590.75	-11.132
591.00	65.792
591.25	121.75
591.50	33.524
591.75	-53.734
592.00	25.770
592.25	22.700
592.50	80.271
592.75	17.527
593.00	88.322
593.25	9.7734
593.50	40.894
593.75	18.793
594.00	-4.2760
594.25	-2.8306
594.50	21.194
594.75	85.216
595.00	-1.3972
595.25	63.915
595.50	-3.6674
595.75	34.550
596.00	31.479
596.25	-2.2340
596.50	61.788
596.75	-1.9236
597.00	26.617
597.25	124.83
597.50	25.637
597.75	75.466
598.00	-48.564
598.25	103.84
598.50	-22.771
598.75	-14.874
599.00	11.408
599.25	10.273
599.50	89.777
599.75	-5.5446
600.00	32.995
