Wavelength (nm)	J11 abs e
280.00	13149
281.00	12965
282.00	12751
283.00	12530
284.00	12343
285.00	12190
286.00	12080
287.00	12014
288.00	11974
289.00	11967
290.00	11958
291.00	11956
292.00	11943
293.00	11917
294.00	11899
295.00	11884
296.00	11871
297.00	11881
298.00	11892
299.00	11909
300.00	11948
301.00	12001
302.00	12060
303.00	12140
304.00	12217
305.00	12294
306.00	12377
307.00	12463
308.00	12560
309.00	12669
310.00	12789
311.00	12902
312.00	13030
313.00	13188
314.00	13359
315.00	13536
316.00	13715
317.00	13899
318.00	14082
319.00	14252
320.00	14408
321.00	14559
322.00	14649
323.00	14718
324.00	14767
325.00	14787
326.00	14806
327.00	14786
328.00	14799
329.00	14805
330.00	14810
331.00	14807
332.00	14796
333.00	14772
334.00	14737
335.00	14671
336.00	14577
337.00	14421
338.00	14215
339.00	13947
340.00	13624
341.00	13253
342.00	12823
343.00	12363
344.00	11905
345.00	11435
346.00	10987
347.00	10559
348.00	10177
349.00	9801.4
350.00	9459.6
351.00	9145.0
352.00	8852.3
353.00	8574.9
354.00	8312.9
355.00	8066.3
356.00	7838.0
357.00	7622.8
358.00	7416.3
359.00	7219.8
360.00	7032.3
361.00	6849.4
362.00	6674.3
363.00	6511.7
364.00	6350.1
365.00	6204.9
366.00	6060.9
367.00	5941.3
368.00	5812.6
369.00	5721.7
370.00	5620.4
371.00	5522.2
372.00	5440.9
373.00	5368.1
374.00	5304.0
375.00	5245.2
376.00	5193.0
377.00	5148.3
378.00	5110.6
379.00	5085.1
380.00	5057.3
381.00	5030.5
382.00	5019.2
383.00	5014.7
384.00	5020.7
385.00	5019.2
386.00	5034.4
387.00	5055.2
388.00	5076.5
389.00	5098.0
390.00	5110.8
391.00	5141.8
392.00	5189.5
393.00	5233.1
394.00	5269.8
395.00	5307.7
396.00	5340.3
397.00	5388.4
398.00	5459.6
399.00	5498.4
400.00	5537.3
401.00	5587.0
402.00	5637.4
403.00	5718.3
404.00	5787.9
405.00	5858.8
406.00	5917.5
407.00	5979.6
408.00	6050.5
409.00	6132.7
410.00	6208.3
411.00	6299.1
412.00	6399.9
413.00	6506.0
414.00	6581.5
415.00	6676.5
416.00	6780.1
417.00	6892.7
418.00	6993.6
419.00	7110.0
420.00	7252.2
421.00	7381.2
422.00	7506.1
423.00	7634.5
424.00	7728.3
425.00	7852.9
426.00	7962.8
427.00	8136.2
428.00	8254.5
429.00	8393.5
430.00	8544.0
431.00	8676.3
432.00	8772.8
433.00	8934.6
434.00	9077.3
435.00	9207.4
436.00	9373.5
437.00	9527.7
438.00	9700.4
439.00	9864.0
440.00	10022
441.00	10208
442.00	10365
443.00	10549
444.00	10736
445.00	10921
446.00	11126
447.00	11320
448.00	11518
449.00	11720
450.00	11946
451.00	12160
452.00	12379
453.00	12602
454.00	12847
455.00	13078
456.00	13328
457.00	13590
458.00	13836
459.00	14076
460.00	14286
461.00	14545
462.00	14802
463.00	15070
464.00	15360
465.00	15616
466.00	15871
467.00	16102
468.00	16371
469.00	16589
470.00	16844
471.00	17138
472.00	17440
473.00	17649
474.00	17942
475.00	18131
476.00	18387
477.00	18650
478.00	18931
479.00	19127
480.00	19342
481.00	19559
482.00	19820
483.00	20053
484.00	20250
485.00	20626
486.00	20764
487.00	20874
488.00	21037
489.00	21278
490.00	21504
491.00	21644
492.00	21799
493.00	21994
494.00	22154
495.00	22347
496.00	22497
497.00	22691
498.00	22894
499.00	23022
500.00	23127
501.00	23265
502.00	23333
503.00	23483
504.00	23594
505.00	23746
506.00	23719
507.00	23787
508.00	23894
509.00	23953
510.00	23961
511.00	23972
512.00	24000
513.00	23954
514.00	23855
515.00	23846
516.00	23924
517.00	23743
518.00	23735
519.00	23584
520.00	23477
521.00	23318
522.00	23195
523.00	23049
524.00	22893
525.00	22699
526.00	22529
527.00	22303
528.00	22062
529.00	21853
530.00	21671
531.00	21459
532.00	21131
533.00	20982
534.00	20732
535.00	20483
536.00	20193
537.00	19939
538.00	19659
539.00	19422
540.00	19193
541.00	18926
542.00	18684
543.00	18398
544.00	18141
545.00	17834
546.00	17596
547.00	17258
548.00	16993
549.00	16696
550.00	16398
551.00	16091
552.00	15768
553.00	15439
554.00	15133
555.00	14778
556.00	14432
557.00	14062
558.00	13720
559.00	13329
560.00	12926
561.00	12551
562.00	12180
563.00	11770
564.00	11375
565.00	10958
566.00	10554
567.00	10118
568.00	9698.3
569.00	9283.3
570.00	8883.1
571.00	8485.3
572.00	8092.3
573.00	7682.8
574.00	7296.3
575.00	6947.9
576.00	6549.7
577.00	6149.4
578.00	5837.1
579.00	5507.7
580.00	5171.2
581.00	4829.7
582.00	4552.7
583.00	4282.6
584.00	3967.4
585.00	3693.7
586.00	3477.8
587.00	3203.3
588.00	2995.0
589.00	2795.8
590.00	2584.9
591.00	2405.5
592.00	2222.8
593.00	2046.1
594.00	1898.8
595.00	1750.8
596.00	1637.5
597.00	1525.2
598.00	1409.7
599.00	1287.5
600.00	1193.6
601.00	1100.5
602.00	999.48
603.00	900.29
604.00	848.14
605.00	782.35
606.00	720.60
607.00	664.60
608.00	618.74
609.00	555.67
610.00	509.67
611.00	464.40
612.00	422.93
613.00	396.00
614.00	367.04
615.00	331.91
616.00	308.00
617.00	270.93
618.00	248.96
619.00	247.73
620.00	221.09
621.00	202.98
622.00	182.52
623.00	173.68
624.00	160.01
625.00	144.71
626.00	137.79
627.00	132.45
628.00	130.37
629.00	112.84
630.00	108.43
631.00	109.11
632.00	107.49
633.00	117.43
634.00	120.86
635.00	127.18
636.00	116.51
637.00	114.10
638.00	101.54
639.00	83.880
640.00	81.961
641.00	80.170
642.00	75.099
643.00	69.599
644.00	67.679
645.00	68.698
646.00	59.402
647.00	55.811
648.00	55.575
649.00	56.282
650.00	59.853
651.00	59.992
652.00	52.573
653.00	56.893
654.00	55.575
655.00	62.736
656.00	56.776
657.00	36.259
658.00	28.503
659.00	49.303
660.00	50.857
661.00	52.562
662.00	60.968
663.00	54.428
664.00	59.885
665.00	47.662
666.00	37.991
667.00	50.053
668.00	43.985
669.00	46.526
670.00	42.559
671.00	48.734
672.00	43.642
673.00	41.058
674.00	45.014
675.00	47.255
676.00	41.326
677.00	47.501
678.00	43.813
679.00	39.031
680.00	33.435
681.00	31.462
682.00	34.089
683.00	35.858
684.00	31.837
685.00	33.413
686.00	31.633
687.00	30.422
688.00	29.275
689.00	28.224
690.00	29.575
691.00	30.465
692.00	32.255
693.00	41.176
694.00	30.218
695.00	35.965
696.00	39.374
697.00	43.717
698.00	33.703
699.00	30.229
700.00	31.312
