Wavelength (nm)	K12 abs e
220.00	18538
220.25	18251
220.50	18879
220.75	18738
221.00	18165
221.25	17973
221.50	18321
221.75	17249
222.00	18059
222.25	17656
222.50	17504
222.75	17321
223.00	17491
223.25	17289
223.50	16991
223.75	16968
224.00	16595
224.25	16185
224.50	16492
224.75	15981
225.00	15341
225.25	15455
225.50	15320
225.75	14767
226.00	14845
226.25	14381
226.50	14584
226.75	14258
227.00	13456
227.25	13286
227.50	12900
227.75	12984
228.00	13074
228.25	13002
228.50	12861
228.75	12093
229.00	11808
229.25	11850
229.50	11429
229.75	11133
230.00	11289
230.25	10635
230.50	10440
230.75	10748
231.00	10176
231.25	9876.8
231.50	9747.4
231.75	9335.5
232.00	9263.2
232.25	8542.0
232.50	8577.3
232.75	8858.0
233.00	8573.9
233.25	8236.0
233.50	8051.1
233.75	7629.1
234.00	7751.8
234.25	7402.1
234.50	7064.2
234.75	7171.8
235.00	6993.6
235.25	6588.5
235.50	6418.7
235.75	6262.3
236.00	6010.1
236.25	6097.6
236.50	5990.0
236.75	5670.6
237.00	5569.7
237.25	5157.8
237.50	5119.1
237.75	5250.3
238.00	5104.0
238.25	4858.6
238.50	4619.8
238.75	4643.4
239.00	4650.1
239.25	4759.4
239.50	4571.1
239.75	4281.9
240.00	4332.3
240.25	4527.4
240.50	3898.6
240.75	3930.6
241.00	3738.9
241.25	3720.4
241.50	3954.1
241.75	4112.1
242.00	3626.3
242.25	3574.1
242.50	3337.1
242.75	3389.2
243.00	3582.6
243.25	3360.6
243.50	3004.2
243.75	3195.9
244.00	3120.2
244.25	3209.3
244.50	3090.0
244.75	3027.8
245.00	2962.2
245.25	3179.1
245.50	2726.8
245.75	2743.7
246.00	2748.7
246.25	2725.2
246.50	3027.8
246.75	2740.3
247.00	3167.3
247.25	2718.4
247.50	2809.2
247.75	2701.6
248.00	2881.5
248.25	2664.6
248.50	2535.2
248.75	2563.8
249.00	2325.0
249.25	2589.0
249.50	2303.2
249.75	2323.4
250.00	2434.3
250.25	2321.7
250.50	2306.6
250.75	2535.2
251.00	2525.1
251.25	2441.0
251.50	2578.9
251.75	2247.7
252.00	2637.7
252.25	2464.6
252.50	2321.7
252.75	2503.2
253.00	2483.1
253.25	2420.9
253.50	2478.0
253.75	2491.5
254.00	2449.5
254.25	2557.0
254.50	2615.9
254.75	1945.1
255.00	2261.2
255.25	2343.5
255.50	2135.1
255.75	2427.6
256.00	2114.9
256.25	2289.7
256.50	2341.9
256.75	2473.0
257.00	2303.2
257.25	2355.3
257.50	2804.2
257.75	2395.7
258.00	2449.5
258.25	2708.3
258.50	2844.5
258.75	2609.2
259.00	2913.4
259.25	2812.6
259.50	2639.4
259.75	2931.9
260.00	2631.0
260.25	2405.7
260.50	2617.6
260.75	2629.3
261.00	2718.4
261.25	2671.4
261.50	3158.9
261.75	2790.7
262.00	2768.9
262.25	2694.9
262.50	2467.9
262.75	2614.2
263.00	3022.7
263.25	2817.6
263.50	2900.0
263.75	3037.9
264.00	2846.2
264.25	2911.8
264.50	3135.4
264.75	3036.2
265.00	3142.1
265.25	2743.7
265.50	2861.3
265.75	3069.8
266.00	2817.6
266.25	3157.2
266.50	2995.8
266.75	3626.3
267.00	3163.9
267.25	3508.6
267.50	3179.1
267.75	3263.1
268.00	3444.7
268.25	3624.6
268.50	3412.8
268.75	3362.3
269.00	3269.9
269.25	3567.4
269.50	3680.1
269.75	3587.6
270.00	3821.3
270.25	3937.3
270.50	3675.0
270.75	4016.3
271.00	3791.0
271.25	4088.6
271.50	3875.1
271.75	3717.0
272.00	3898.6
272.25	4012.9
272.50	4207.9
272.75	4135.7
273.00	4250.0
273.25	4219.7
273.50	4391.2
273.75	4036.5
274.00	4406.3
274.25	4271.8
274.50	4404.6
274.75	4369.3
275.00	4767.8
275.25	4586.2
275.50	4505.5
275.75	4890.5
276.00	4898.9
276.25	4408.0
276.50	4621.5
276.75	4581.2
277.00	4633.3
277.25	4872.0
277.50	4964.5
277.75	5046.8
278.00	4875.4
278.25	5001.5
278.50	4843.4
278.75	5028.3
279.00	4722.4
279.25	4887.1
279.50	4922.4
279.75	4828.3
280.00	4878.7
280.25	5151.1
280.50	5025.0
280.75	5070.4
281.00	5045.2
281.25	5193.1
281.50	5139.3
281.75	4756.0
282.00	5110.7
282.25	5161.2
282.50	5253.6
282.75	5300.7
283.00	5183.0
283.25	5337.7
283.50	5376.3
283.75	5240.2
284.00	5290.6
284.25	4981.3
284.50	4895.5
284.75	4920.8
285.00	5003.1
285.25	5132.6
285.50	4757.7
285.75	4917.4
286.00	5075.4
286.25	4880.4
286.50	5277.2
286.75	4777.9
287.00	5253.6
287.25	4589.6
287.50	4816.5
287.75	4967.8
288.00	4986.3
288.25	4922.4
288.50	4734.1
288.75	4878.7
289.00	5391.5
289.25	5473.9
289.50	4680.3
289.75	4712.3
290.00	4569.4
290.25	4505.5
290.50	4576.1
290.75	4540.8
291.00	4618.1
291.25	4690.4
291.50	4898.9
291.75	4872.0
292.00	4772.8
292.25	4599.7
292.50	4609.7
292.75	4598.0
293.00	4532.4
293.25	4813.2
293.50	4766.1
293.75	4228.1
294.00	4507.2
294.25	4695.5
294.50	4851.8
294.75	4564.3
295.00	4517.3
295.25	5018.3
295.50	4739.2
295.75	4860.2
296.00	4671.9
296.25	4641.7
296.50	4824.9
296.75	4345.8
297.00	4924.1
297.25	4645.0
297.50	4244.9
