Wavelength (nm)	N08 abs e
220.00	39060
220.25	39083
220.50	39013
220.75	39286
221.00	39051
221.25	39912
221.50	39907
221.75	39611
222.00	39620
222.25	39742
222.50	40059
222.75	40012
223.00	39483
223.25	39830
223.50	39459
223.75	39631
224.00	39172
224.25	39635
224.50	39460
224.75	39264
225.00	39247
225.25	39280
225.50	39372
225.75	39074
226.00	39194
226.25	38839
226.50	38754
226.75	38541
227.00	38538
227.25	38469
227.50	38597
227.75	38308
228.00	37964
228.25	37740
228.50	37725
228.75	37418
229.00	37272
229.25	37227
229.50	37067
229.75	36692
230.00	36538
230.25	36406
230.50	36268
230.75	35979
231.00	36050
231.25	35455
231.50	35088
231.75	35071
232.00	34978
232.25	34803
232.50	34601
232.75	34412
233.00	34118
233.25	33943
233.50	33795
233.75	33597
234.00	33209
234.25	33151
234.50	32843
234.75	32806
235.00	32533
235.25	32442
235.50	32113
235.75	31794
236.00	31823
236.25	31355
236.50	31178
236.75	30999
237.00	30965
237.25	30784
237.50	30564
237.75	30509
238.00	30210
238.25	30220
238.50	29977
238.75	29812
239.00	29770
239.25	29299
239.50	29154
239.75	29030
240.00	28825
240.25	28763
240.50	28495
240.75	28479
241.00	28432
241.25	28102
241.50	28025
241.75	27810
242.00	27563
242.25	27247
242.50	27248
242.75	27001
243.00	26743
243.25	26849
243.50	26854
243.75	26860
244.00	26561
244.25	26422
244.50	26080
244.75	26273
245.00	25827
245.25	25775
245.50	25667
245.75	25725
246.00	25554
246.25	25375
246.50	25349
246.75	25255
247.00	25137
247.25	24948
247.50	24863
247.75	24771
248.00	24930
248.25	24834
248.50	24651
248.75	24544
249.00	24445
249.25	24335
249.50	24231
249.75	24155
250.00	24094
250.25	23947
250.50	23641
250.75	23718
251.00	23525
251.25	23479
251.50	23456
251.75	23223
252.00	23386
252.25	23140
252.50	23033
252.75	23012
253.00	22930
253.25	22737
253.50	22553
253.75	22553
254.00	22621
254.25	22394
254.50	22613
254.75	22751
255.00	22438
255.25	22484
255.50	22418
255.75	22266
256.00	22163
256.25	22309
256.50	22340
256.75	22159
257.00	22304
257.25	22205
257.50	22176
257.75	22176
258.00	22072
258.25	21975
258.50	22106
258.75	22149
259.00	22043
259.25	22270
259.50	22173
259.75	22218
260.00	21981
260.25	21955
260.50	21943
260.75	22081
261.00	22017
261.25	22022
261.50	22049
261.75	21924
262.00	22004
262.25	21906
262.50	21991
262.75	21951
263.00	22027
263.25	22090
263.50	22137
263.75	22133
264.00	22161
264.25	22024
264.50	21853
264.75	21859
265.00	21974
265.25	22099
265.50	22105
265.75	22182
266.00	22187
266.25	22101
266.50	22114
266.75	21947
267.00	22201
267.25	21984
267.50	22074
267.75	21885
268.00	22082
268.25	21758
268.50	21799
268.75	21745
269.00	21614
269.25	21472
269.50	21218
269.75	21190
270.00	20979
270.25	20811
270.50	20568
270.75	20272
271.00	20188
271.25	19909
271.50	19657
271.75	19547
272.00	19192
272.25	18901
272.50	18578
272.75	18195
273.00	17886
273.25	17691
273.50	17336
273.75	17122
274.00	16612
274.25	16606
274.50	16409
274.75	16008
275.00	15570
275.25	15081
275.50	14647
275.75	14459
276.00	14070
276.25	13830
276.50	13711
276.75	13398
277.00	13092
277.25	12907
277.50	12519
277.75	12311
278.00	12075
278.25	11862
278.50	11613
278.75	11356
279.00	11075
279.25	10910
279.50	10763
279.75	10540
280.00	10332
280.25	10184
280.50	9955.4
280.75	9757.4
281.00	9624.8
281.25	9483.9
281.50	9208.3
281.75	9253.7
282.00	8995.6
282.25	8920.0
282.50	8840.7
282.75	8718.0
283.00	8586.2
283.25	8516.0
283.50	8230.5
283.75	8118.4
284.00	7912.8
284.25	7911.1
284.50	7853.0
284.75	7623.8
285.00	7608.4
285.25	7651.5
285.50	7314.3
285.75	7394.0
286.00	7310.0
286.25	7121.2
286.50	6920.1
286.75	6878.1
287.00	7049.7
287.25	6831.2
287.50	6861.4
287.75	6810.2
288.00	6661.6
288.25	6612.7
288.50	6471.0
288.75	6258.5
289.00	6299.4
289.25	6265.7
289.50	6186.4
289.75	6268.3
290.00	6395.9
290.25	6254.9
290.50	6199.9
290.75	6078.0
291.00	6074.7
291.25	6104.9
291.50	6087.2
291.75	6085.4
292.00	5969.6
292.25	5921.4
292.50	5944.8
292.75	5807.6
293.00	5982.3
293.25	5709.8
293.50	5883.8
293.75	5913.2
294.00	5878.0
294.25	5907.4
294.50	5823.5
294.75	5862.1
295.00	5784.3
295.25	5857.1
295.50	5877.4
295.75	5934.2
296.00	5951.5
296.25	6084.4
296.50	5894.7
296.75	5880.0
297.00	5809.1
297.25	5917.6
297.50	5810.9
297.75	5896.6
298.00	5878.9
298.25	6172.3
298.50	6213.1
298.75	5999.9
299.00	6090.2
299.25	5846.6
299.50	5934.6
299.75	6006.6
300.00	6062.7
300.25	5942.3
300.50	6209.8
300.75	6204.2
301.00	6168.3
301.25	6279.8
301.50	6307.0
301.75	6099.9
302.00	6217.5
302.25	6148.1
302.50	6150.9
302.75	6261.7
303.00	6409.1
303.25	6305.4
303.50	6627.0
303.75	6396.2
304.00	6335.2
304.25	6327.3
304.50	6499.0
304.75	6450.9
305.00	6340.3
305.25	6696.1
305.50	6775.7
305.75	6650.8
306.00	6674.9
306.25	6659.4
306.50	6825.0
306.75	6758.6
307.00	6871.0
307.25	6801.5
307.50	6718.4
307.75	6952.4
308.00	6810.7
308.25	6952.0
308.50	6996.6
308.75	7076.3
309.00	7117.1
309.25	7040.8
309.50	7173.7
309.75	7578.2
310.00	6851.5
310.25	6782.8
310.50	7124.9
310.75	7289.0
311.00	7251.5
311.25	7449.0
311.50	7534.8
311.75	7157.2
312.00	7629.4
312.25	7975.3
312.50	7193.8
312.75	6883.2
313.00	8180.0
313.25	7747.7
313.50	7214.2
313.75	7233.8
314.00	7840.5
314.25	7891.3
314.50	7643.1
314.75	8001.1
315.00	7692.8
315.25	7567.8
315.50	7736.5
315.75	8181.3
316.00	7869.2
316.25	7773.8
316.50	8076.4
316.75	8208.5
317.00	8231.1
317.25	7968.4
317.50	8216.9
317.75	7615.8
318.00	8589.2
318.25	8363.1
318.50	8205.4
318.75	8666.1
319.00	7868.7
319.25	8057.9
319.50	8088.1
319.75	8589.1
320.00	8316.6
320.25	8243.3
320.50	8148.8
320.75	8329.6
321.00	8179.5
321.25	7919.9
321.50	8044.4
321.75	8540.9
322.00	7853.8
322.25	8447.7
322.50	7994.1
322.75	7723.0
323.00	8316.9
323.25	8298.4
323.50	8760.7
323.75	8366.4
324.00	7984.3
324.25	8054.8
324.50	8155.8
324.75	7611.7
325.00	8153.0
325.25	8045.6
325.50	7742.6
325.75	7556.0
326.00	7847.9
326.25	7919.9
326.50	7734.8
326.75	7899.7
327.00	7923.0
327.25	8063.5
327.50	7959.1
327.75	7790.7
328.00	7624.7
328.25	7843.5
328.50	7574.0
328.75	7311.3
329.00	7076.1
329.25	7119.2
329.50	7455.9
329.75	7677.8
330.00	7357.4
330.25	7091.7
330.50	7286.9
330.75	7333.9
331.00	6598.0
331.25	6828.3
331.50	6711.7
331.75	6889.5
332.00	6981.3
332.25	6889.8
332.50	6580.7
332.75	6729.6
333.00	6428.1
333.25	6571.6
