Wavelength (nm)	O04 abs e
210.00	10614
211.00	10415
212.00	10175
213.00	9896.8
214.00	9629.7
215.00	9414.7
216.00	9296.9
217.00	9163.4
218.00	8980.0
219.00	8839.4
220.00	8777.9
221.00	8797.7
222.00	8847.1
223.00	8918.2
224.00	9011.5
225.00	9113.7
226.00	9217.8
227.00	9333.3
228.00	9455.1
229.00	9582.7
230.00	9725.8
231.00	9848.9
232.00	9980.0
233.00	10140
234.00	10305
235.00	10477
236.00	10645
237.00	10820
238.00	10998
239.00	11169
240.00	11352
241.00	11524
242.00	11688
243.00	11830
244.00	11950
245.00	12048
246.00	12116
247.00	12161
248.00	12194
249.00	12200
250.00	12163
251.00	12103
252.00	12048
253.00	11950
254.00	11860
255.00	11778
256.00	11688
257.00	11597
258.00	11527
259.00	11465
260.00	11418
261.00	11388
262.00	11346
263.00	11305
264.00	11257
265.00	11220
266.00	11129
267.00	11034
268.00	10970
269.00	10875
270.00	10718
271.00	10496
272.00	10279
273.00	10025
274.00	9746.6
275.00	9455.1
276.00	9103.1
277.00	8732.2
278.00	8341.2
279.00	7906.9
280.00	7469.7
281.00	7014.6
282.00	6555.3
283.00	6098.9
284.00	5632.8
285.00	5175.5
286.00	4725.6
287.00	4285.3
288.00	3858.8
289.00	3451.6
290.00	3052.8
291.00	2679.4
292.00	2331.2
293.00	2004.0
294.00	1706.3
295.00	1438.3
296.00	1204.5
297.00	995.83
298.00	816.03
299.00	664.28
300.00	539.61
301.00	436.09
302.00	352.04
303.00	280.36
304.00	228.04
305.00	184.99
306.00	150.35
307.00	124.77
308.00	104.44
309.00	87.831
310.00	76.424
311.00	64.334
312.00	57.227
313.00	49.500
314.00	45.056
315.00	40.881
316.00	37.001
317.00	34.392
318.00	33.386
319.00	32.014
320.00	28.640
321.00	25.557
322.00	29.587
323.00	27.946
324.00	25.046
325.00	25.998
326.00	23.728
327.00	22.533
328.00	23.970
329.00	21.215
330.00	20.327
331.00	20.752
332.00	17.303
333.00	18.315
334.00	19.321
335.00	19.477
336.00	18.110
337.00	17.734
338.00	17.314
339.00	16.346
340.00	16.830
341.00	15.705
342.00	14.656
343.00	13.413
344.00	15.345
345.00	15.953
346.00	13.187
347.00	13.074
348.00	14.027
349.00	14.312
350.00	12.821
351.00	13.225
352.00	11.207
353.00	13.957
354.00	12.924
355.00	11.987
356.00	9.4800
357.00	10.120
358.00	10.814
359.00	11.046
360.00	9.2002
361.00	11.148
362.00	9.1733
363.00	8.0057
364.00	7.7905
365.00	8.5169
366.00	8.3393
367.00	11.180
368.00	10.685
369.00	7.6668
370.00	9.8997
371.00	8.8236
372.00	12.165
373.00	13.090
374.00	11.202
375.00	13.306
376.00	12.676
377.00	11.890
378.00	12.203
379.00	12.628
380.00	13.037
381.00	12.585
382.00	12.563
383.00	15.388
384.00	13.596
385.00	9.4154
386.00	10.976
387.00	11.223
388.00	13.392
389.00	14.021
390.00	13.623
391.00	15.797
392.00	15.802
393.00	14.258
394.00	12.864
395.00	13.564
396.00	15.560
397.00	17.901
398.00	15.840
399.00	15.442
400.00	14.145
