Wavelength (nm)	P03  abs e
350.00	11637
350.25	11622
350.50	11624
350.75	11445
351.00	11337
351.25	11180
351.50	11251
351.75	11093
352.00	11174
352.25	11332
352.50	11094
352.75	11101
353.00	11018
353.25	10868
353.50	10857
353.75	10884
354.00	10772
354.25	10601
354.50	10634
354.75	10496
355.00	10494
355.25	10402
355.50	10285
355.75	10265
356.00	10149
356.25	9948.4
356.50	9998.8
356.75	10086
357.00	9800.7
357.25	9730.4
357.50	9691.0
357.75	9565.6
358.00	9646.3
358.25	9632.8
358.50	9380.7
358.75	9566.9
359.00	9307.9
359.25	9287.0
359.50	9179.5
359.75	9056.5
360.00	8933.1
360.25	8955.1
360.50	8795.3
360.75	8856.6
361.00	8804.9
361.25	8524.6
361.50	8600.4
361.75	8583.7
362.00	8582.0
362.25	8391.7
362.50	8428.4
362.75	8192.4
363.00	8122.8
363.25	8107.8
363.50	8115.1
363.75	8016.0
364.00	7794.3
364.25	7764.0
364.50	7811.8
364.75	7768.1
365.00	7585.5
365.25	7663.0
365.50	7654.5
365.75	7475.2
366.00	7347.3
366.25	7286.7
366.50	7224.7
366.75	7226.7
367.00	7099.3
367.25	7021.4
367.50	7079.1
367.75	6950.5
368.00	6937.4
368.25	6878.8
368.50	6782.6
368.75	6785.8
369.00	6640.2
369.25	6670.9
369.50	6631.2
369.75	6483.6
370.00	6475.0
370.25	6278.1
370.50	6173.5
370.75	6159.0
371.00	6043.7
371.25	6154.7
371.50	6068.4
371.75	6001.3
372.00	6042.3
372.25	5892.0
372.50	5722.1
372.75	5846.7
373.00	5739.8
373.25	5709.1
373.50	5500.0
373.75	5614.0
374.00	5530.6
374.25	5604.8
374.50	5450.3
374.75	5339.4
375.00	5415.5
375.25	5373.5
375.50	5383.6
375.75	5377.0
376.00	5144.4
376.25	5285.6
376.50	5184.2
376.75	5148.4
377.00	5102.5
377.25	5037.9
377.50	5228.3
377.75	4902.6
378.00	5015.1
378.25	4897.8
378.50	4943.7
378.75	4779.6
379.00	4861.1
379.25	4786.5
379.50	4555.1
379.75	4687.3
380.00	4757.9
380.25	4725.3
380.50	4562.5
380.75	4663.4
381.00	4548.7
381.25	4499.5
381.50	4500.4
381.75	4518.5
382.00	4501.3
382.25	4545.8
382.50	4483.1
382.75	4329.0
383.00	4328.9
383.25	4335.9
383.50	4369.7
383.75	4393.9
384.00	4242.7
384.25	4226.3
384.50	4263.6
384.75	4195.7
385.00	4044.5
385.25	4034.7
385.50	4131.9
385.75	3973.2
386.00	4010.0
386.25	3951.8
386.50	3968.0
386.75	4036.7
387.00	4053.0
387.25	3951.6
387.50	3847.7
387.75	3920.3
388.00	3803.5
388.25	3730.4
388.50	3734.0
388.75	3736.3
389.00	3747.9
389.25	3673.2
389.50	3636.0
389.75	3533.4
390.00	3440.7
390.25	3540.5
390.50	3487.1
390.75	3458.1
391.00	3319.8
391.25	3243.2
391.50	3361.5
391.75	3288.9
392.00	3200.1
392.25	3235.2
392.50	3174.8
392.75	3159.9
393.00	3024.6
393.25	3031.8
393.50	2965.4
393.75	2959.0
394.00	2875.3
394.25	2812.0
394.50	2828.5
394.75	2782.8
395.00	2674.2
395.25	2499.3
395.50	2718.7
395.75	2542.4
396.00	2383.9
396.25	2383.8
396.50	2379.1
396.75	2306.0
397.00	2282.2
397.25	2328.9
397.50	2333.2
397.75	2162.6
398.00	2105.0
398.25	2134.6
398.50	2189.4
398.75	2007.5
399.00	1941.2
399.25	2005.5
399.50	2047.2
399.75	1736.3
400.00	1923.2
400.25	1787.1
400.50	1810.1
400.75	1714.2
401.00	1670.4
401.25	1713.0
401.50	1541.5
401.75	1713.1
402.00	1667.6
402.25	1618.5
402.50	1536.2
402.75	1555.0
403.00	1554.2
403.25	1555.0
403.50	1539.7
403.75	1488.2
404.00	1396.0
404.25	1355.5
404.50	1264.7
404.75	1289.4
405.00	1296.5
405.25	1214.9
405.50	1335.7
405.75	1194.2
406.00	1256.8
406.25	1116.6
406.50	1212.6
406.75	1192.1
407.00	1138.5
407.25	1165.1
407.50	1152.8
407.75	972.97
408.00	1089.5
408.25	1163.3
408.50	1074.9
408.75	1000.9
409.00	1093.0
409.25	988.80
409.50	1019.4
409.75	939.45
410.00	977.54
410.25	940.10
410.50	1108.1
410.75	1034.9
411.00	996.71
411.25	1016.6
411.50	1013.8
411.75	957.76
412.00	978.40
412.25	956.50
412.50	940.20
412.75	992.31
413.00	946.24
413.25	817.26
413.50	884.41
413.75	941.57
414.00	922.03
414.25	953.84
414.50	901.77
414.75	889.22
415.00	1011.9
415.25	925.44
415.50	835.23
415.75	1025.6
416.00	883.32
416.25	874.66
416.50	940.65
416.75	1023.5
417.00	992.00
417.25	1002.4
417.50	926.25
417.75	984.36
418.00	957.49
418.25	1030.9
418.50	992.11
418.75	970.52
419.00	984.23
419.25	965.27
419.50	945.49
419.75	968.47
420.00	978.64
420.25	1022.9
420.50	1037.8
420.75	1104.0
421.00	1019.3
421.25	1096.7
421.50	1091.5
421.75	1132.5
422.00	1093.4
422.25	1173.2
422.50	1093.5
422.75	1165.4
423.00	1140.3
423.25	1212.2
423.50	1160.2
423.75	1141.8
424.00	1113.6
424.25	1183.9
424.50	1255.0
424.75	1294.0
425.00	1270.4
425.25	1310.0
425.50	1245.1
425.75	1340.5
426.00	1399.0
426.25	1246.3
426.50	1333.8
426.75	1288.2
427.00	1295.1
427.25	1316.4
427.50	1389.4
427.75	1405.8
428.00	1370.5
428.25	1454.6
428.50	1401.2
428.75	1405.8
429.00	1464.0
429.25	1431.7
429.50	1450.5
429.75	1563.0
430.00	1494.1
430.25	1528.9
430.50	1601.1
430.75	1573.9
431.00	1505.1
431.25	1664.0
