Wavelength (nm)	P05 abs e
350.00	11433
350.25	11361
350.50	11489
350.75	11686
351.00	11525
351.25	11326
351.50	11632
351.75	11587
352.00	11655
352.25	11877
352.50	11695
352.75	11884
353.00	11756
353.25	11597
353.50	11961
353.75	11977
354.00	11686
354.25	11957
354.50	11772
354.75	11687
355.00	11827
355.25	11885
355.50	11649
355.75	11975
356.00	11904
356.25	11713
356.50	11641
356.75	12088
357.00	11838
357.25	11625
357.50	11689
357.75	11701
358.00	11887
358.25	11900
358.50	11531
358.75	11930
359.00	11645
359.25	11502
359.50	11539
359.75	11417
360.00	11479
360.25	11480
360.50	11438
360.75	11612
361.00	11680
361.25	11211
361.50	11439
361.75	11275
362.00	11340
362.25	11366
362.50	11429
362.75	11286
363.00	11270
363.25	11210
363.50	11181
363.75	11009
364.00	10900
364.25	10803
364.50	11085
364.75	10909
365.00	10759
365.25	10816
365.50	10782
365.75	10843
366.00	10588
366.25	10565
366.50	10430
366.75	10488
367.00	10301
367.25	10262
367.50	10190
367.75	10284
368.00	10213
368.25	10063
368.50	10066
368.75	10033
369.00	9921.6
369.25	9903.5
369.50	9993.4
369.75	9833.8
370.00	9962.5
370.25	9531.3
370.50	9537.5
370.75	9217.9
371.00	9438.9
371.25	9264.8
371.50	9160.3
371.75	9108.9
372.00	9146.7
372.25	9129.1
372.50	8867.2
372.75	8821.2
373.00	8739.6
373.25	8663.5
373.50	8437.4
373.75	8723.4
374.00	8571.1
374.25	8527.7
374.50	8433.3
374.75	8380.1
375.00	8183.6
375.25	8176.8
375.50	8079.3
375.75	8228.2
376.00	7815.1
376.25	7938.5
376.50	7743.9
376.75	7904.9
377.00	7722.5
377.25	7549.1
377.50	7699.0
377.75	7329.9
378.00	7298.1
378.25	7257.8
378.50	7164.6
378.75	6991.7
379.00	7186.0
379.25	6737.7
379.50	6572.1
379.75	6744.9
380.00	6757.7
380.25	6611.6
380.50	6504.3
380.75	6442.5
381.00	6283.3
381.25	6175.7
381.50	6047.1
381.75	6049.7
382.00	5969.6
382.25	5872.5
382.50	5886.1
382.75	5699.2
383.00	5537.1
383.25	5575.8
383.50	5387.6
383.75	5395.3
384.00	5283.2
384.25	5068.3
384.50	5137.2
384.75	5174.8
385.00	4917.7
385.25	4808.3
385.50	4788.4
385.75	4612.7
386.00	4614.5
386.25	4497.7
386.50	4479.5
386.75	4319.7
387.00	4411.5
387.25	4309.1
387.50	4136.4
387.75	4103.5
388.00	3962.3
388.25	3907.9
388.50	3770.5
388.75	3815.6
389.00	3737.4
389.25	3596.5
389.50	3536.0
389.75	3342.7
390.00	3255.5
390.25	3403.7
390.50	3242.6
390.75	3214.4
391.00	2965.3
391.25	2984.8
391.50	2964.1
391.75	2991.8
392.00	2934.0
392.25	2934.7
392.50	2801.0
392.75	2734.6
393.00	2697.5
393.25	2623.8
393.50	2663.6
393.75	2435.6
394.00	2282.6
394.25	2167.7
394.50	2328.3
394.75	2211.8
395.00	2212.8
395.25	2067.8
395.50	2054.9
395.75	1908.0
396.00	1797.0
396.25	1770.2
396.50	1767.8
396.75	1679.5
397.00	1626.9
397.25	1764.2
397.50	1585.6
397.75	1483.7
398.00	1529.8
398.25	1596.1
398.50	1681.8
398.75	1289.1
399.00	1364.2
399.25	1410.3
399.50	1336.8
399.75	1322.9
400.00	1353.8
400.25	1273.5
400.50	1212.8
400.75	1231.7
401.00	1184.1
401.25	1203.3
401.50	1121.1
401.75	1261.3
402.00	1253.9
402.25	1157.4
402.50	960.43
402.75	1147.8
403.00	1140.0
403.25	1129.9
403.50	999.96
403.75	1113.9
404.00	960.47
404.25	897.72
404.50	831.21
404.75	860.53
405.00	812.02
405.25	799.01
405.50	1005.6
405.75	814.59
406.00	864.88
406.25	857.09
406.50	760.49
406.75	815.36
407.00	739.33
407.25	713.31
407.50	787.33
407.75	589.50
408.00	672.91
408.25	745.24
408.50	731.86
408.75	626.92
409.00	693.75
409.25	665.63
409.50	586.48
409.75	571.64
410.00	629.67
410.25	643.09
410.50	857.28
410.75	743.63
411.00	735.66
411.25	816.65
411.50	794.94
411.75	801.85
412.00	701.95
412.25	802.58
412.50	777.03
412.75	887.51
413.00	813.39
413.25	718.17
413.50	802.36
413.75	888.65
414.00	784.81
414.25	834.69
414.50	937.39
414.75	763.65
415.00	876.74
415.25	938.12
415.50	856.77
415.75	1070.7
416.00	905.51
416.25	985.16
416.50	978.24
416.75	1031.1
417.00	1163.4
417.25	1136.1
417.50	1145.8
417.75	1200.0
418.00	1176.4
418.25	1260.6
418.50	1208.4
418.75	1065.0
419.00	1136.9
419.25	1224.1
419.50	1169.8
419.75	1194.0
420.00	1270.3
420.25	1183.0
420.50	1283.1
420.75	1274.8
421.00	1245.7
421.25	1295.6
421.50	1213.2
421.75	1196.0
422.00	1288.2
422.25	1307.6
422.50	1255.5
422.75	1239.3
423.00	1307.4
423.25	1282.3
423.50	1195.1
423.75	1098.4
424.00	1138.6
424.25	1133.6
424.50	1144.1
424.75	1113.0
425.00	1020.5
425.25	1090.8
425.50	992.12
425.75	1102.8
426.00	1085.0
426.25	956.17
426.50	1011.6
426.75	939.04
427.00	904.22
427.25	906.74
427.50	894.97
427.75	891.26
428.00	879.03
428.25	845.73
428.50	905.09
428.75	778.67
429.00	809.87
429.25	825.94
429.50	749.68
429.75	870.15
430.00	720.05
430.25	837.76
430.50	857.78
430.75	680.65
431.00	726.87
431.25	815.78
431.50	767.64
431.75	728.79
432.00	693.07
432.25	706.07
432.50	697.37
432.75	661.87
433.00	788.71
433.25	667.74
433.50	676.71
433.75	676.94
434.00	731.45
434.25	704.29
434.50	799.47
434.75	864.19
435.00	720.00
435.25	786.32
435.50	749.13
435.75	805.33
436.00	756.23
436.25	775.97
436.50	758.20
436.75	693.80
437.00	800.02
437.25	848.07
437.50	819.76
437.75	798.42
438.00	866.62
438.25	805.01
438.50	779.00
438.75	975.73
439.00	913.43
439.25	980.99
439.50	941.05
439.75	927.86
440.00	1048.6
440.25	1002.9
440.50	964.50
440.75	1014.0
441.00	942.93
441.25	1052.2
441.50	1024.4
441.75	1073.9
442.00	1167.8
442.25	1025.8
442.50	1087.4
442.75	1204.1
443.00	1191.9
443.25	1151.7
443.50	1211.8
443.75	1222.6
444.00	1138.9
444.25	1276.4
444.50	1262.7
444.75	1274.8
445.00	1374.2
445.25	1269.1
445.50	1348.8
445.75	1498.9
446.00	1347.9
446.25	1391.8
446.50	1478.7
446.75	1452.3
447.00	1462.6
447.25	1631.0
447.50	1639.7
447.75	1659.4
448.00	1605.9
448.25	1641.3
448.50	1653.6
448.75	1737.5
449.00	1766.1
449.25	1792.8
449.50	1767.2
449.75	1835.7
450.00	1902.9
450.25	1875.3
450.50	1943.0
450.75	1898.5
451.00	2044.5
451.25	1985.8
451.50	1923.2
451.75	1983.8
452.00	2120.2
452.25	1996.5
452.50	2161.9
452.75	2169.3
453.00	2187.3
453.25	2179.8
453.50	2205.7
453.75	2259.1
454.00	2314.9
454.25	2369.1
454.50	2338.7
454.75	2308.5
455.00	2466.7
455.25	2430.7
455.50	2462.1
455.75	2531.0
456.00	2549.8
456.25	2494.0
456.50	2609.0
456.75	2571.0
457.00	2595.9
457.25	2691.6
457.50	2710.6
457.75	2781.8
458.00	2734.1
458.25	2746.2
458.50	2917.5
458.75	2772.5
459.00	2886.5
459.25	2952.0
459.50	2951.3
459.75	3005.0
460.00	3088.5
460.25	3008.2
460.50	3089.8
460.75	3125.3
461.00	3182.4
461.25	3169.1
461.50	3261.8
461.75	3207.7
462.00	3421.2
462.25	3370.6
462.50	3373.1
462.75	3479.3
463.00	3490.5
463.25	3503.5
463.50	3495.9
463.75	3553.9
464.00	3624.8
464.25	3649.3
464.50	3653.1
464.75	3776.8
465.00	3800.4
465.25	3933.6
465.50	3892.1
465.75	3898.3
466.00	4007.7
466.25	4083.2
466.50	4055.1
466.75	4150.8
467.00	4185.5
467.25	4241.9
467.50	4358.1
467.75	4355.1
468.00	4519.6
468.25	4641.9
468.50	4662.4
468.75	4688.7
469.00	4819.6
469.25	4833.0
469.50	4908.8
469.75	5062.3
470.00	5129.0
470.25	5200.3
470.50	5394.6
470.75	5444.5
471.00	5508.8
471.25	5699.8
471.50	5770.4
471.75	5877.4
472.00	5924.8
472.25	6097.6
472.50	6162.2
472.75	6270.3
473.00	6394.7
473.25	6546.8
473.50	6720.8
473.75	6827.4
474.00	6982.6
474.25	7049.7
474.50	7213.6
474.75	7307.8
475.00	7499.3
475.25	7661.9
475.50	7847.0
475.75	8038.2
476.00	8272.0
476.25	8383.5
476.50	8605.9
476.75	8798.2
477.00	8924.2
477.25	9035.7
477.50	9164.2
477.75	9347.0
478.00	9394.2
478.25	9621.3
478.50	9736.7
478.75	9775.8
479.00	10024
479.25	10098
479.50	10380
479.75	10501
480.00	10656
480.25	10786
480.50	10837
480.75	11017
481.00	11215
481.25	11339
481.50	11340
481.75	11471
482.00	11726
482.25	11698
482.50	11888
482.75	12102
483.00	12145
