Wavelength (nm)	Q12 abs e
350.00	5073.5
350.25	4755.2
350.50	4291.3
350.75	6081.5
351.00	7275.2
351.25	5200.2
351.50	4787.1
351.75	8537.2
352.00	4361.9
352.25	5806.2
352.50	6124.5
352.75	8578.3
353.00	4018.5
353.25	7327.0
353.50	7728.9
353.75	8105.2
354.00	6965.2
354.25	7409.2
354.50	7334.7
354.75	5096.2
355.00	7206.1
355.25	6234.8
355.50	6941.0
355.75	7040.6
356.00	5426.1
356.25	5283.4
356.50	3875.3
356.75	5740.5
357.00	4684.1
357.25	6325.3
357.50	4988.8
357.75	5874.4
358.00	4317.4
358.25	6228.5
358.50	6197.1
358.75	7392.8
359.00	4646.8
359.25	5593.4
359.50	3492.3
359.75	4743.6
360.00	7238.5
360.25	6289.5
360.50	5691.1
360.75	5988.1
361.00	5733.2
361.25	5401.9
361.50	6086.3
361.75	4719.4
362.00	5771.9
362.25	3051.6
362.50	4829.2
362.75	5687.7
363.00	4585.9
363.25	4082.9
363.50	3511.6
363.75	6172.4
364.00	4621.2
364.25	4734.9
364.50	6594.7
364.75	6046.6
365.00	7524.3
365.25	4193.6
365.50	3695.9
365.75	4883.4
366.00	5619.1
366.25	2555.3
366.50	5329.8
366.75	6386.7
367.00	4977.2
367.25	6914.4
367.50	4486.3
367.75	5411.1
368.00	5522.8
368.25	4358.1
368.50	5451.2
368.75	4919.2
369.00	6398.3
369.25	4471.3
369.50	4112.8
369.75	4972.8
370.00	5036.2
370.25	5826.1
370.50	2994.1
370.75	4893.0
371.00	5186.6
371.25	5492.8
371.50	6857.3
371.75	5485.1
372.00	5615.7
372.25	3931.5
372.50	7132.1
372.75	5705.6
373.00	5774.3
373.25	7096.7
373.50	5217.1
373.75	5952.8
374.00	5342.9
374.25	3374.7
374.50	5500.1
374.75	4451.4
375.00	4008.4
375.25	5642.3
375.50	5038.6
375.75	2929.2
376.00	6562.7
376.25	4553.0
376.50	4705.4
376.75	6141.0
377.00	4072.2
377.25	5333.2
377.50	6877.1
377.75	4654.1
378.00	3674.1
378.25	5001.9
378.50	4901.7
378.75	3957.6
379.00	3340.4
379.25	4765.3
379.50	6686.1
379.75	4263.8
380.00	3574.0
380.25	5416.4
380.50	3316.7
380.75	5229.2
381.00	4861.6
381.25	4951.1
381.50	3231.1
381.75	5214.7
382.00	4974.8
382.25	5080.7
382.50	4781.3
382.75	5067.6
383.00	5150.4
383.25	4823.9
383.50	4606.2
