Wavelength (nm)	Q27 abvs e
350.00	17161
351.00	16981
352.00	16892
353.00	16796
354.00	16716
355.00	16639
356.00	16579
357.00	16555
358.00	16529
359.00	16515
360.00	16507
361.00	16531
362.00	16471
363.00	16539
364.00	16557
365.00	16557
366.00	16601
367.00	16659
368.00	16667
369.00	16712
370.00	16758
371.00	16782
372.00	16822
373.00	16900
374.00	16937
375.00	17017
376.00	17071
377.00	17119
378.00	17182
379.00	17266
380.00	17298
381.00	17368
382.00	17368
383.00	17439
384.00	17384
385.00	17489
386.00	17493
387.00	17507
388.00	17551
389.00	17537
390.00	17549
391.00	17515
392.00	17521
393.00	17475
394.00	17465
395.00	17397
396.00	17397
397.00	17356
398.00	17324
399.00	17286
400.00	17244
401.00	17256
402.00	17288
403.00	17332
404.00	17425
405.00	17551
406.00	17784
407.00	17969
408.00	18310
409.00	18642
410.00	19034
411.00	19566
412.00	20164
413.00	20745
414.00	21444
415.00	22183
416.00	22956
417.00	23768
418.00	24617
419.00	25423
420.00	26220
421.00	27046
422.00	27837
423.00	28637
424.00	29422
425.00	30229
426.00	31023
427.00	31883
428.00	32800
429.00	33787
430.00	34873
431.00	36052
432.00	37374
433.00	38850
434.00	40453
435.00	42179
436.00	44047
437.00	46105
438.00	48323
439.00	50781
440.00	53495
441.00	56524
442.00	59893
443.00	63637
444.00	67778
445.00	72322
446.00	77183
447.00	82429
448.00	87919
449.00	93705
450.00	99637
451.00	1.0571e+05
452.00	1.1185e+05
453.00	1.1809e+05
454.00	1.2463e+05
455.00	1.3134e+05
456.00	1.3834e+05
457.00	1.4581e+05
458.00	1.5368e+05
459.00	1.6176e+05
460.00	1.7008e+05
461.00	1.7857e+05
462.00	1.8684e+05
463.00	1.9472e+05
464.00	2.0185e+05
465.00	2.0810e+05
466.00	2.1320e+05
467.00	2.1687e+05
468.00	2.1915e+05
469.00	2.2000e+05
470.00	2.1954e+05
471.00	2.1770e+05
472.00	2.1476e+05
473.00	2.1088e+05
474.00	2.0611e+05
475.00	2.0060e+05
476.00	1.9449e+05
477.00	1.8788e+05
478.00	1.8090e+05
479.00	1.7357e+05
480.00	1.6601e+05
481.00	1.5840e+05
482.00	1.5074e+05
483.00	1.4299e+05
484.00	1.3527e+05
485.00	1.2760e+05
486.00	1.1993e+05
487.00	1.1244e+05
488.00	1.0509e+05
489.00	97883
490.00	90954
491.00	84221
492.00	77763
493.00	71512
494.00	65625
495.00	60035
496.00	54773
497.00	49880
498.00	45320
499.00	41116
500.00	37278
501.00	33753
502.00	30599
503.00	27711
504.00	25089
505.00	22707
506.00	20638
507.00	18730
508.00	17043
509.00	15522
510.00	14181
511.00	13006
512.00	11971
513.00	11051
514.00	10262
515.00	9540.9
516.00	8912.2
517.00	8373.9
518.00	7893.8
519.00	7470.0
520.00	7094.4
521.00	6793.1
522.00	6521.9
523.00	6282.9
524.00	6068.0
525.00	5889.2
526.00	5752.6
527.00	5642.2
528.00	5553.8
529.00	5497.5
530.00	5445.3
531.00	5421.2
532.00	5399.1
533.00	5429.3
534.00	5443.3
535.00	5465.4
536.00	5525.7
537.00	5591.9
538.00	5634.1
539.00	5710.5
540.00	5760.7
541.00	5837.0
542.00	5901.3
543.00	5985.6
544.00	6049.9
545.00	6132.3
546.00	6186.5
547.00	6238.7
548.00	6288.9
549.00	6349.2
550.00	6369.3
551.00	6383.3
552.00	6407.4
553.00	6415.5
554.00	6415.5
555.00	6387.4
556.00	6361.2
557.00	6365.3
558.00	6329.1
559.00	6305.0
560.00	6284.9
561.00	6290.9
562.00	6305.0
563.00	6329.1
564.00	6333.1
565.00	6437.6
566.00	6513.9
567.00	6660.5
568.00	6785.1
569.00	6961.8
570.00	7172.7
571.00	7381.6
572.00	7642.7
573.00	7913.9
574.00	8201.1
575.00	8500.4
576.00	8811.7
577.00	9147.2
578.00	9484.6
579.00	9840.1
580.00	10164
581.00	10535
582.00	10901
583.00	11248
584.00	11580
585.00	11915
586.00	12230
587.00	12532
588.00	12771
589.00	13004
590.00	13182
591.00	13305
592.00	13413
593.00	13442
594.00	13421
595.00	13363
596.00	13255
597.00	13122
598.00	12909
599.00	12694
600.00	12463
601.00	12236
602.00	11963
603.00	11734
604.00	11495
605.00	11298
606.00	11100
607.00	10985
608.00	10877
609.00	10838
610.00	10913
611.00	11013
612.00	11242
613.00	11578
614.00	11985
615.00	12560
616.00	13231
617.00	14016
618.00	14886
619.00	15862
620.00	16882
621.00	17951
622.00	19040
623.00	20076
624.00	21068
625.00	21966
626.00	22808
627.00	23535
628.00	24204
629.00	24776
630.00	25274
631.00	25700
632.00	26096
633.00	26405
634.00	26718
635.00	26953
636.00	27162
637.00	27389
638.00	27498
639.00	27640
640.00	27727
641.00	27753
642.00	27763
643.00	27715
644.00	27576
645.00	27387
646.00	27124
647.00	26769
648.00	26333
649.00	25790
650.00	25176
651.00	24455
652.00	23697
653.00	22838
654.00	21936
655.00	21002
656.00	20040
657.00	19056
658.00	18089
659.00	17123
660.00	16193
661.00	15261
662.00	14359
663.00	13502
664.00	12694
665.00	11929
666.00	11226
667.00	10537
668.00	9866.3
669.00	9297.8
670.00	8745.5
671.00	8221.2
672.00	7731.1
673.00	7291.2
674.00	6887.5
675.00	6525.9
676.00	6192.5
677.00	5923.4
678.00	5676.3
679.00	5477.5
680.00	5296.7
681.00	5158.1
682.00	5081.8
683.00	5043.6
684.00	5005.4
685.00	5069.7
686.00	5126.0
687.00	5240.4
688.00	5369.0
689.00	5575.9
690.00	5770.7
691.00	6011.7
692.00	6240.7
693.00	6493.8
694.00	6710.7
695.00	6935.7
696.00	7142.6
697.00	7311.3
698.00	7435.8
699.00	7502.1
700.00	7598.5
701.00	7588.5
702.00	7550.3
703.00	7506.1
704.00	7383.6
705.00	7243.0
706.00	7080.3
707.00	6877.5
708.00	6656.5
709.00	6395.4
710.00	6152.3
711.00	5921.4
712.00	5646.2
713.00	5379.0
714.00	5121.9
715.00	4864.8
716.00	4597.7
717.00	4384.8
718.00	4151.8
719.00	3916.8
720.00	3705.9
721.00	3470.9
722.00	3314.2
723.00	3081.2
724.00	2912.5
725.00	2729.7
726.00	2575.0
727.00	2422.4
728.00	2271.7
729.00	2155.2
730.00	1974.5
731.00	1868.0
732.00	1735.4
733.00	1645.0
734.00	1528.5
735.00	1442.2
736.00	1347.8
737.00	1275.5
738.00	1231.3
739.00	1144.9
740.00	1092.7
741.00	1028.4
742.00	986.22
743.00	923.96
744.00	871.73
745.00	815.49
746.00	769.29
747.00	739.17
748.00	701.00
749.00	668.86
750.00	656.81
751.00	612.62
752.00	598.56
