Wavelength (nm)	R01 abs e
300.00	12069
301.00	11976
302.00	11856
303.00	11739
304.00	11617
305.00	11482
306.00	11337
307.00	11164
308.00	10985
309.00	10814
310.00	10641
311.00	10469
312.00	10297
313.00	10129
314.00	9953.5
315.00	9785.2
316.00	9621.8
317.00	9479.2
318.00	9331.6
319.00	9175.1
320.00	9023.6
321.00	8872.0
322.00	8728.4
323.00	8579.9
324.00	8419.2
325.00	8283.9
326.00	8150.8
327.00	8027.2
328.00	7904.7
329.00	7814.1
330.00	7741.8
331.00	7681.1
332.00	7643.0
333.00	7622.0
334.00	7628.5
335.00	7653.4
336.00	7712.4
337.00	7761.0
338.00	7847.6
339.00	7946.0
340.00	8038.0
341.00	8144.6
342.00	8261.2
343.00	8372.6
344.00	8493.5
345.00	8624.2
346.00	8757.7
347.00	8900.2
348.00	9030.7
349.00	9168.2
350.00	9296.7
351.00	9449.1
352.00	9621.2
353.00	9781.4
354.00	9945.6
355.00	10130
356.00	10310
357.00	10507
358.00	10718
359.00	10875
360.00	11066
361.00	11360
362.00	11642
363.00	11906
364.00	12163
365.00	12340
366.00	12528
367.00	13076
368.00	13948
369.00	14823
370.00	15423
371.00	15794
372.00	16137
373.00	16615
374.00	17223
375.00	17917
376.00	18607
377.00	19389
378.00	20136
379.00	20977
380.00	21812
381.00	22751
382.00	23763
383.00	24826
384.00	25956
385.00	27165
386.00	28399
387.00	29657
388.00	30991
389.00	32282
390.00	33712
391.00	35250
392.00	36788
393.00	38305
394.00	39996
395.00	41992
396.00	44236
397.00	46716
398.00	49665
399.00	52475
400.00	55866
401.00	59679
402.00	63771
403.00	68199
404.00	73095
405.00	78106
406.00	82689
407.00	87150
408.00	91911
409.00	96368
410.00	99845
411.00	1.0312e+05
412.00	1.0580e+05
413.00	1.0791e+05
414.00	1.0907e+05
415.00	1.0973e+05
416.00	1.1000e+05
417.00	1.0959e+05
418.00	1.0878e+05
419.00	1.0743e+05
420.00	1.0579e+05
421.00	1.0366e+05
422.00	1.0123e+05
423.00	98681
424.00	95879
425.00	93097
426.00	90626
427.00	88209
428.00	85963
429.00	83801
430.00	81951
431.00	80327
432.00	78610
433.00	76532
434.00	74380
435.00	72235
436.00	69552
437.00	66698
438.00	63529
439.00	60113
440.00	56460
441.00	52391
442.00	48590
443.00	44643
444.00	40641
445.00	36810
446.00	33001
447.00	29496
448.00	26232
449.00	23101
450.00	20319
451.00	17837
452.00	15532
453.00	13519
454.00	11750
455.00	10115
456.00	8795.2
457.00	7622.1
458.00	6600.8
459.00	5763.3
460.00	5060.9
461.00	4400.6
462.00	3900.3
463.00	3424.7
464.00	2956.8
465.00	2659.0
466.00	2368.4
467.00	2239.5
468.00	1997.0
469.00	1795.2
470.00	1658.6
471.00	1510.1
472.00	1412.5
473.00	1338.8
474.00	1294.2
475.00	1226.7
476.00	1214.4
477.00	1251.4
478.00	1216.6
479.00	1223.1
480.00	1232.9
481.00	1247.0
482.00	1282.0
483.00	1345.3
484.00	1324.5
485.00	1379.4
486.00	1545.1
487.00	1780.4
488.00	1798.0
489.00	1607.2
490.00	1562.2
491.00	1575.3
492.00	1623.7
493.00	1674.4
494.00	1774.2
495.00	1836.6
496.00	1885.7
497.00	1973.5
498.00	2107.3
499.00	2170.2
500.00	2257.5
501.00	2353.2
502.00	2451.3
503.00	2589.1
504.00	2724.5
505.00	2852.4
506.00	2959.8
507.00	3069.5
508.00	3202.6
509.00	3309.9
510.00	3472.7
511.00	3595.0
512.00	3697.4
513.00	3832.8
514.00	3961.5
515.00	4061.1
516.00	4165.7
517.00	4250.5
518.00	4366.9
519.00	4442.3
520.00	4548.9
521.00	4588.0
522.00	4625.4
523.00	4690.3
524.00	4769.2
525.00	4805.6
526.00	4841.6
527.00	4879.7
528.00	4927.0
529.00	4998.0
530.00	5096.0
531.00	5171.7
532.00	5225.1
533.00	5355.4
534.00	5509.5
535.00	5662.5
536.00	5828.9
537.00	5995.3
538.00	6186.5
539.00	6384.9
540.00	6654.0
541.00	6885.7
542.00	7139.3
543.00	7400.1
544.00	7680.1
545.00	7994.9
546.00	8318.3
547.00	8609.5
548.00	8906.4
549.00	9283.7
550.00	9594.7
551.00	9911.3
552.00	10215
553.00	10526
554.00	10820
555.00	11144
556.00	11380
557.00	11659
558.00	11876
559.00	12106
560.00	12297
561.00	12447
562.00	12589
563.00	12720
564.00	12828
565.00	12918
566.00	12998
567.00	13039
568.00	13102
569.00	13187
570.00	13222
571.00	13322
572.00	13348
573.00	13424
574.00	13348
575.00	13399
576.00	13417
577.00	13422
578.00	13227
579.00	13339
580.00	13127
581.00	13044
582.00	12736
583.00	12828
584.00	12528
585.00	12097
586.00	11943
587.00	11687
588.00	11342
589.00	11087
590.00	10750
591.00	10431
592.00	10120
593.00	9787.4
594.00	9594.6
595.00	9374.8
596.00	9092.4
597.00	8915.6
598.00	8769.3
599.00	8609.9
600.00	8610.8
601.00	8608.5
602.00	8635.9
603.00	8712.7
604.00	8789.3
605.00	8999.6
606.00	9171.4
607.00	9368.0
608.00	9578.5
609.00	9795.2
610.00	9983.6
611.00	10212
612.00	10360
613.00	10539
614.00	10634
615.00	10700
616.00	10692
617.00	10668
618.00	10544
619.00	10437
620.00	10265
621.00	10130
622.00	9993.3
623.00	9779.3
624.00	9609.6
625.00	9412.9
626.00	9167.5
627.00	8918.0
628.00	8666.4
629.00	8510.4
630.00	8418.8
631.00	8367.0
632.00	8329.5
633.00	8287.6
634.00	8278.2
635.00	8291.2
636.00	8328.9
637.00	8339.2
638.00	8382.6
639.00	8449.9
640.00	8603.3
641.00	8760.4
642.00	8942.3
643.00	9040.1
644.00	9173.4
645.00	9261.2
646.00	9323.9
647.00	9322.0
648.00	9308.4
649.00	9278.9
650.00	9169.3
651.00	9003.1
652.00	8889.5
653.00	8662.7
654.00	8337.7
655.00	8488.2
656.00	8278.6
657.00	7882.3
658.00	7499.9
659.00	6883.6
660.00	6494.0
661.00	6137.3
662.00	5771.0
663.00	5416.2
664.00	5059.9
665.00	4718.0
666.00	4405.8
667.00	4086.6
668.00	3802.6
669.00	3523.0
670.00	3258.2
671.00	3009.5
672.00	2796.0
673.00	2559.4
674.00	2370.4
675.00	2196.4
676.00	2032.0
677.00	1877.6
678.00	1768.6
679.00	1619.2
680.00	1526.3
681.00	1400.4
682.00	1289.4
683.00	1212.7
684.00	1168.6
685.00	1109.6
686.00	1023.3
687.00	952.83
688.00	905.48
689.00	850.49
690.00	828.16
691.00	783.92
692.00	731.48
693.00	702.07
694.00	670.20
695.00	660.04
696.00	621.85
697.00	623.68
698.00	598.89
699.00	547.86
700.00	534.12
701.00	521.31
702.00	502.57
703.00	499.30
704.00	471.58
705.00	450.76
706.00	430.22
707.00	463.39
708.00	405.94
709.00	380.87
710.00	371.84
711.00	361.78
712.00	343.03
713.00	347.22
714.00	348.10
715.00	314.26
716.00	294.56
717.00	274.87
718.00	306.90
719.00	292.03
720.00	285.08
721.00	263.03
722.00	271.46
723.00	264.61
724.00	275.60
725.00	270.34
726.00	281.33
727.00	264.00
728.00	274.42
729.00	299.85
730.00	294.69
731.00	309.63
732.00	281.26
733.00	281.39
734.00	323.24
735.00	299.68
736.00	279.80
737.00	294.27
738.00	257.97
739.00	286.99
740.00	295.05
741.00	237.88
742.00	254.06
743.00	273.54
744.00	229.12
745.00	252.75
746.00	231.45
747.00	232.71
748.00	232.46
749.00	221.18
750.00	268.60
751.00	217.19
752.00	202.03
753.00	207.54
754.00	210.50
755.00	169.57
756.00	212.75
757.00	238.83
758.00	218.39
759.00	124.79
760.00	207.89
761.00	196.78
762.00	77.132
763.00	143.24
764.00	195.57
765.00	211.84
766.00	91.997
767.00	48.429
768.00	154.37
769.00	217.17
770.00	115.45
771.00	152.30
772.00	96.273
773.00	108.01
774.00	122.68
775.00	100.44
776.00	114.07
777.00	113.16
778.00	125.00
779.00	159.68
780.00	117.99
781.00	106.51
782.00	143.17
783.00	75.904
784.00	72.638
785.00	74.281
786.00	89.414
787.00	96.055
788.00	127.43
789.00	89.810
790.00	47.370
791.00	69.204
792.00	78.022
793.00	69.471
794.00	125.95
795.00	133.81
796.00	40.544
797.00	36.195
798.00	107.02
799.00	86.198
800.00	57.633
