Wavelength (nm)	S08 abs e
285.00	34499
286.00	34271
287.00	34085
288.00	33947
289.00	33898
290.00	33853
291.00	33822
292.00	33850
293.00	33946
294.00	33993
295.00	34130
296.00	34220
297.00	34355
298.00	34532
299.00	34670
300.00	34930
301.00	35251
302.00	35590
303.00	36011
304.00	36474
305.00	36970
306.00	37480
307.00	38030
308.00	38582
309.00	39075
310.00	39509
311.00	39892
312.00	40258
313.00	40570
314.00	40822
315.00	41031
316.00	41247
317.00	41482
318.00	41828
319.00	42172
320.00	42557
321.00	43008
322.00	43480
323.00	43991
324.00	44549
325.00	45003
326.00	45352
327.00	45645
328.00	45804
329.00	45874
330.00	45873
331.00	45695
332.00	45339
333.00	44972
334.00	44551
335.00	44009
336.00	43416
337.00	42861
338.00	42300
339.00	41719
340.00	41139
341.00	40598
342.00	40038
343.00	39571
344.00	39043
345.00	38654
346.00	38319
347.00	37982
348.00	37761
349.00	37628
350.00	37510
351.00	37454
352.00	37463
353.00	37470
354.00	37415
355.00	37242
356.00	36989
357.00	36564
358.00	35985
359.00	35340
360.00	34498
361.00	33612
362.00	32654
363.00	31588
364.00	30562
365.00	29380
366.00	28353
367.00	27252
368.00	26281
369.00	25282
370.00	24282
371.00	23278
372.00	22372
373.00	21510
374.00	20758
375.00	19993
376.00	19251
377.00	18710
378.00	18162
379.00	17665
380.00	17184
381.00	16793
382.00	16501
383.00	16153
384.00	15887
385.00	15728
386.00	15571
387.00	15396
388.00	15248
389.00	15185
390.00	15201
391.00	15178
392.00	15164
393.00	15166
394.00	15183
395.00	15208
396.00	15190
397.00	15359
398.00	15325
399.00	15373
400.00	15383
401.00	15400
402.00	15549
403.00	15569
404.00	15634
405.00	15671
406.00	15711
407.00	15746
408.00	15896
409.00	15942
410.00	16024
411.00	16084
412.00	16131
413.00	16227
414.00	16242
415.00	16222
416.00	16265
417.00	16242
418.00	16193
419.00	16114
420.00	15995
421.00	15878
422.00	15700
423.00	15564
424.00	15424
425.00	15275
426.00	15212
427.00	15105
428.00	15079
429.00	15013
430.00	15031
431.00	14991
432.00	15072
433.00	15180
434.00	15240
435.00	15335
436.00	15470
437.00	15574
438.00	15630
439.00	15840
440.00	15966
441.00	16067
442.00	16191
443.00	16261
444.00	16254
445.00	16263
446.00	16243
447.00	16206
448.00	16178
449.00	16163
450.00	16066
451.00	15974
452.00	15898
453.00	15840
454.00	15711
455.00	15713
456.00	15746
457.00	15691
458.00	15706
459.00	15708
460.00	15781
461.00	15766
462.00	15782
463.00	15901
464.00	15978
465.00	16056
466.00	16153
467.00	16278
468.00	16391
469.00	16439
470.00	16526
471.00	16695
472.00	16825
473.00	16854
474.00	16892
475.00	16907
476.00	16817
477.00	16693
478.00	16614
479.00	16419
480.00	16297
481.00	16067
482.00	15674
483.00	15439
484.00	15172
485.00	14631
486.00	14363
487.00	13996
488.00	13583
489.00	13140
490.00	12818
491.00	12410
492.00	12108
493.00	11753
494.00	11559
495.00	11254
496.00	11062
497.00	10832
498.00	10535
499.00	10455
500.00	10366
501.00	10181
502.00	10061
503.00	9873.3
504.00	9922.2
505.00	9846.3
506.00	9772.4
507.00	9684.4
508.00	9612.9
509.00	9534.8
510.00	9381.8
511.00	9397.4
512.00	9098.0
513.00	8982.3
514.00	8733.2
515.00	8458.0
516.00	8355.1
517.00	8022.8
518.00	7708.2
519.00	7324.0
520.00	7024.6
521.00	6741.0
522.00	6554.1
523.00	6173.6
524.00	5848.8
525.00	5654.7
526.00	5395.0
527.00	5005.2
528.00	4758.0
529.00	4533.3
530.00	4293.2
531.00	4020.4
532.00	3990.3
533.00	3808.4
534.00	3580.0
535.00	3409.4
536.00	3280.2
537.00	3122.5
538.00	3070.4
539.00	3004.8
540.00	2905.0
541.00	2891.2
542.00	2829.8
543.00	2732.1
544.00	2693.3
545.00	2634.1
546.00	2646.6
547.00	2558.2
548.00	2659.7
549.00	2674.2
550.00	2621.8
551.00	2595.0
552.00	2610.6
553.00	2505.6
554.00	2494.2
555.00	2552.6
556.00	2477.4
557.00	2452.9
558.00	2398.1
559.00	2313.9
560.00	2176.4
561.00	2150.4
562.00	2088.5
563.00	2034.7
564.00	1932.9
565.00	1851.5
566.00	1856.9
567.00	1770.4
568.00	1686.6
569.00	1591.3
570.00	1550.0
571.00	1454.9
572.00	1395.7
573.00	1367.6
574.00	1303.8
575.00	1266.7
576.00	1198.7
577.00	1176.5
578.00	1122.6
579.00	1113.7
580.00	1055.3
581.00	1020.5
582.00	992.31
583.00	960.72
584.00	907.63
585.00	912.18
586.00	877.12
587.00	818.87
588.00	833.89
589.00	795.29
590.00	781.19
591.00	746.05
592.00	773.41
593.00	780.49
594.00	726.33
595.00	712.07
596.00	704.60
597.00	679.79
598.00	683.64
599.00	670.85
600.00	669.61
601.00	678.32
602.00	659.98
603.00	658.60
604.00	663.06
605.00	664.45
606.00	666.84
607.00	627.47
608.00	652.82
609.00	670.15
610.00	662.06
611.00	680.94
612.00	674.39
613.00	666.61
614.00	662.53
615.00	674.93
616.00	665.30
617.00	644.57
618.00	633.63
619.00	659.60
620.00	651.28
621.00	661.22
622.00	672.93
623.00	676.32
624.00	665.22
625.00	659.75
626.00	683.48
627.00	657.67
628.00	647.58
629.00	708.06
630.00	693.89
631.00	726.63
632.00	778.95
633.00	783.58
634.00	867.80
635.00	959.03
636.00	977.98
637.00	1030.9
638.00	975.05
639.00	919.96
640.00	893.76
641.00	919.58
642.00	928.98
643.00	1071.4
644.00	1070.8
645.00	1113.0
646.00	1104.0
647.00	1087.2
648.00	1146.3
649.00	1216.8
650.00	1274.3
651.00	1313.9
652.00	1309.5
653.00	1279.3
654.00	1360.5
655.00	1325.3
656.00	1381.4
657.00	1387.0
658.00	1469.7
659.00	1559.8
660.00	1581.8
661.00	1699.2
662.00	1763.2
663.00	1800.3
664.00	1804.4
665.00	1892.5
666.00	1965.3
667.00	2010.3
668.00	2119.9
669.00	2224.2
670.00	2303.5
671.00	2446.4
672.00	2524.7
673.00	2648.4
674.00	2824.7
675.00	2966.8
676.00	3016.3
677.00	3144.3
678.00	3285.2
679.00	3474.7
680.00	3578.2
681.00	3682.5
682.00	3862.0
683.00	3983.7
684.00	4058.4
685.00	4201.8
686.00	4357.0
