Wavelength (nm)	T06 Chl e6 abs e
300.00	14958
301.00	14912
302.00	14875
303.00	14805
304.00	14697
305.00	14543
306.00	14337
307.00	14082
308.00	13825
309.00	13549
310.00	13245
311.00	12989
312.00	12747
313.00	12542
314.00	12379
315.00	12275
316.00	12212
317.00	12209
318.00	12257
319.00	12370
320.00	12540
321.00	12763
322.00	13033
323.00	13365
324.00	13746
325.00	14184
326.00	14696
327.00	15243
328.00	15834
329.00	16477
330.00	17148
331.00	17839
332.00	18523
333.00	19226
334.00	19923
335.00	20620
336.00	21311
337.00	22010
338.00	22704
339.00	23468
340.00	24255
341.00	25088
342.00	26004
343.00	26969
344.00	27970
345.00	29075
346.00	30233
347.00	31423
348.00	32651
349.00	33860
350.00	35051
351.00	36143
352.00	37161
353.00	38107
354.00	38929
355.00	39708
356.00	40512
357.00	41192
358.00	41894
359.00	42652
360.00	43322
361.00	44086
362.00	44827
363.00	45497
364.00	46349
365.00	47342
366.00	48622
367.00	50040
368.00	51569
369.00	53038
370.00	54439
371.00	55815
372.00	57246
373.00	58963
374.00	60914
375.00	62997
376.00	65363
377.00	67868
378.00	70558
379.00	73424
380.00	76383
381.00	79521
382.00	82969
383.00	86410
384.00	90343
385.00	94332
386.00	98335
387.00	1.0285e+05
388.00	1.0747e+05
389.00	1.1225e+05
390.00	1.1720e+05
391.00	1.2246e+05
392.00	1.2826e+05
393.00	1.3411e+05
394.00	1.3972e+05
395.00	1.4567e+05
396.00	1.5152e+05
397.00	1.5710e+05
398.00	1.6231e+05
399.00	1.6594e+05
400.00	1.6815e+05
401.00	1.6903e+05
402.00	1.6817e+05
403.00	1.6600e+05
404.00	1.6231e+05
405.00	1.5739e+05
406.00	1.5163e+05
407.00	1.4474e+05
408.00	1.3671e+05
409.00	1.2829e+05
410.00	1.2033e+05
411.00	1.1196e+05
412.00	1.0332e+05
413.00	95095
414.00	87110
415.00	79147
416.00	71392
417.00	63994
418.00	57115
419.00	50678
420.00	44614
421.00	39061
422.00	34360
423.00	30486
424.00	26715
425.00	23442
426.00	20700
427.00	18108
428.00	16027
429.00	14210
430.00	12595
431.00	11391
432.00	10356
433.00	9281.6
434.00	8410.9
435.00	7678.4
436.00	6966.7
437.00	6460.1
438.00	5953.2
439.00	5540.7
440.00	5139.3
441.00	4774.6
442.00	4502.3
443.00	4209.6
444.00	4011.2
445.00	3823.0
446.00	3644.8
447.00	3494.7
448.00	3384.7
449.00	3285.0
450.00	3175.8
451.00	3125.0
452.00	3016.6
453.00	2983.9
454.00	2951.0
455.00	2966.4
456.00	2928.3
457.00	2909.0
458.00	2906.7
459.00	2909.9
460.00	2956.6
461.00	2927.6
462.00	2936.7
463.00	2950.0
464.00	3004.1
465.00	3061.2
466.00	3054.8
467.00	3056.7
468.00	3152.5
469.00	3183.8
470.00	3232.2
471.00	3318.3
472.00	3383.6
473.00	3450.9
474.00	3516.4
475.00	3609.7
476.00	3662.5
477.00	3768.6
478.00	3852.1
479.00	3954.7
480.00	4088.4
481.00	4291.9
482.00	4512.9
