Wavelength (nm)	FL013 [4] 152-23-4, Catechin [M]
210.00	27452
211.00	28485
212.00	28357
213.00	29115
214.00	29159
215.00	27140
216.00	25847
217.00	24595
218.00	22824
219.00	21160
220.00	19803
221.00	18752
222.00	17948
223.00	17234
224.00	16656
225.00	16309
226.00	15947
227.00	15567
228.00	15234
229.00	14874
230.00	14518
231.00	14113
232.00	13681
233.00	13130
234.00	12505
235.00	11729
236.00	10753
237.00	9656.6
238.00	8484.2
239.00	7277.4
240.00	6095.3
241.00	4988.5
242.00	3956.1
243.00	3054.3
244.00	2308.8
245.00	1741.8
246.00	1322.5
247.00	1029.5
248.00	837.15
249.00	715.44
250.00	645.29
251.00	612.53
252.00	605.71
253.00	616.32
254.00	641.85
255.00	677.84
256.00	728.66
257.00	787.09
258.00	854.12
259.00	924.93
260.00	1002.9
261.00	1097.7
262.00	1198.6
263.00	1314.2
264.00	1442.8
265.00	1577.7
266.00	1724.4
267.00	1880.7
268.00	2039.2
269.00	2210.5
270.00	2391.1
271.00	2565.0
272.00	2734.1
273.00	2888.7
274.00	3040.0
275.00	3192.6
276.00	3326.7
277.00	3443.3
278.00	3555.3
279.00	3662.3
280.00	3741.2
281.00	3750.0
282.00	3677.5
283.00	3560.1
284.00	3420.2
285.00	3263.9
286.00	3103.8
287.00	2950.8
288.00	2789.1
289.00	2592.4
290.00	2327.1
291.00	1983.9
292.00	1603.2
293.00	1233.1
294.00	905.70
295.00	643.50
296.00	452.40
297.00	319.09
298.00	226.36
299.00	167.88
300.00	126.41
301.00	100.50
302.00	84.547
303.00	68.659
304.00	62.120
305.00	55.635
306.00	49.984
307.00	47.598
308.00	49.908
309.00	49.024
310.00	43.714
311.00	42.600
312.00	43.807
313.00	41.914
314.00	41.936
315.00	38.617
316.00	35.506
317.00	36.395
318.00	36.801
319.00	34.694
320.00	34.508
321.00	32.396
322.00	32.846
323.00	34.179
324.00	34.491
325.00	31.683
326.00	31.161
327.00	28.111
328.00	29.082
329.00	26.010
330.00	26.690
331.00	25.867
332.00	25.993
333.00	23.442
334.00	21.588
335.00	23.146
336.00	22.290
337.00	21.775
338.00	23.442
339.00	22.345
340.00	21.078
341.00	18.944
342.00	21.380
343.00	20.968
344.00	18.258
345.00	21.764
346.00	18.455
347.00	19.887
348.00	20.112
349.00	16.535
350.00	21.687
351.00	19.964
352.00	18.850
353.00	20.814
354.00	19.366
355.00	19.503
356.00	19.278
357.00	16.782
358.00	19.849
359.00	17.408
360.00	16.870
361.00	20.024
362.00	18.993
363.00	16.634
364.00	12.969
365.00	12.026
366.00	16.140
367.00	19.706
368.00	16.793
369.00	12.898
370.00	17.808
371.00	17.534
372.00	10.133
373.00	15.586
374.00	8.0921
375.00	11.049
376.00	17.117
377.00	18.686
378.00	16.486
379.00	13.068
380.00	13.233
381.00	13.381
382.00	13.074
383.00	10.418
384.00	9.6831
385.00	10.407
386.00	9.3704
387.00	7.9001
388.00	10.753
389.00	9.7708
390.00	12.980
391.00	10.468
392.00	8.4651
393.00	8.4871
394.00	2.6827
395.00	6.6382
396.00	7.0607
397.00	10.210
398.00	6.6163
399.00	6.3530
400.00	8.2841
401.00	9.4142
402.00	11.773
403.00	7.4941
404.00	7.4996
405.00	8.0208
406.00	6.0293
407.00	5.1625
408.00	0.27980
409.00	2.4797
410.00	7.8836
411.00	8.9754
412.00	4.2682
413.00	9.7599
414.00	9.1619
415.00	5.4532
416.00	3.5605
417.00	2.2603
418.00	8.3115
419.00	9.2826
420.00	4.0323
421.00	6.1829
422.00	8.1853
423.00	4.4822
424.00	6.5066
425.00	8.3609
426.00	10.479
427.00	6.9126
428.00	7.0717
429.00	10.276
430.00	8.0647
431.00	7.5654
432.00	2.4318
433.00	5.3106
434.00	4.8278
435.00	8.2402
436.00	8.1853
437.00	3.9830
438.00	9.0137
439.00	6.2762
440.00	4.0872
441.00	6.2981
442.00	8.6956
443.00	8.8108
444.00	10.517
445.00	11.022
446.00	10.429
447.00	5.3216
448.00	9.1674
449.00	14.654
450.00	15.433
451.00	8.3774
452.00	8.7888
453.00	13.156
454.00	9.0631
455.00	5.0363
456.00	11.466
457.00	14.264
458.00	6.4133
459.00	5.9854
460.00	10.863
461.00	11.746
462.00	8.8876
463.00	6.2762
464.00	11.751
465.00	2.7321
466.00	4.7455
467.00	7.4173
468.00	4.1914
469.00	1.2399
470.00	9.4801
471.00	16.585
472.00	8.5913
473.00	16.310
474.00	10.566
475.00	1.5361
476.00	11.592
477.00	22.971
478.00	5.4203
479.00	12.849
480.00	0.31240
481.00	7.4392
482.00	3.5111
483.00	11.208
484.00	8.3335
485.00	3.9665
486.00	5.9470
487.00	2.9790
488.00	3.5879
489.00	16.996
490.00	7.1375
491.00	7.8068
492.00	14.966
493.00	6.7973
494.00	1.1247
495.00	5.8537
496.00	0.66382
497.00	1.6952
498.00	7.7464
499.00	7.0333
500.00	9.4910
