Wavelength (nm)	FL042 [8] 24211-30-1, Cyrtopterinetin [D]
213.00	20715
214.00	20053
215.00	19391
216.00	18729
217.00	18067
218.00	17411
219.00	16829
220.00	16247
221.00	15665
222.00	15083
223.00	14501
224.00	13935
225.00	13406
226.00	12877
227.00	12348
228.00	11819
229.00	11294
230.00	10794
231.00	10295
232.00	9794.8
233.00	9322.2
234.00	8879.0
235.00	8435.8
236.00	7992.7
237.00	7539.0
238.00	7082.9
239.00	6626.9
240.00	6134.5
241.00	5642.0
242.00	5173.0
243.00	4737.5
244.00	4302.0
245.00	3960.7
246.00	3619.4
247.00	3278.1
248.00	3025.6
249.00	2783.1
250.00	2621.7
251.00	2460.4
252.00	2333.0
253.00	2216.9
254.00	2130.7
255.00	2073.2
256.00	2027.4
257.00	2012.9
258.00	1998.4
259.00	1983.9
260.00	1985.7
261.00	2003.7
262.00	2021.8
263.00	2052.5
264.00	2131.2
265.00	2239.8
266.00	2412.2
267.00	2617.0
268.00	2951.9
269.00	3286.9
270.00	3734.4
271.00	4373.7
272.00	5064.5
273.00	5843.3
274.00	6622.1
275.00	7431.2
276.00	8307.7
277.00	9184.1
278.00	9981.4
279.00	10660
280.00	11338
281.00	11917
282.00	12452
283.00	12988
284.00	13425
285.00	13780
286.00	14136
287.00	14367
288.00	14533
289.00	14692
290.00	14755
291.00	14818
292.00	14881
293.00	14819
294.00	14739
295.00	14660
296.00	14458
297.00	14246
298.00	14035
299.00	13609
300.00	13182
301.00	12756
302.00	12222
303.00	11689
304.00	11155
305.00	10582
306.00	9946.9
307.00	9311.6
308.00	8697.5
309.00	8126.5
310.00	7555.5
311.00	6984.4
312.00	6479.3
313.00	6026.0
314.00	5572.7
315.00	5162.6
316.00	4779.1
317.00	4395.6
318.00	4127.2
319.00	3870.1
320.00	3613.1
321.00	3415.9
322.00	3221.3
323.00	3047.6
324.00	2895.7
325.00	2770.1
326.00	2671.8
327.00	2607.9
328.00	2566.8
329.00	2525.7
330.00	2548.3
331.00	2578.8
332.00	2609.3
333.00	2646.9
334.00	2707.1
335.00	2767.2
336.00	2827.4
337.00	2888.2
338.00	2949.2
339.00	3010.2
340.00	3055.9
341.00	3097.0
342.00	3138.2
343.00	3161.6
344.00	3177.4
345.00	3193.3
346.00	3207.4
347.00	3189.9
348.00	3172.4
349.00	3154.9
350.00	3114.3
351.00	3065.9
352.00	3017.6
353.00	2955.7
354.00	2883.7
355.00	2811.7
356.00	2739.3
357.00	2658.1
358.00	2577.0
359.00	2495.8
360.00	2411.3
361.00	2317.7
362.00	2224.1
363.00	2133.4
364.00	2053.5
365.00	1973.5
366.00	1893.6
367.00	1813.0
368.00	1730.3
369.00	1647.5
370.00	1564.7
371.00	1483.8
372.00	1405.0
373.00	1326.3
374.00	1247.5
375.00	1165.8
376.00	1077.4
377.00	989.02
378.00	905.37
379.00	829.76
380.00	754.16
381.00	681.26
382.00	609.76
383.00	539.45
384.00	485.02
385.00	430.59
386.00	380.91
387.00	331.48
