Wavelength (nm)	FL055 [10] 17238-05-0, Dihydrodaidzein [M]
210.00	35140
211.00	36093
212.00	37037
213.00	37811
214.00	38200
215.00	38195
216.00	38099
217.00	38038
218.00	37973
219.00	37407
220.00	36048
221.00	34071
222.00	32057
223.00	30292
224.00	29034
225.00	28189
226.00	27596
227.00	27062
228.00	26495
229.00	25816
230.00	24851
231.00	23739
232.00	22410
233.00	20988
234.00	19580
235.00	18353
236.00	17267
237.00	16300
238.00	15365
239.00	14356
240.00	13189
241.00	11829
242.00	10274
243.00	8653.1
244.00	7171.4
245.00	6011.3
246.00	5204.5
247.00	4764.8
248.00	4620.4
249.00	4680.9
250.00	4890.5
251.00	5210.7
252.00	5615.3
253.00	6088.8
254.00	6625.2
255.00	7216.5
256.00	7872.2
257.00	8584.4
258.00	9353.2
259.00	10162
260.00	11030
261.00	11927
262.00	12842
263.00	13822
264.00	14817
265.00	15801
266.00	16799
267.00	17757
268.00	18682
269.00	19577
270.00	20425
271.00	21186
272.00	21873
273.00	22463
274.00	22931
275.00	23276
276.00	23477
277.00	23533
278.00	23428
279.00	23146
280.00	22710
281.00	22207
282.00	21621
283.00	20942
284.00	20196
285.00	19368
286.00	18446
287.00	17459
288.00	16445
289.00	15467
290.00	14542
291.00	13712
292.00	13028
293.00	12445
294.00	11971
295.00	11622
296.00	11375
297.00	11204
298.00	11132
299.00	11117
300.00	11160
301.00	11233
302.00	11341
303.00	11468
304.00	11574
305.00	11716
306.00	11854
307.00	11993
308.00	12132
309.00	12264
310.00	12362
311.00	12456
312.00	12541
313.00	12540
314.00	12485
315.00	12360
316.00	12164
317.00	11895
318.00	11566
319.00	11173
320.00	10744
321.00	10288
322.00	9808.5
323.00	9322.1
324.00	8855.7
325.00	8369.0
326.00	7851.8
327.00	7323.8
328.00	6759.5
329.00	6192.4
330.00	5618.2
331.00	5063.1
332.00	4505.3
333.00	3990.8
334.00	3498.9
335.00	3047.7
336.00	2641.4
337.00	2289.8
338.00	1973.2
339.00	1702.4
340.00	1461.4
341.00	1263.3
342.00	1090.2
343.00	946.76
344.00	818.74
345.00	713.87
346.00	624.95
347.00	549.83
348.00	489.29
349.00	431.80
350.00	391.76
351.00	337.81
352.00	305.20
353.00	272.34
354.00	243.78
355.00	227.54
356.00	228.23
357.00	206.55
358.00	184.34
359.00	158.46
360.00	153.97
361.00	142.42
362.00	127.95
363.00	120.36
364.00	111.70
365.00	100.38
366.00	93.716
367.00	79.157
368.00	82.549
369.00	82.839
370.00	95.290
371.00	83.175
372.00	67.944
373.00	86.460
374.00	77.003
375.00	66.477
376.00	74.009
377.00	66.004
378.00	72.344
379.00	77.370
380.00	77.477
381.00	67.012
382.00	51.659
383.00	61.054
384.00	73.978
385.00	79.234
386.00	77.141
387.00	65.301
388.00	45.746
389.00	41.224
390.00	45.166
391.00	52.774
392.00	65.026
393.00	61.680
394.00	48.450
395.00	46.159
396.00	41.851
397.00	53.797
398.00	65.041
399.00	58.839
400.00	64.048
401.00	45.334
402.00	40.216
403.00	53.599
404.00	51.063
405.00	40.720
406.00	51.170
407.00	51.872
408.00	55.264
409.00	50.971
410.00	48.679
411.00	36.275
412.00	43.073
413.00	48.924
414.00	58.380
415.00	57.525
416.00	48.618
417.00	38.016
418.00	25.412
419.00	37.512
420.00	54.531
421.00	59.328
422.00	47.702
423.00	44.555
424.00	36.168
425.00	34.166
426.00	37.344
427.00	47.610
428.00	49.382
429.00	44.203
430.00	40.247
431.00	39.697
432.00	31.661
433.00	38.138
434.00	31.371
435.00	36.565
436.00	44.799
437.00	56.257
438.00	43.378
439.00	39.299
440.00	29.858
441.00	31.646
442.00	39.437
443.00	43.333
444.00	47.671
445.00	34.258
446.00	28.835
447.00	20.432
448.00	15.437
449.00	44.921
450.00	46.312
451.00	44.952
452.00	35.434
453.00	33.647
454.00	24.664
455.00	48.236
456.00	47.045
457.00	35.343
458.00	33.433
459.00	28.468
460.00	35.281
461.00	32.471
462.00	41.515
463.00	52.086
464.00	28.544
465.00	44.417
466.00	49.504
467.00	49.321
468.00	21.853
469.00	7.5383
470.00	12.916
471.00	71.962
472.00	78.852
473.00	48.221
474.00	36.122
475.00	24.297
476.00	28.850
477.00	23.564
478.00	53.003
479.00	87.269
480.00	53.339
481.00	41.927
482.00	27.246
483.00	6.8966
484.00	22.372
485.00	43.256
486.00	36.840
487.00	18.293
488.00	30.135
489.00	25.659
490.00	30.591
491.00	55.707
492.00	86.750
493.00	44.417
494.00	58.762
495.00	42.202
496.00	49.321
497.00	35.526
498.00	6.1939
499.00	27.750
500.00	41.790
