Wavelength (nm)	[11] 525-82-6, Flavone [C]
210.00	21734
211.00	20852
212.00	20083
213.00	19409
214.00	18855
215.00	18433
216.00	18045
217.00	17545
218.00	16865
219.00	16053
220.00	15253
221.00	14483
222.00	13764
223.00	13013
224.00	12198
225.00	11303
226.00	10432
227.00	9657.1
228.00	9053.4
229.00	8652.5
230.00	8434.8
231.00	8408.0
232.00	8562.3
233.00	8869.2
234.00	9298.1
235.00	9810.4
236.00	10406
237.00	11057
238.00	11737
239.00	12459
240.00	13207
241.00	13964
242.00	14728
243.00	15481
244.00	16204
245.00	16859
246.00	17438
247.00	17911
248.00	18264
249.00	18530
250.00	18690
251.00	18739
252.00	18715
253.00	18631
254.00	18514
255.00	18347
256.00	18094
257.00	17644
258.00	16818
259.00	15479
260.00	13739
261.00	11959
262.00	10449
263.00	9347.0
264.00	8659.6
265.00	8329.6
266.00	8245.5
267.00	8331.6
268.00	8556.0
269.00	8887.1
270.00	9280.2
271.00	9736.6
272.00	10263
273.00	10850
274.00	11480
275.00	12141
276.00	12841
277.00	13566
278.00	14318
279.00	15082
280.00	15833
281.00	16585
282.00	17310
283.00	18002
284.00	18666
285.00	19291
286.00	19890
287.00	20396
288.00	20859
289.00	21308
290.00	21673
291.00	21977
292.00	22218
293.00	22370
294.00	22448
295.00	22500
296.00	22398
297.00	22215
298.00	21967
299.00	21645
300.00	21308
301.00	20957
302.00	20563
303.00	20196
304.00	19849
305.00	19493
306.00	19188
307.00	18910
308.00	18597
309.00	18276
310.00	17932
311.00	17520
312.00	17045
313.00	16473
314.00	15807
315.00	15101
316.00	14339
317.00	13545
318.00	12756
319.00	11981
320.00	11211
321.00	10481
322.00	9799.1
323.00	9108.3
324.00	8465.5
325.00	7817.7
326.00	7176.1
327.00	6515.7
328.00	5817.3
329.00	5112.7
330.00	4389.3
331.00	3715.9
332.00	3085.7
333.00	2523.0
334.00	2029.8
335.00	1607.4
336.00	1250.7
337.00	977.31
338.00	754.60
339.00	588.75
340.00	460.43
341.00	362.05
342.00	290.97
343.00	239.39
344.00	197.70
345.00	164.34
346.00	139.78
347.00	121.86
348.00	107.14
349.00	101.20
350.00	80.674
351.00	76.550
352.00	65.941
353.00	65.396
354.00	60.273
355.00	51.558
356.00	47.835
357.00	47.809
358.00	45.086
359.00	38.588
360.00	34.438
361.00	36.773
362.00	31.222
363.00	30.910
364.00	26.267
365.00	26.721
366.00	29.717
367.00	29.289
368.00	30.340
369.00	26.786
370.00	24.270
371.00	21.326
372.00	23.336
373.00	19.121
374.00	25.424
375.00	25.710
376.00	36.163
377.00	28.472
378.00	26.358
379.00	21.987
380.00	16.060
381.00	22.623
382.00	25.191
383.00	20.301
384.00	13.622
385.00	12.935
386.00	17.098
387.00	10.328
388.00	13.311
389.00	10.886
390.00	13.350
391.00	21.391
392.00	12.572
393.00	4.9586
394.00	10.834
395.00	11.819
396.00	17.422
397.00	9.7962
398.00	8.1880
399.00	9.7184
400.00	9.6405
401.00	9.2385
402.00	7.9805
403.00	14.984
404.00	11.755
405.00	6.8521
406.00	12.338
407.00	8.7975
408.00	9.4201
409.00	10.133
410.00	7.9675
411.00	13.804
412.00	16.553
413.00	3.9988
414.00	9.2904
415.00	8.9532
416.00	8.4992
417.00	16.852
418.00	14.582
419.00	17.007
420.00	13.129
421.00	10.004
422.00	14.387
423.00	10.665
424.00	16.540
425.00	14.232
426.00	10.406
427.00	18.693
428.00	12.844
429.00	10.367
430.00	17.241
431.00	12.105
432.00	14.543
433.00	17.474
434.00	19.407
435.00	22.312
436.00	14.984
437.00	18.239
438.00	21.352
439.00	27.123
440.00	22.247
441.00	17.720
442.00	18.589
443.00	24.659
444.00	20.379
445.00	20.639
446.00	24.789
447.00	23.868
448.00	20.626
449.00	20.470
450.00	27.045
451.00	31.585
452.00	18.914
453.00	27.292
454.00	28.537
455.00	27.448
456.00	30.067
457.00	27.020
458.00	27.979
459.00	22.169
460.00	30.301
461.00	28.057
462.00	24.283
463.00	24.114
464.00	23.518
465.00	12.520
466.00	23.712
467.00	34.581
468.00	29.497
469.00	18.006
470.00	24.763
471.00	32.726
472.00	36.682
473.00	37.395
474.00	28.706
475.00	13.207
476.00	28.900
477.00	16.735
478.00	23.609
479.00	27.876
480.00	29.704
481.00	22.830
482.00	19.173
483.00	21.015
484.00	17.850
485.00	30.158
486.00	17.007
487.00	16.852
488.00	12.857
489.00	23.012
490.00	14.478
491.00	18.810
492.00	24.503
493.00	23.297
494.00	26.643
495.00	26.760
496.00	25.113
497.00	24.957
498.00	15.710
499.00	16.281
500.00	20.859
