Wavelength (nm)	FL064 [11] 6665-83-4, 6-Hydroxyflavone [C]
210.00	22124
211.00	20621
212.00	19104
213.00	17639
214.00	16418
215.00	15517
216.00	14921
217.00	14546
218.00	14293
219.00	14142
220.00	14044
221.00	13976
222.00	13893
223.00	13760
224.00	13588
225.00	13391
226.00	13189
227.00	12982
228.00	12771
229.00	12530
230.00	12247
231.00	11919
232.00	11552
233.00	11148
234.00	10718
235.00	10239
236.00	9732.9
237.00	9205.1
238.00	8693.7
239.00	8256.0
240.00	7916.8
241.00	7718.3
242.00	7678.5
243.00	7796.0
244.00	8065.4
245.00	8456.0
246.00	8958.8
247.00	9548.9
248.00	10202
249.00	10902
250.00	11655
251.00	12443
252.00	13252
253.00	14107
254.00	14979
255.00	15868
256.00	16768
257.00	17651
258.00	18554
259.00	19450
260.00	20325
261.00	21166
262.00	21941
263.00	22653
264.00	23274
265.00	23811
266.00	24239
267.00	24558
268.00	24786
269.00	24940
270.00	25000
271.00	24994
272.00	24901
273.00	24701
274.00	24369
275.00	23856
276.00	23142
277.00	22209
278.00	21093
279.00	19850
280.00	18552
281.00	17301
282.00	16175
283.00	15236
284.00	14517
285.00	14020
286.00	13727
287.00	13608
288.00	13625
289.00	13751
290.00	13960
291.00	14210
292.00	14487
293.00	14769
294.00	15036
295.00	15292
296.00	15520
297.00	15726
298.00	15912
299.00	16074
300.00	16208
301.00	16318
302.00	16392
303.00	16428
304.00	16430
305.00	16390
306.00	16303
307.00	16158
308.00	15952
309.00	15680
310.00	15340
311.00	14925
312.00	14445
313.00	13906
314.00	13337
315.00	12755
316.00	12179
317.00	11622
318.00	11087
319.00	10607
320.00	10168
321.00	9758.4
322.00	9404.4
323.00	9075.9
324.00	8780.3
325.00	8513.5
326.00	8264.9
327.00	8040.1
328.00	7826.5
329.00	7628.0
330.00	7435.6
331.00	7253.0
332.00	7070.6
333.00	6902.3
334.00	6742.1
335.00	6596.3
336.00	6463.1
337.00	6334.4
338.00	6212.2
339.00	6099.2
340.00	5992.5
341.00	5895.8
342.00	5791.9
343.00	5688.1
344.00	5580.7
345.00	5470.3
346.00	5345.4
347.00	5214.5
348.00	5080.6
349.00	4940.4
350.00	4783.9
351.00	4622.1
352.00	4449.0
353.00	4267.8
354.00	4087.2
355.00	3892.5
356.00	3700.4
357.00	3512.1
358.00	3324.1
359.00	3140.7
360.00	2955.4
361.00	2763.3
362.00	2566.8
363.00	2379.5
364.00	2195.2
365.00	2012.7
366.00	1843.9
367.00	1684.2
368.00	1532.5
369.00	1389.0
370.00	1250.1
371.00	1127.3
372.00	1017.0
373.00	906.73
374.00	809.73
375.00	725.90
376.00	645.80
377.00	570.94
378.00	506.03
379.00	443.74
380.00	389.65
381.00	346.42
382.00	306.06
383.00	265.47
384.00	234.60
385.00	206.92
386.00	181.79
387.00	154.95
388.00	133.06
389.00	125.82
390.00	103.37
391.00	90.960
392.00	79.963
393.00	71.002
394.00	64.659
395.00	57.595
396.00	50.726
397.00	46.349
398.00	41.695
399.00	40.560
400.00	41.585
401.00	35.505
402.00	36.945
403.00	29.854
404.00	30.809
405.00	29.480
406.00	31.280
407.00	29.826
408.00	24.577
409.00	28.940
410.00	24.286
411.00	29.826
412.00	26.100
413.00	25.145
414.00	23.081
415.00	26.142
416.00	24.217
417.00	28.109
418.00	24.452
419.00	22.499
420.00	24.175
421.00	21.184
422.00	18.538
423.00	21.544
424.00	22.319
425.00	19.009
426.00	18.898
427.00	12.638
428.00	9.8960
429.00	11.697
430.00	11.350
431.00	15.187
432.00	10.976
433.00	3.0126
434.00	7.1122
435.00	9.0235
436.00	5.1732
437.00	6.2258
438.00	3.9821
439.00	8.2202
440.00	7.5970
441.00	5.6026
442.00	8.2479
443.00	7.6801
444.00	13.345
445.00	9.4251
446.00	9.6467
447.00	7.8047
448.00	7.5000
449.00	7.8601
450.00	8.2756
451.00	8.4695
452.00	12.070
453.00	11.960
454.00	5.3117
455.00	4.7854
456.00	9.7714
457.00	7.9155
458.00	15.381
459.00	12.223
460.00	15.907
461.00	12.541
462.00	10.422
463.00	10.284
464.00	11.253
465.00	17.320
466.00	17.306
467.00	12.569
468.00	8.4003
469.00	7.3338
470.00	6.1704
471.00	10.076
472.00	6.8352
473.00	7.0291
474.00	11.073
475.00	15.713
476.00	13.954
477.00	16.960
478.00	14.273
479.00	15.173
480.00	10.893
481.00	15.907
482.00	12.209
483.00	13.359
484.00	18.081
485.00	14.453
486.00	45.850
487.00	28.746
488.00	10.630
489.00	18.843
490.00	19.813
491.00	14.910
492.00	17.583
493.00	13.262
494.00	14.314
495.00	11.239
496.00	13.705
497.00	19.480
498.00	14.162
499.00	18.954
500.00	20.934
