Wavelength (nm)	FL076 [11] 480-44-4, Acacetin [D]
240.00	12645
241.00	12340
242.00	11991
243.00	11580
244.00	11242
245.00	10969
246.00	10728
247.00	10560
248.00	10456
249.00	10475
250.00	10583
251.00	10739
252.00	10988
253.00	11295
254.00	11610
255.00	11934
256.00	12292
257.00	12686
258.00	13063
259.00	13428
260.00	13807
261.00	14205
262.00	14603
263.00	15012
264.00	15428
265.00	15860
266.00	16302
267.00	16651
268.00	17020
269.00	17399
270.00	17621
271.00	17667
272.00	17541
273.00	17327
274.00	16760
275.00	16237
276.00	15717
277.00	15110
278.00	14592
279.00	14196
280.00	13837
281.00	13517
282.00	13317
283.00	13125
284.00	12955
285.00	12842
286.00	12763
287.00	12722
288.00	12690
289.00	12709
290.00	12737
291.00	12784
292.00	12842
293.00	12906
294.00	12975
295.00	13044
296.00	13116
297.00	13188
298.00	13254
299.00	13306
300.00	13357
301.00	13408
302.00	13462
303.00	13516
304.00	13569
305.00	13618
306.00	13666
307.00	13730
308.00	13826
309.00	13921
310.00	14043
311.00	14173
312.00	14308
313.00	14506
314.00	14703
315.00	14935
316.00	15184
317.00	15402
318.00	15614
319.00	15826
320.00	16030
321.00	16234
322.00	16433
323.00	16607
324.00	16781
325.00	16907
326.00	17024
327.00	17130
328.00	17215
329.00	17295
330.00	17325
331.00	17356
332.00	17373
333.00	17387
334.00	17400
335.00	17383
336.00	17357
337.00	17323
338.00	17266
339.00	17209
340.00	17132
341.00	17048
342.00	16965
343.00	16850
344.00	16732
345.00	16613
346.00	16466
347.00	16319
348.00	16172
349.00	15978
350.00	15778
351.00	15578
352.00	15359
353.00	15105
354.00	14851
355.00	14598
356.00	14300
357.00	13999
358.00	13655
359.00	13298
360.00	12940
361.00	12577
362.00	12201
363.00	11825
364.00	11447
365.00	11032
366.00	10617
367.00	10202
368.00	9787.1
369.00	9369.3
370.00	8951.4
371.00	8533.5
372.00	8105.1
373.00	7653.2
374.00	7221.4
375.00	6853.5
376.00	6485.7
377.00	6116.9
378.00	5747.9
379.00	5379.4
380.00	5011.7
381.00	4666.8
382.00	4364.2
383.00	4078.7
384.00	3837.0
385.00	3595.4
386.00	3371.4
387.00	3178.8
388.00	2986.2
389.00	2793.6
390.00	2621.1
391.00	2453.1
392.00	2285.1
393.00	2142.8
394.00	2029.6
395.00	1916.3
396.00	1803.1
397.00	1701.1
398.00	1602.8
399.00	1504.5
400.00	1406.2
401.00	1332.0
402.00	1258.6
403.00	1185.2
404.00	1116.1
405.00	1065.7
406.00	1015.2
407.00	964.76
408.00	914.31
409.00	868.16
410.00	823.17
411.00	778.17
412.00	733.57
413.00	692.98
414.00	652.40
415.00	614.04
416.00	587.41
417.00	560.77
418.00	534.14
419.00	508.57
420.00	485.59
421.00	462.61
422.00	439.63
423.00	416.09
424.00	389.42
425.00	362.75
426.00	336.08
427.00	323.67
428.00	313.21
429.00	302.75
430.00	291.69
431.00	274.55
432.00	257.41
433.00	240.26
434.00	221.87
435.00	201.51
436.00	181.14
437.00	163.13
438.00	150.88
439.00	138.62
440.00	126.37
441.00	118.20
442.00	112.05
443.00	105.90
444.00	99.753
445.00	94.475
446.00	91.442
447.00	88.408
448.00	85.375
449.00	82.341
450.00	79.308
451.00	77.532
452.00	76.131
453.00	74.730
454.00	73.329
455.00	71.929
456.00	70.528
457.00	69.127
458.00	67.726
459.00	66.325
460.00	64.924
461.00	64.494
462.00	64.479
463.00	64.465
464.00	64.450
465.00	64.436
466.00	64.436
467.00	64.436
468.00	64.436
469.00	64.436
470.00	64.436
