Wavelength (nm)	FL077 [11] 491-70-3, Luteolin [C]
210.00	25336
211.00	24978
212.00	24462
213.00	23698
214.00	22715
215.00	21500
216.00	20162
217.00	18905
218.00	17809
219.00	16952
220.00	16279
221.00	15779
222.00	15359
223.00	14967
224.00	14550
225.00	14083
226.00	13552
227.00	12985
228.00	12380
229.00	11807
230.00	11268
231.00	10807
232.00	10442
233.00	10167
234.00	9998.3
235.00	9916.3
236.00	9922.3
237.00	10012
238.00	10168
239.00	10374
240.00	10605
241.00	10834
242.00	11031
243.00	11201
244.00	11359
245.00	11509
246.00	11668
247.00	11844
248.00	12030
249.00	12217
250.00	12400
251.00	12561
252.00	12691
253.00	12775
254.00	12812
255.00	12790
256.00	12702
257.00	12573
258.00	12389
259.00	12178
260.00	11960
261.00	11772
262.00	11630
263.00	11544
264.00	11515
265.00	11527
266.00	11562
267.00	11576
268.00	11521
269.00	11362
270.00	11060
271.00	10611
272.00	10019
273.00	9337.8
274.00	8627.7
275.00	7958.1
276.00	7376.6
277.00	6917.0
278.00	6582.6
279.00	6354.7
280.00	6218.8
281.00	6155.6
282.00	6148.2
283.00	6174.6
284.00	6228.6
285.00	6298.8
286.00	6376.5
287.00	6467.2
288.00	6551.5
289.00	6631.2
290.00	6701.4
291.00	6754.6
292.00	6785.6
293.00	6808.3
294.00	6812.0
295.00	6808.6
296.00	6809.1
297.00	6802.8
298.00	6808.3
299.00	6825.9
300.00	6855.4
301.00	6894.6
302.00	6939.7
303.00	6992.6
304.00	7057.2
305.00	7126.8
306.00	7201.2
307.00	7280.8
308.00	7374.0
309.00	7470.8
310.00	7580.9
311.00	7707.8
312.00	7835.9
313.00	7982.5
314.00	8141.6
315.00	8317.2
316.00	8508.7
317.00	8711.4
318.00	8934.9
319.00	9171.4
320.00	9418.4
321.00	9675.4
322.00	9943.7
323.00	10222
324.00	10500
325.00	10783
326.00	11078
327.00	11358
328.00	11643
329.00	11929
330.00	12220
331.00	12501
332.00	12766
333.00	13024
334.00	13283
335.00	13525
336.00	13760
337.00	13988
338.00	14195
339.00	14390
340.00	14576
341.00	14737
342.00	14890
343.00	15016
344.00	15132
345.00	15235
346.00	15300
347.00	15352
348.00	15391
349.00	15400
350.00	15389
351.00	15350
352.00	15296
353.00	15203
354.00	15092
355.00	14959
356.00	14795
357.00	14613
358.00	14396
359.00	14168
360.00	13912
361.00	13632
362.00	13318
363.00	12984
364.00	12628
365.00	12253
366.00	11861
367.00	11444
368.00	11023
369.00	10592
370.00	10140
371.00	9682.7
372.00	9237.0
373.00	8769.4
374.00	8314.6
375.00	7863.0
376.00	7404.7
377.00	6944.6
378.00	6509.9
379.00	6076.7
380.00	5654.2
381.00	5234.9
382.00	4837.3
383.00	4455.1
384.00	4086.4
385.00	3736.5
386.00	3401.7
387.00	3081.8
388.00	2785.6
389.00	2509.8
390.00	2251.7
391.00	2020.9
392.00	1800.5
393.00	1601.9
394.00	1423.5
395.00	1263.2
396.00	1112.3
397.00	982.76
398.00	861.26
399.00	762.46
400.00	677.68
401.00	596.08
402.00	520.37
403.00	456.91
404.00	405.00
405.00	356.31
406.00	320.47
407.00	286.82
408.00	247.42
409.00	221.70
410.00	198.36
411.00	177.47
412.00	163.08
413.00	145.40
414.00	134.12
415.00	119.81
416.00	109.59
417.00	101.95
418.00	94.501
419.00	89.163
420.00	80.031
421.00	71.504
422.00	68.840
423.00	60.973
424.00	56.463
425.00	56.765
426.00	57.862
427.00	49.122
428.00	43.806
429.00	39.196
430.00	43.403
431.00	42.799
432.00	38.893
433.00	35.827
434.00	35.480
435.00	31.608
436.00	30.780
437.00	27.579
438.00	29.683
439.00	26.091
440.00	27.199
441.00	25.285
442.00	27.949
443.00	23.349
444.00	25.453
445.00	26.348
446.00	26.561
447.00	23.540
448.00	18.168
449.00	19.354
450.00	19.835
451.00	21.402
452.00	19.869
453.00	20.149
454.00	18.873
455.00	18.425
456.00	17.194
457.00	14.352
458.00	21.145
459.00	18.761
460.00	17.586
461.00	16.098
462.00	13.468
463.00	15.191
464.00	14.240
465.00	16.769
466.00	16.243
467.00	16.064
468.00	17.183
469.00	16.232
470.00	11.397
471.00	12.998
472.00	9.5174
473.00	12.886
474.00	11.274
475.00	9.7971
476.00	7.9171
477.00	12.819
478.00	10.905
479.00	12.259
480.00	9.1593
481.00	9.5957
482.00	11.364
483.00	8.8123
484.00	12.449
485.00	5.2364
486.00	21.391
487.00	10.513
488.00	4.2688
489.00	5.9699
490.00	7.8052
491.00	9.4166
492.00	5.5110
493.00	12.819
494.00	8.9914
495.00	10.055
496.00	5.6677
497.00	8.8683
498.00	5.1305
499.00	2.4671
500.00	12.158
