Wavelength (nm)	FL081 [11] 529-53-3, Scutellarein [D]
220.00	22345
221.00	21933
222.00	21413
223.00	20864
224.00	20301
225.00	19651
226.00	18825
227.00	17614
228.00	16581
229.00	15595
230.00	14670
231.00	13967
232.00	13301
233.00	12635
234.00	11986
235.00	11458
236.00	10931
237.00	10424
238.00	9956.0
239.00	9487.5
240.00	9019.1
241.00	8586.0
242.00	8153.4
243.00	7720.7
244.00	7418.0
245.00	7116.6
246.00	6825.4
247.00	6652.1
248.00	6478.8
249.00	6305.5
250.00	6190.1
251.00	6095.0
252.00	6021.2
253.00	5988.8
254.00	6041.7
255.00	6134.8
256.00	6298.8
257.00	6462.7
258.00	6743.6
259.00	7030.6
260.00	7376.5
261.00	7741.9
262.00	8107.4
263.00	8481.8
264.00	8894.8
265.00	9307.8
266.00	9720.8
267.00	10150
268.00	10646
269.00	11143
270.00	11639
271.00	12136
272.00	12599
273.00	13062
274.00	13524
275.00	13949
276.00	14352
277.00	14739
278.00	15108
279.00	15446
280.00	15771
281.00	16038
282.00	16206
283.00	16373
284.00	16504
285.00	16601
286.00	16634
287.00	16581
288.00	16520
289.00	16360
290.00	16200
291.00	16008
292.00	15786
293.00	15553
294.00	15207
295.00	14861
296.00	14463
297.00	14066
298.00	13709
299.00	13367
300.00	13025
301.00	12667
302.00	12308
303.00	11965
304.00	11635
305.00	11380
306.00	11176
307.00	11065
308.00	10972
309.00	10925
310.00	10938
311.00	11004
312.00	11105
313.00	11281
314.00	11533
315.00	11801
316.00	12067
317.00	12332
318.00	12598
319.00	12897
320.00	13218
321.00	13538
322.00	13866
323.00	14194
324.00	14522
325.00	14861
326.00	15212
327.00	15562
328.00	15912
329.00	16244
330.00	16542
331.00	16839
332.00	17129
333.00	17375
334.00	17613
335.00	17836
336.00	17994
337.00	18148
338.00	18251
339.00	18300
340.00	18218
341.00	18116
342.00	17937
343.00	17757
344.00	17500
345.00	17237
346.00	16974
347.00	16666
348.00	16335
349.00	16003
350.00	15670
351.00	15319
352.00	14968
353.00	14618
354.00	14267
355.00	13899
356.00	13529
357.00	13158
358.00	12788
359.00	12403
360.00	12000
361.00	11598
362.00	11195
363.00	10741
364.00	10285
365.00	9828.5
366.00	9413.2
367.00	9025.4
368.00	8637.6
369.00	8255.7
370.00	7903.1
371.00	7550.5
372.00	7197.8
373.00	6845.2
374.00	6515.5
375.00	6234.4
376.00	5953.4
377.00	5672.4
378.00	5391.4
379.00	5163.0
380.00	4958.3
381.00	4753.6
382.00	4548.9
383.00	4345.1
384.00	4148.0
385.00	3950.8
386.00	3753.7
387.00	3556.6
388.00	3359.4
389.00	3188.6
390.00	3055.8
391.00	2922.9
392.00	2790.0
393.00	2657.1
394.00	2526.6
395.00	2411.6
396.00	2296.6
397.00	2181.6
398.00	2077.0
399.00	1980.3
400.00	1883.6
