Wavelength (nm)	FL082 [11] 2306-27-6, Sinensetin [C]
210.00	29124
211.00	29719
212.00	30182
213.00	30587
214.00	30830
215.00	30803
216.00	30355
217.00	29470
218.00	28228
219.00	26686
220.00	25043
221.00	23399
222.00	21889
223.00	20519
224.00	19357
225.00	18361
226.00	17570
227.00	16954
228.00	16521
229.00	16244
230.00	16080
231.00	15998
232.00	15995
233.00	16028
234.00	16084
235.00	16163
236.00	16280
237.00	16403
238.00	16543
239.00	16678
240.00	16763
241.00	16764
242.00	16637
243.00	16388
244.00	16024
245.00	15591
246.00	15103
247.00	14626
248.00	14169
249.00	13735
250.00	13330
251.00	12944
252.00	12573
253.00	12231
254.00	11914
255.00	11627
256.00	11372
257.00	11161
258.00	10994
259.00	10881
260.00	10819
261.00	10791
262.00	10807
263.00	10831
264.00	10852
265.00	10845
266.00	10800
267.00	10706
268.00	10557
269.00	10348
270.00	10084
271.00	9773.3
272.00	9443.6
273.00	9104.0
274.00	8767.1
275.00	8463.6
276.00	8191.1
277.00	7942.9
278.00	7744.0
279.00	7580.4
280.00	7458.9
281.00	7373.5
282.00	7317.9
283.00	7313.2
284.00	7336.6
285.00	7377.9
286.00	7455.7
287.00	7571.4
288.00	7709.5
289.00	7874.7
290.00	8075.9
291.00	8313.5
292.00	8586.1
293.00	8891.6
294.00	9214.3
295.00	9565.4
296.00	9926.2
297.00	10302
298.00	10709
299.00	11085
300.00	11465
301.00	11856
302.00	12241
303.00	12637
304.00	13039
305.00	13448
306.00	13853
307.00	14253
308.00	14679
309.00	15093
310.00	15519
311.00	15957
312.00	16371
313.00	16773
314.00	17179
315.00	17540
316.00	17901
317.00	18243
318.00	18569
319.00	18862
320.00	19128
321.00	19391
322.00	19600
323.00	19783
324.00	19928
325.00	20078
326.00	20172
327.00	20239
328.00	20288
329.00	20300
330.00	20276
331.00	20210
332.00	20107
333.00	19977
334.00	19825
335.00	19633
336.00	19388
337.00	19100
338.00	18782
339.00	18441
340.00	18065
341.00	17676
342.00	17243
343.00	16798
344.00	16315
345.00	15828
346.00	15289
347.00	14734
348.00	14177
349.00	13580
350.00	12946
351.00	12317
352.00	11673
353.00	10994
354.00	10303
355.00	9620.4
356.00	8989.0
357.00	8339.9
358.00	7754.7
359.00	7150.9
360.00	6530.6
361.00	5946.7
362.00	5396.8
363.00	4867.7
364.00	4380.5
365.00	3923.4
366.00	3486.5
367.00	3094.2
368.00	2746.9
369.00	2458.5
370.00	2175.9
371.00	1903.1
372.00	1669.8
373.00	1469.7
374.00	1281.0
375.00	1116.4
376.00	975.02
377.00	856.73
378.00	752.68
379.00	652.99
380.00	572.58
381.00	513.63
382.00	458.20
383.00	390.32
384.00	351.83
385.00	300.58
386.00	270.92
387.00	230.00
388.00	204.74
389.00	191.14
390.00	198.05
391.00	169.73
392.00	139.41
393.00	103.33
394.00	123.18
395.00	114.43
396.00	98.970
397.00	96.076
398.00	72.882
399.00	67.253
400.00	97.130
401.00	97.362
402.00	87.767
403.00	74.097
404.00	59.927
405.00	55.889
406.00	60.213
407.00	85.301
408.00	81.888
409.00	64.448
410.00	62.304
411.00	65.520
412.00	55.210
413.00	48.044
414.00	52.404
415.00	74.580
416.00	72.239
417.00	66.628
418.00	71.649
419.00	66.914
420.00	65.413
421.00	50.510
422.00	38.645
423.00	64.734
424.00	72.203
425.00	79.994
426.00	87.356
427.00	73.972
428.00	40.039
429.00	69.112
430.00	34.268
431.00	48.616
432.00	108.23
433.00	92.859
434.00	46.293
435.00	81.459
436.00	87.874
437.00	70.827
438.00	79.940
439.00	72.239
440.00	92.341
441.00	75.241
442.00	47.222
443.00	95.557
444.00	79.619
445.00	97.773
446.00	106.78
447.00	89.357
448.00	108.99
449.00	102.01
450.00	98.399
451.00	110.89
452.00	118.36
453.00	126.65
454.00	118.55
455.00	95.986
456.00	103.21
457.00	96.147
458.00	80.030
459.00	85.998
460.00	92.627
461.00	113.86
462.00	115.34
463.00	108.23
464.00	70.112
465.00	58.265
466.00	76.491
467.00	126.06
468.00	96.790
469.00	99.310
470.00	114.48
471.00	100.40
472.00	87.910
473.00	73.936
474.00	76.760
475.00	85.819
476.00	70.345
477.00	89.661
478.00	67.110
479.00	74.794
480.00	75.241
481.00	72.525
482.00	79.065
483.00	65.734
484.00	66.431
485.00	76.964
486.00	88.880
487.00	90.414
488.00	76.963
489.00	100.15
490.00	63.233
491.00	63.858
492.00	69.969
493.00	56.675
494.00	72.724
495.00	68.629
496.00	62.607
497.00	57.997
498.00	80.494
499.00	52.823
500.00	70.633
