Wavelength (nm)	FL089 [11] R231314, 2',4',6'-Trimethylflavone [D]
218.00	26894
219.00	26584
220.00	26274
221.00	26112
222.00	25972
223.00	25981
224.00	26128
225.00	26275
226.00	26581
227.00	26904
228.00	27203
229.00	27488
230.00	27652
231.00	27561
232.00	27289
233.00	26725
234.00	26079
235.00	25161
236.00	24244
237.00	23137
238.00	22025
239.00	20598
240.00	19042
241.00	17527
242.00	16017
243.00	14536
244.00	13245
245.00	12318
246.00	11921
247.00	11616
248.00	11450
249.00	11284
250.00	11224
251.00	11193
252.00	11162
253.00	11124
254.00	11083
255.00	10976
256.00	10789
257.00	10559
258.00	10257
259.00	9954.2
260.00	9609.7
261.00	9262.2
262.00	8894.8
263.00	8497.8
264.00	8135.9
265.00	7789.8
266.00	7451.4
267.00	7144.6
268.00	6962.8
269.00	6897.7
270.00	6891.0
271.00	6968.4
272.00	7065.8
273.00	7195.9
274.00	7326.0
275.00	7445.2
276.00	7563.6
277.00	7680.0
278.00	7783.9
279.00	7887.7
280.00	7991.5
281.00	8081.6
282.00	8168.2
283.00	8254.9
284.00	8341.5
285.00	8429.1
286.00	8516.8
287.00	8604.5
288.00	8692.3
289.00	8780.0
290.00	8878.4
291.00	8981.9
292.00	9085.5
293.00	9189.0
294.00	9292.6
295.00	9419.1
296.00	9548.8
297.00	9678.5
298.00	9808.2
299.00	9973.2
300.00	10138
301.00	10303
302.00	10452
303.00	10576
304.00	10699
305.00	10786
306.00	10837
307.00	10860
308.00	10797
309.00	10734
310.00	10634
311.00	10519
312.00	10404
313.00	10161
314.00	9918.7
315.00	9626.7
316.00	9213.9
317.00	8752.9
318.00	8099.4
319.00	7446.0
320.00	6759.6
321.00	6003.2
322.00	5246.9
323.00	4656.6
324.00	4071.5
325.00	3521.3
326.00	2992.5
327.00	2492.4
328.00	2027.5
329.00	1671.7
330.00	1374.7
