Wavelength (nm)	FL107 [12] 548-83-4, Galangin [C]
210.00	24670
211.00	24277
212.00	23988
213.00	23742
214.00	23445
215.00	23010
216.00	22411
217.00	21667
218.00	20880
219.00	20140
220.00	19482
221.00	18923
222.00	18431
223.00	17966
224.00	17538
225.00	17075
226.00	16637
227.00	16273
228.00	15988
229.00	15762
230.00	15540
231.00	15307
232.00	15081
233.00	14888
234.00	14771
235.00	14751
236.00	14830
237.00	14948
238.00	15012
239.00	14938
240.00	14705
241.00	14336
242.00	13885
243.00	13392
244.00	12872
245.00	12389
246.00	12032
247.00	11894
248.00	11964
249.00	12198
250.00	12520
251.00	12937
252.00	13460
253.00	14125
254.00	14920
255.00	15785
256.00	16732
257.00	17711
258.00	18630
259.00	19462
260.00	20191
261.00	20810
262.00	21310
263.00	21761
264.00	22113
265.00	22407
266.00	22600
267.00	22573
268.00	22381
269.00	21847
270.00	20957
271.00	19738
272.00	18227
273.00	16608
274.00	15021
275.00	13666
276.00	12621
277.00	11866
278.00	11360
279.00	11042
280.00	10855
281.00	10773
282.00	10750
283.00	10776
284.00	10832
285.00	10907
286.00	10994
287.00	11074
288.00	11148
289.00	11199
290.00	11226
291.00	11217
292.00	11212
293.00	11192
294.00	11175
295.00	11177
296.00	11201
297.00	11234
298.00	11283
299.00	11344
300.00	11390
301.00	11443
302.00	11461
303.00	11489
304.00	11518
305.00	11536
306.00	11543
307.00	11551
308.00	11558
309.00	11540
310.00	11531
311.00	11503
312.00	11461
313.00	11414
314.00	11353
315.00	11277
316.00	11191
317.00	11086
318.00	10961
319.00	10833
320.00	10677
321.00	10516
322.00	10332
323.00	10153
324.00	9956.0
325.00	9785.0
326.00	9629.7
327.00	9501.9
328.00	9405.4
329.00	9351.7
330.00	9338.2
331.00	9366.5
332.00	9442.8
333.00	9561.2
334.00	9718.7
335.00	9899.1
336.00	10116
337.00	10361
338.00	10620
339.00	10895
340.00	11202
341.00	11507
342.00	11818
343.00	12135
344.00	12455
345.00	12781
346.00	13098
347.00	13412
348.00	13704
349.00	13997
350.00	14278
351.00	14529
352.00	14774
353.00	14988
354.00	15168
355.00	15351
356.00	15484
357.00	15595
358.00	15633
359.00	15662
360.00	15666
361.00	15649
362.00	15601
363.00	15512
364.00	15402
365.00	15303
366.00	15120
367.00	14923
368.00	14708
369.00	14448
370.00	14164
371.00	13852
372.00	13513
373.00	13154
374.00	12743
375.00	12304
376.00	11844
377.00	11338
378.00	10810
379.00	10254
380.00	9706.7
381.00	9145.4
382.00	8549.9
383.00	7970.8
384.00	7414.0
385.00	6844.6
386.00	6312.5
387.00	5798.0
388.00	5300.4
389.00	4839.3
390.00	4391.4
391.00	3974.2
392.00	3594.4
393.00	3237.3
394.00	2923.2
395.00	2626.4
396.00	2362.3
397.00	2114.0
398.00	1889.4
399.00	1682.7
400.00	1504.5
401.00	1347.5
402.00	1198.0
403.00	1073.6
404.00	957.65
405.00	851.11
406.00	759.03
407.00	679.69
408.00	617.82
409.00	552.82
410.00	495.02
411.00	452.16
412.00	408.57
413.00	368.35
414.00	333.60
415.00	302.31
416.00	276.63
417.00	254.76
418.00	231.66
419.00	218.76
420.00	210.01
421.00	198.49
422.00	175.89
423.00	161.98
424.00	153.18
425.00	138.96
426.00	134.34
427.00	133.20
428.00	123.03
429.00	129.80
430.00	120.56
431.00	105.06
432.00	98.425
433.00	103.21
434.00	99.151
435.00	94.636
436.00	89.155
437.00	83.098
438.00	83.602
439.00	80.236
440.00	85.769
441.00	82.977
442.00	69.222
443.00	73.233
444.00	58.853
445.00	58.541
446.00	61.574
447.00	59.448
448.00	54.964
449.00	51.779
450.00	52.827
451.00	49.794
452.00	50.006
453.00	50.056
454.00	55.669
455.00	48.928
456.00	42.287
457.00	50.631
458.00	47.920
459.00	46.731
460.00	40.121
461.00	31.767
462.00	43.516
463.00	42.872
464.00	52.495
465.00	43.799
466.00	40.403
467.00	45.713
468.00	39.395
469.00	33.550
470.00	43.728
471.00	51.900
472.00	52.979
473.00	44.766
474.00	49.210
475.00	45.048
476.00	48.686
477.00	43.819
478.00	43.123
479.00	45.159
480.00	44.121
481.00	46.308
482.00	40.584
483.00	44.867
484.00	35.032
485.00	76.347
486.00	59.693
487.00	53.755
488.00	46.288
489.00	34.951
490.00	44.061
491.00	37.239
492.00	45.602
493.00	37.914
494.00	45.330
495.00	32.502
496.00	43.456
497.00	31.928
498.00	39.556
499.00	42.811
500.00	38.659
