Wavelength (nm)	FL111 [12] 480-16-0, Morin [M]
210.00	28196
211.00	26647
212.00	25203
213.00	23705
214.00	22074
215.00	20574
216.00	19271
217.00	18114
218.00	17247
219.00	16557
220.00	15966
221.00	15490
222.00	15085
223.00	14715
224.00	14398
225.00	14094
226.00	13789
227.00	13485
228.00	13217
229.00	12972
230.00	12725
231.00	12452
232.00	12203
233.00	11926
234.00	11629
235.00	11378
236.00	11202
237.00	11095
238.00	11080
239.00	11154
240.00	11306
241.00	11539
242.00	11848
243.00	12223
244.00	12664
245.00	13152
246.00	13692
247.00	14248
248.00	14825
249.00	15409
250.00	15970
251.00	16548
252.00	17107
253.00	17616
254.00	18019
255.00	18274
256.00	18357
257.00	18222
258.00	17856
259.00	17287
260.00	16612
261.00	15858
262.00	15158
263.00	14487
264.00	13895
265.00	13373
266.00	12912
267.00	12509
268.00	12084
269.00	11704
270.00	11298
271.00	10874
272.00	10404
273.00	9878.0
274.00	9291.3
275.00	8683.2
276.00	8058.8
277.00	7461.6
278.00	6914.3
279.00	6456.4
280.00	6092.6
281.00	5814.6
282.00	5618.4
283.00	5486.8
284.00	5405.2
285.00	5375.5
286.00	5384.5
287.00	5420.0
288.00	5472.1
289.00	5535.7
290.00	5613.7
291.00	5683.2
292.00	5749.9
293.00	5801.1
294.00	5847.5
295.00	5882.3
296.00	5928.2
297.00	5958.5
298.00	5986.9
299.00	6015.1
300.00	6045.4
301.00	6083.0
302.00	6104.2
303.00	6141.0
304.00	6168.3
305.00	6191.7
306.00	6209.3
307.00	6198.1
308.00	6204.3
309.00	6214.3
310.00	6207.5
311.00	6217.0
312.00	6230.9
313.00	6253.7
314.00	6287.1
315.00	6329.4
316.00	6380.4
317.00	6453.3
318.00	6533.5
319.00	6616.0
320.00	6719.7
321.00	6833.8
322.00	6953.5
323.00	7067.2
324.00	7205.5
325.00	7345.8
326.00	7476.5
327.00	7625.6
328.00	7766.3
329.00	7914.5
330.00	8064.3
331.00	8208.3
332.00	8356.5
333.00	8516.3
334.00	8689.0
335.00	8855.8
336.00	9034.4
337.00	9227.3
338.00	9440.6
339.00	9664.1
340.00	9921.6
341.00	10180
342.00	10467
343.00	10765
344.00	11079
345.00	11399
346.00	11746
347.00	12114
348.00	12488
349.00	12867
350.00	13228
351.00	13622
352.00	14036
353.00	14419
354.00	14853
355.00	15282
356.00	15646
357.00	16041
358.00	16408
359.00	16747
360.00	17153
361.00	17531
362.00	17878
363.00	18172
364.00	18498
365.00	18742
366.00	18932
367.00	19060
368.00	19174
369.00	19314
370.00	19400
371.00	19396
372.00	19361
373.00	19323
374.00	19355
375.00	19164
376.00	19086
377.00	19096
378.00	18937
379.00	18735
380.00	18530
381.00	18211
382.00	17933
383.00	17588
384.00	17181
385.00	16769
386.00	16270
387.00	15688
388.00	15118
389.00	14471
390.00	13774
391.00	13029
392.00	12255
393.00	11488
394.00	10751
395.00	9983.7
396.00	9202.1
397.00	8433.5
398.00	7721.4
399.00	7045.6
400.00	6426.3
401.00	5812.7
402.00	5236.0
403.00	4689.8
404.00	4197.8
405.00	3744.6
406.00	3376.2
407.00	3023.6
408.00	2668.7
409.00	2368.7
410.00	2108.7
411.00	1861.7
412.00	1642.1
413.00	1433.5
414.00	1287.2
415.00	1134.5
416.00	987.88
417.00	862.06
418.00	768.84
419.00	674.61
420.00	603.35
421.00	516.85
422.00	442.67
423.00	393.98
424.00	360.58
425.00	319.15
426.00	299.16
427.00	251.91
428.00	239.52
429.00	207.04
430.00	179.60
431.00	169.01
432.00	163.89
433.00	153.57
434.00	125.21
435.00	138.46
436.00	122.57
437.00	114.77
438.00	114.49
439.00	106.76
440.00	102.67
441.00	82.639
442.00	87.588
443.00	85.094
444.00	76.503
445.00	72.135
446.00	75.117
447.00	59.454
448.00	61.618
449.00	62.383
450.00	64.772
451.00	51.971
452.00	64.033
453.00	58.332
454.00	58.226
455.00	44.634
456.00	52.829
457.00	55.125
458.00	49.042
459.00	33.945
460.00	50.599
461.00	36.664
462.00	42.167
463.00	37.033
464.00	42.536
465.00	47.326
466.00	53.053
467.00	43.961
468.00	28.443
469.00	43.275
470.00	44.410
471.00	34.592
472.00	23.745
473.00	14.323
474.00	23.270
475.00	32.745
476.00	21.673
477.00	47.221
478.00	20.208
479.00	36.756
480.00	40.913
481.00	26.094
482.00	39.224
483.00	40.583
484.00	42.457
485.00	21.356
486.00	6.3557
487.00	38.617
488.00	39.752
489.00	29.736
490.00	53.014
491.00	36.492
492.00	35.054
493.00	15.867
494.00	54.492
495.00	51.272
496.00	24.286
497.00	24.550
498.00	48.224
499.00	55.627
500.00	47.366
