Wavelength (nm)	FL115 [12] 6665-74-3, 5,7-Dihydroxy-3-methoxyflavone [D]
220.00	12977
221.00	12463
222.00	12144
223.00	11826
224.00	11505
225.00	11126
226.00	10747
227.00	10382
228.00	10061
229.00	9739.6
230.00	9426.5
231.00	9163.0
232.00	8902.0
233.00	8764.5
234.00	8627.1
235.00	8542.7
236.00	8515.7
237.00	8488.7
238.00	8479.2
239.00	8525.0
240.00	8570.8
241.00	8580.9
242.00	8564.0
243.00	8547.1
244.00	8518.8
245.00	8477.5
246.00	8436.3
247.00	8516.5
248.00	8605.9
249.00	8803.7
250.00	9171.0
251.00	9538.2
252.00	9975.2
253.00	10575
254.00	11175
255.00	11788
256.00	12431
257.00	13073
258.00	13704
259.00	14268
260.00	14833
261.00	15391
262.00	15912
263.00	16378
264.00	16771
265.00	17080
266.00	17390
267.00	17517
268.00	17600
269.00	17524
270.00	17392
271.00	16623
272.00	15654
273.00	14846
274.00	14056
275.00	13488
276.00	12921
277.00	12472
278.00	12103
279.00	11733
280.00	11364
281.00	11046
282.00	10729
283.00	10413
284.00	10096
285.00	9802.3
286.00	9522.9
287.00	9243.6
288.00	8993.3
289.00	8797.0
290.00	8600.7
291.00	8404.4
292.00	8286.1
293.00	8170.2
294.00	8054.3
295.00	7938.4
296.00	7857.0
297.00	7798.4
298.00	7739.9
299.00	7681.3
300.00	7622.8
301.00	7575.2
302.00	7537.4
303.00	7499.5
304.00	7461.6
305.00	7423.8
306.00	7405.7
307.00	7410.8
308.00	7416.0
309.00	7423.0
310.00	7455.3
311.00	7487.6
312.00	7519.8
313.00	7558.0
314.00	7597.4
315.00	7636.8
316.00	7676.2
317.00	7702.5
318.00	7728.7
319.00	7740.6
320.00	7752.4
321.00	7723.5
322.00	7656.7
323.00	7589.8
324.00	7523.5
325.00	7457.1
326.00	7390.7
327.00	7324.4
328.00	7260.7
329.00	7198.6
330.00	7136.6
331.00	7074.5
332.00	7049.6
333.00	7026.7
334.00	7003.8
335.00	6983.6
336.00	6980.4
337.00	6977.2
338.00	6974.1
339.00	6970.9
340.00	6967.7
341.00	6958.4
342.00	6945.7
343.00	6933.0
344.00	6920.3
345.00	6907.7
346.00	6889.7
347.00	6841.4
348.00	6793.2
349.00	6745.0
350.00	6696.7
351.00	6644.5
352.00	6546.1
353.00	6447.7
354.00	6349.3
355.00	6250.9
356.00	6139.2
357.00	5994.7
358.00	5850.3
359.00	5705.9
360.00	5561.5
361.00	5417.0
362.00	5272.6
363.00	5120.0
364.00	4959.8
365.00	4799.5
366.00	4639.3
367.00	4479.1
368.00	4318.9
369.00	4158.7
370.00	3998.4
371.00	3858.7
372.00	3718.9
373.00	3579.2
374.00	3439.4
375.00	3299.6
376.00	3159.9
377.00	3020.1
378.00	2880.3
379.00	2748.3
380.00	2617.3
381.00	2486.2
382.00	2355.2
383.00	2224.2
384.00	2093.2
385.00	1962.2
386.00	1840.5
387.00	1726.6
388.00	1612.7
389.00	1498.8
390.00	1384.8
391.00	1270.9
392.00	1157.0
393.00	1050.7
394.00	952.12
395.00	853.52
396.00	754.93
397.00	656.33
398.00	558.10
399.00	496.26
400.00	434.41
401.00	372.57
402.00	319.57
403.00	283.76
404.00	247.95
405.00	212.14
406.00	194.66
407.00	177.18
408.00	159.70
409.00	142.22
410.00	124.74
411.00	115.73
412.00	106.71
413.00	97.702
414.00	88.688
415.00	79.675
416.00	79.675
417.00	79.675
418.00	79.675
419.00	79.675
420.00	79.675
