Wavelength (nm)	FL118 [12] 480-19-3, Isorhamnetin [D]
215.00	20465
216.00	19376
217.00	18633
218.00	17951
219.00	17360
220.00	16770
221.00	16388
222.00	16123
223.00	15858
224.00	15593
225.00	15373
226.00	15163
227.00	14953
228.00	14852
229.00	14774
230.00	14697
231.00	14620
232.00	14569
233.00	14535
234.00	14500
235.00	14497
236.00	14663
237.00	14829
238.00	14994
239.00	15160
240.00	15534
241.00	15930
242.00	16405
243.00	16879
244.00	17395
245.00	18005
246.00	18614
247.00	19120
248.00	19601
249.00	20081
250.00	20481
251.00	20783
252.00	21085
253.00	21238
254.00	21318
255.00	21245
256.00	21143
257.00	20975
258.00	20807
259.00	20560
260.00	20261
261.00	19962
262.00	19621
263.00	19163
264.00	18705
265.00	18231
266.00	17746
267.00	17262
268.00	16772
269.00	16275
270.00	15779
271.00	15282
272.00	14733
273.00	14179
274.00	13580
275.00	12965
276.00	12351
277.00	11740
278.00	11133
279.00	10525
280.00	9857.9
281.00	9314.0
282.00	9000.6
283.00	8723.3
284.00	8582.5
285.00	8441.7
286.00	8381.4
287.00	8355.5
288.00	8329.7
289.00	8303.8
290.00	8286.5
291.00	8292.5
292.00	8298.4
293.00	8304.4
294.00	8310.1
295.00	8315.6
296.00	8321.1
297.00	8326.5
298.00	8332.2
299.00	8338.4
300.00	8344.5
301.00	8350.7
302.00	8360.3
303.00	8372.6
304.00	8384.9
305.00	8397.1
306.00	8409.4
307.00	8421.7
308.00	8445.9
309.00	8471.0
310.00	8496.1
311.00	8519.0
312.00	8534.2
313.00	8549.3
314.00	8564.4
315.00	8579.5
316.00	8594.5
317.00	8609.4
318.00	8624.2
319.00	8639.0
320.00	8653.9
321.00	8673.7
322.00	8695.0
323.00	8716.3
324.00	8737.6
325.00	8758.9
326.00	8781.6
327.00	8812.6
328.00	8843.6
329.00	8874.6
330.00	8905.6
331.00	8936.6
332.00	9034.8
333.00	9169.3
334.00	9303.8
335.00	9547.5
336.00	9847.6
337.00	10079
338.00	10299
339.00	10386
340.00	10473
341.00	10576
342.00	10699
343.00	10825
344.00	11018
345.00	11212
346.00	11504
347.00	11888
348.00	12354
349.00	12831
350.00	13438
351.00	14046
352.00	14802
353.00	15674
354.00	16539
355.00	17391
356.00	18242
357.00	19029
358.00	19726
359.00	20424
360.00	20989
361.00	21520
362.00	22051
363.00	22426
364.00	22788
365.00	23150
366.00	23357
367.00	23406
368.00	23372
369.00	23252
370.00	22955
371.00	22540
372.00	22125
373.00	21592
374.00	20989
375.00	20386
376.00	19762
377.00	19056
378.00	18350
379.00	17645
380.00	16939
381.00	16170
382.00	15399
383.00	14628
384.00	13858
385.00	13100
386.00	12372
387.00	11644
388.00	10916
389.00	10188
390.00	9535.7
391.00	8960.0
392.00	8384.4
393.00	7808.8
394.00	7233.1
395.00	6657.5
396.00	6081.9
397.00	5634.6
398.00	5242.3
399.00	4850.0
400.00	4457.7
401.00	4134.9
402.00	3912.2
403.00	3689.4
404.00	3466.7
405.00	3244.0
406.00	3021.3
407.00	2798.5
408.00	2575.8
409.00	2361.4
410.00	2194.4
411.00	2027.3
412.00	1860.3
413.00	1693.2
414.00	1573.1
415.00	1454.4
416.00	1335.7
417.00	1217.0
418.00	1098.3
