Wavelength (nm)	FL120 [12] 489-33-8, Limocitrin [D]
235.00	10428
236.00	10313
237.00	10177
238.00	10083
239.00	10005
240.00	9949.7
241.00	9903.2
242.00	9960.2
243.00	10064
244.00	10239
245.00	10468
246.00	10719
247.00	11034
248.00	11396
249.00	11778
250.00	12172
251.00	12571
252.00	12991
253.00	13417
254.00	13871
255.00	14320
256.00	14632
257.00	14916
258.00	15142
259.00	15250
260.00	15143
261.00	14891
262.00	14475
263.00	13948
264.00	13383
265.00	12965
266.00	12629
267.00	12372
268.00	12193
269.00	12046
270.00	11976
271.00	11906
272.00	11846
273.00	11796
274.00	11746
275.00	11686
276.00	11625
277.00	11401
278.00	11025
279.00	10533
280.00	10025
281.00	9445.8
282.00	8866.2
283.00	8251.5
284.00	7618.0
285.00	7027.8
286.00	6467.9
287.00	6018.7
288.00	5699.7
289.00	5426.8
290.00	5251.9
291.00	5115.5
292.00	5019.0
293.00	4951.2
294.00	4921.4
295.00	4891.6
296.00	4890.3
297.00	4914.2
298.00	4938.2
299.00	4981.1
300.00	5034.7
301.00	5088.4
302.00	5158.9
303.00	5235.3
304.00	5309.8
305.00	5372.1
306.00	5434.3
307.00	5492.2
308.00	5549.0
309.00	5601.6
310.00	5637.0
311.00	5672.3
312.00	5693.1
313.00	5708.9
314.00	5724.6
315.00	5765.8
316.00	5807.0
317.00	5871.9
318.00	5962.4
319.00	6060.0
320.00	6187.5
321.00	6315.0
322.00	6470.1
323.00	6634.4
324.00	6795.2
325.00	6952.9
326.00	7110.5
327.00	7257.4
328.00	7404.2
329.00	7545.3
330.00	7686.1
331.00	7810.7
332.00	7929.9
333.00	8049.1
334.00	8163.4
335.00	8276.8
336.00	8375.9
337.00	8434.2
338.00	8492.5
339.00	8538.1
340.00	8574.8
341.00	8611.6
342.00	8646.8
343.00	8681.7
344.00	8716.5
345.00	8760.6
346.00	8807.2
347.00	8853.7
348.00	8942.0
349.00	9039.4
350.00	9138.2
351.00	9255.9
352.00	9382.7
353.00	9557.5
354.00	9749.6
355.00	9976.8
356.00	10227
357.00	10493
358.00	10749
359.00	10998
360.00	11248
361.00	11525
362.00	11803
363.00	12087
364.00	12388
365.00	12690
366.00	12963
367.00	13207
368.00	13451
369.00	13673
370.00	13879
371.00	14086
372.00	14277
373.00	14397
374.00	14517
375.00	14626
376.00	14730
377.00	14768
378.00	14800
379.00	14769
380.00	14738
381.00	14658
382.00	14577
383.00	14437
384.00	14265
385.00	14075
386.00	13872
387.00	13643
388.00	13383
389.00	13103
390.00	12727
391.00	12352
392.00	11929
393.00	11484
394.00	10912
395.00	10405
396.00	9911.4
397.00	9363.0
398.00	8829.4
399.00	8292.3
400.00	7720.1
401.00	7138.5
402.00	6542.0
403.00	5933.8
404.00	5352.4
405.00	4792.6
406.00	4196.3
407.00	3806.9
