Wavelength (nm)	FL122 [12] 90-18-6, Quercetagetin [D]
220.00	29691
221.00	28882
222.00	28090
223.00	27314
224.00	26539
225.00	25778
226.00	25151
227.00	24524
228.00	23896
229.00	23269
230.00	22667
231.00	22112
232.00	21558
233.00	21003
234.00	20449
235.00	19946
236.00	19456
237.00	18966
238.00	18476
239.00	18055
240.00	17654
241.00	17252
242.00	16899
243.00	16574
244.00	16385
245.00	16219
246.00	16133
247.00	16142
248.00	16160
249.00	16212
250.00	16266
251.00	16331
252.00	16396
253.00	16469
254.00	16548
255.00	16627
256.00	16734
257.00	16863
258.00	17007
259.00	17094
260.00	16996
261.00	16789
262.00	16542
263.00	16255
264.00	15967
265.00	15638
266.00	15297
267.00	15009
268.00	14766
269.00	14525
270.00	14428
271.00	14374
272.00	14348
273.00	14321
274.00	14270
275.00	14168
276.00	13997
277.00	13773
278.00	13392
279.00	12966
280.00	12431
281.00	11896
282.00	11377
283.00	10868
284.00	10374
285.00	10009
286.00	9643.9
287.00	9341.3
288.00	9082.1
289.00	8844.8
290.00	8669.7
291.00	8494.5
292.00	8319.4
293.00	8192.7
294.00	8076.7
295.00	7960.6
296.00	7854.1
297.00	7757.7
298.00	7661.4
299.00	7565.0
300.00	7468.7
301.00	7385.2
302.00	7305.3
303.00	7225.4
304.00	7145.5
305.00	7070.0
306.00	6997.3
307.00	6943.8
308.00	6897.4
309.00	6870.9
310.00	6874.0
311.00	6901.1
312.00	6977.7
313.00	7071.7
314.00	7183.6
315.00	7326.1
316.00	7468.6
317.00	7613.4
318.00	7833.5
319.00	8053.5
320.00	8273.6
321.00	8552.0
322.00	8863.2
323.00	9174.3
324.00	9485.5
325.00	9796.7
326.00	10201
327.00	10667
328.00	11133
329.00	11599
330.00	12065
331.00	12532
332.00	13027
333.00	13536
334.00	14045
335.00	14541
336.00	15024
337.00	15507
338.00	15955
339.00	16339
340.00	16723
341.00	17107
342.00	17460
343.00	17809
344.00	18157
345.00	18506
346.00	18803
347.00	19064
348.00	19325
349.00	19586
350.00	19847
351.00	20088
352.00	20324
353.00	20559
354.00	20794
355.00	21021
356.00	21214
357.00	21407
358.00	21599
359.00	21792
360.00	21887
361.00	21975
362.00	21946
363.00	21917
364.00	21869
365.00	21797
366.00	21725
367.00	21653
368.00	21581
369.00	21469
370.00	21331
371.00	21192
372.00	21034
373.00	20820
374.00	20605
375.00	20390
376.00	20175
377.00	19938
378.00	19674
379.00	19411
380.00	19147
381.00	18883
382.00	18605
383.00	18280
384.00	17955
385.00	17630
386.00	17305
387.00	16905
388.00	16439
389.00	15973
390.00	15470
391.00	14920
392.00	14370
393.00	13816
394.00	13176
395.00	12536
396.00	11894
397.00	11244
398.00	10595
399.00	9947.9
