Wavelength (nm)	FL134 [12] 10173-01-0, Jaceidin [D]
220.00	27047
221.00	26284
222.00	25521
223.00	24757
224.00	23781
225.00	22791
226.00	21942
227.00	21094
228.00	20312
229.00	19619
230.00	18926
231.00	18345
232.00	17853
233.00	17361
234.00	16904
235.00	16565
236.00	16226
237.00	15887
238.00	15603
239.00	15362
240.00	15121
241.00	14880
242.00	14696
243.00	14541
244.00	14386
245.00	14319
246.00	14260
247.00	14287
248.00	14365
249.00	14510
250.00	14689
251.00	14877
252.00	15120
253.00	15412
254.00	15724
255.00	16071
256.00	16278
257.00	16348
258.00	16272
259.00	16070
260.00	15849
261.00	15604
262.00	15342
263.00	15089
264.00	14846
265.00	14610
266.00	14441
267.00	14329
268.00	14272
269.00	14337
270.00	14517
271.00	14807
272.00	14942
273.00	14989
274.00	14774
275.00	14382
276.00	13990
277.00	13421
278.00	12851
279.00	12282
280.00	11758
281.00	11234
282.00	10710
283.00	10258
284.00	9904.6
285.00	9551.6
286.00	9323.6
287.00	9103.7
288.00	8964.4
289.00	8891.0
290.00	8830.2
291.00	8807.0
292.00	8783.9
293.00	8771.0
294.00	8783.4
295.00	8795.8
296.00	8810.0
297.00	8834.7
298.00	8859.5
299.00	8884.3
300.00	8909.0
301.00	8942.6
302.00	8991.7
303.00	9040.9
304.00	9090.0
305.00	9139.1
306.00	9188.3
307.00	9270.8
308.00	9360.7
309.00	9450.6
310.00	9540.5
311.00	9663.7
312.00	9817.9
313.00	9972.0
314.00	10126
315.00	10280
316.00	10485
317.00	10694
318.00	10903
319.00	11111
320.00	11347
321.00	11636
322.00	11925
323.00	12213
324.00	12502
325.00	12837
326.00	13208
327.00	13578
328.00	13949
329.00	14320
330.00	14691
331.00	15062
332.00	15472
333.00	15884
334.00	16296
335.00	16708
336.00	17096
337.00	17457
338.00	17819
339.00	18180
340.00	18531
341.00	18834
342.00	19137
343.00	19439
344.00	19742
345.00	20005
346.00	20241
347.00	20477
348.00	20713
349.00	20886
350.00	21040
351.00	21195
352.00	21284
353.00	21366
354.00	21400
355.00	21363
356.00	21327
357.00	21253
358.00	21180
359.00	21004
360.00	20827
361.00	20651
362.00	20344
363.00	20037
364.00	19730
365.00	19422
366.00	19057
367.00	18597
368.00	18137
369.00	17677
370.00	17208
371.00	16714
372.00	16221
373.00	15728
374.00	15248
375.00	14775
376.00	14303
377.00	13831
378.00	13358
379.00	12873
380.00	12386
381.00	11899
382.00	11412
383.00	10933
384.00	10465
385.00	9996.0
386.00	9527.3
387.00	9058.6
388.00	8596.8
389.00	8190.1
390.00	7783.4
391.00	7376.7
392.00	6970.0
393.00	6628.2
394.00	6311.7
395.00	5995.2
396.00	5700.3
397.00	5442.1
398.00	5183.9
399.00	4929.4
400.00	4680.0
