Wavelength (nm)	FL140 [12] 5150-31-2, JCS 1951_3136, A4 [D]
223.00	19833
224.00	19618
225.00	19403
226.00	19227
227.00	19062
228.00	18897
229.00	18726
230.00	18539
231.00	18351
232.00	18148
233.00	17941
234.00	17735
235.00	17529
236.00	17324
237.00	17125
238.00	16937
239.00	16789
240.00	16705
241.00	16668
242.00	16688
243.00	16770
244.00	16892
245.00	17058
246.00	17314
247.00	17654
248.00	18015
249.00	18375
250.00	18718
251.00	18936
252.00	19106
253.00	19250
254.00	19359
255.00	19429
256.00	19500
257.00	19268
258.00	18908
259.00	18522
260.00	18152
261.00	17838
262.00	17606
263.00	17430
264.00	17255
265.00	17083
266.00	16933
267.00	16818
268.00	16885
269.00	16953
270.00	16628
271.00	16209
272.00	15661
273.00	14996
274.00	14240
275.00	13489
276.00	12538
277.00	11524
278.00	10694
279.00	10034
280.00	9502.5
281.00	9196.0
282.00	8938.2
283.00	8750.4
284.00	8656.6
285.00	8588.3
286.00	8568.0
287.00	8557.9
288.00	8580.3
289.00	8602.8
290.00	8661.0
291.00	8733.2
292.00	8816.8
293.00	8906.9
294.00	8972.2
295.00	9026.9
296.00	9077.1
297.00	9114.8
298.00	9152.6
299.00	9201.9
300.00	9257.0
301.00	9358.2
302.00	9475.6
303.00	9593.1
304.00	9718.8
305.00	9873.9
306.00	10029
307.00	10184
308.00	10341
309.00	10498
310.00	10655
311.00	10812
312.00	10969
313.00	11137
314.00	11310
315.00	11484
316.00	11657
317.00	11830
318.00	12012
319.00	12194
320.00	12376
321.00	12559
322.00	12745
323.00	12966
324.00	13187
325.00	13408
326.00	13629
327.00	13849
328.00	14063
329.00	14272
330.00	14482
331.00	14691
332.00	14900
333.00	15081
334.00	15254
335.00	15426
336.00	15599
337.00	15761
338.00	15912
339.00	16062
340.00	16213
341.00	16355
342.00	16486
343.00	16617
344.00	16748
345.00	16878
346.00	17006
347.00	17135
348.00	17263
349.00	17387
350.00	17504
351.00	17613
352.00	17661
353.00	17709
354.00	17661
355.00	17613
356.00	17494
357.00	17323
358.00	17149
359.00	16943
360.00	16738
361.00	16532
362.00	16281
363.00	16017
364.00	15753
365.00	15487
366.00	15216
367.00	14945
368.00	14674
369.00	14364
370.00	14033
371.00	13693
372.00	13326
373.00	12959
374.00	12543
375.00	12122
376.00	11702
377.00	11283
378.00	10843
379.00	10378
380.00	9840.7
381.00	9302.4
382.00	8821.7
