Wavelength (nm)	FL148 [12] 479-78-7, Meliternatin [D]
221.00	28873
222.00	26703
223.00	25069
224.00	23568
225.00	22271
226.00	21165
227.00	20323
228.00	19603
229.00	18960
230.00	18445
231.00	17937
232.00	17514
233.00	17112
234.00	16754
235.00	16433
236.00	16210
237.00	16025
238.00	15893
239.00	15870
240.00	15932
241.00	16086
242.00	16326
243.00	16608
244.00	16905
245.00	17182
246.00	17460
247.00	17728
248.00	17811
249.00	17713
250.00	17543
251.00	17322
252.00	17089
253.00	16821
254.00	16542
255.00	16244
256.00	15928
257.00	15613
258.00	15310
259.00	15034
260.00	14758
261.00	14501
262.00	14269
263.00	14037
264.00	13804
265.00	13578
266.00	13416
267.00	13258
268.00	13153
269.00	13047
270.00	12944
271.00	12840
272.00	12721
273.00	12578
274.00	12417
275.00	12232
276.00	11987
277.00	11693
278.00	11382
279.00	11043
280.00	10705
281.00	10378
282.00	10093
283.00	9847.4
284.00	9599.3
285.00	9337.8
286.00	9040.8
287.00	8711.3
288.00	8229.3
289.00	7773.6
290.00	7503.5
291.00	7499.5
292.00	7597.1
293.00	7741.5
294.00	7890.9
295.00	8040.3
296.00	8195.9
297.00	8355.5
298.00	8526.4
299.00	8745.2
300.00	8995.4
301.00	9287.1
302.00	9657.6
303.00	10036
304.00	10571
305.00	11114
306.00	11790
307.00	12487
308.00	13193
309.00	13895
310.00	14542
311.00	15188
312.00	15832
313.00	16477
314.00	17062
315.00	17640
316.00	18218
317.00	18792
318.00	19363
319.00	19934
320.00	20501
321.00	21066
322.00	21629
323.00	22078
324.00	22527
325.00	22972
326.00	23364
327.00	23757
328.00	24135
329.00	24460
330.00	24785
331.00	25042
332.00	25270
333.00	25467
334.00	25585
335.00	25670
336.00	25700
337.00	25610
338.00	25495
339.00	25349
340.00	25145
341.00	24910
342.00	24519
343.00	24120
344.00	23690
345.00	23261
346.00	22795
347.00	22326
348.00	21819
349.00	21230
350.00	20641
351.00	19930
352.00	19219
353.00	18509
354.00	17813
355.00	17117
356.00	16397
357.00	15661
358.00	14825
359.00	13883
360.00	13000
361.00	12158
362.00	11386
363.00	10472
364.00	9431.6
365.00	8140.8
