Wavelength (nm)	FL152 [12] 7741-47-1, Gossypetin hxamethyl ether [D]
220.00	24933
221.00	23990
222.00	23272
223.00	22679
224.00	22096
225.00	21543
226.00	20990
227.00	20580
228.00	20204
229.00	19899
230.00	19621
231.00	19353
232.00	19090
233.00	18845
234.00	18648
235.00	18451
236.00	18277
237.00	18119
238.00	17978
239.00	17887
240.00	17841
241.00	17847
242.00	17922
243.00	18115
244.00	18346
245.00	18652
246.00	19002
247.00	19430
248.00	19870
249.00	20353
250.00	20954
251.00	21666
252.00	21900
253.00	21699
254.00	21238
255.00	20750
256.00	20181
257.00	19763
258.00	19415
259.00	19210
260.00	19113
261.00	19118
262.00	19166
263.00	19262
264.00	19392
265.00	19567
266.00	19763
267.00	19970
268.00	20200
269.00	20450
270.00	20663
271.00	20750
272.00	20525
273.00	20008
274.00	19275
275.00	18390
276.00	17409
277.00	16250
278.00	14923
279.00	13513
280.00	12499
281.00	11673
282.00	11058
283.00	10589
284.00	10291
285.00	10129
286.00	10060
287.00	10022
288.00	10052
289.00	10091
290.00	10171
291.00	10250
292.00	10331
293.00	10427
294.00	10522
295.00	10618
296.00	10707
297.00	10795
298.00	10883
299.00	10970
300.00	11059
301.00	11147
302.00	11236
303.00	11329
304.00	11439
305.00	11548
306.00	11658
307.00	11790
308.00	11937
309.00	12084
310.00	12235
311.00	12395
312.00	12555
313.00	12715
314.00	12936
315.00	13164
316.00	13391
317.00	13619
318.00	13856
319.00	14122
320.00	14389
321.00	14655
322.00	14922
323.00	15188
324.00	15441
325.00	15693
326.00	15945
327.00	16197
328.00	16450
329.00	16701
330.00	16952
331.00	17202
332.00	17453
333.00	17704
334.00	17957
335.00	18212
336.00	18466
337.00	18721
338.00	18975
339.00	19216
340.00	19436
341.00	19656
342.00	19876
343.00	20096
344.00	20270
345.00	20428
346.00	20585
347.00	20741
348.00	20807
349.00	20871
350.00	20900
351.00	20929
352.00	20890
353.00	20849
354.00	20770
355.00	20692
356.00	20507
357.00	20306
358.00	20032
359.00	19755
360.00	19333
361.00	18860
362.00	18353
363.00	17796
364.00	17261
365.00	16760
366.00	16259
367.00	15733
368.00	15185
369.00	14643
370.00	14125
371.00	13606
372.00	13033
373.00	12355
374.00	11645
375.00	10863
376.00	10091
377.00	9308.4
378.00	8453.2
