Wavelength (nm)	FL153 [12] 571-71-1, Ternatin [D]
220.00	20889
221.00	20387
222.00	19936
223.00	19485
224.00	19042
225.00	18602
226.00	18162
227.00	17771
228.00	17403
229.00	17077
230.00	16790
231.00	16503
232.00	16302
233.00	16105
234.00	15907
235.00	15746
236.00	15593
237.00	15441
238.00	15310
239.00	15212
240.00	15161
241.00	15258
242.00	15405
243.00	15563
244.00	15810
245.00	16085
246.00	16367
247.00	16797
248.00	17244
249.00	17823
250.00	18403
251.00	18967
252.00	19533
253.00	20105
254.00	20610
255.00	21015
256.00	21322
257.00	21400
258.00	21338
259.00	21080
260.00	20807
261.00	20519
262.00	20255
263.00	20044
264.00	19837
265.00	19647
266.00	19456
267.00	19391
268.00	19333
269.00	19331
270.00	19372
271.00	19484
272.00	19612
273.00	19599
274.00	19448
275.00	19126
276.00	18666
277.00	18148
278.00	17204
279.00	16167
280.00	15100
281.00	14018
282.00	12933
283.00	11851
284.00	11001
285.00	10342
286.00	9825.3
287.00	9630.6
288.00	9526.9
289.00	9494.7
290.00	9462.5
291.00	9447.3
292.00	9434.9
293.00	9434.9
294.00	9434.9
295.00	9434.9
296.00	9433.0
297.00	9429.7
298.00	9426.5
299.00	9423.3
300.00	9418.0
301.00	9410.9
302.00	9403.9
303.00	9396.8
304.00	9384.1
305.00	9370.0
306.00	9356.2
307.00	9356.2
308.00	9356.2
309.00	9372.7
310.00	9401.5
311.00	9468.5
312.00	9545.3
313.00	9656.3
314.00	9793.0
315.00	9947.6
316.00	10102
317.00	10285
318.00	10503
319.00	10721
320.00	10939
321.00	11191
322.00	11453
323.00	11715
324.00	11977
325.00	12267
326.00	12565
327.00	12863
328.00	13161
329.00	13446
330.00	13728
331.00	14009
332.00	14290
333.00	14565
334.00	14837
335.00	15109
336.00	15355
337.00	15581
338.00	15806
339.00	16022
340.00	16188
341.00	16354
342.00	16520
343.00	16674
344.00	16821
345.00	16967
346.00	17113
347.00	17260
348.00	17388
349.00	17510
350.00	17633
351.00	17755
352.00	17869
353.00	17979
354.00	18089
355.00	18198
356.00	18305
357.00	18400
358.00	18495
359.00	18590
360.00	18685
361.00	18744
362.00	18797
363.00	18849
364.00	18901
365.00	18946
366.00	18978
367.00	18986
368.00	18991
369.00	18953
370.00	18902
371.00	18797
372.00	18675
373.00	18482
374.00	18290
375.00	18063
376.00	17796
377.00	17529
378.00	17221
379.00	16860
380.00	16500
381.00	16139
382.00	15769
383.00	15396
384.00	15024
385.00	14647
386.00	14268
387.00	13890
388.00	13481
389.00	13064
390.00	12646
391.00	12222
392.00	11798
393.00	11351
394.00	10884
395.00	10423
396.00	9966.0
397.00	9443.9
