Wavelength (nm)	FL156 [13] 486-66-8, Daidzein [M]
211.00	21375
212.00	20768
213.00	20076
214.00	19225
215.00	18194
216.00	17117
217.00	16127
218.00	15323
219.00	14707
220.00	14358
221.00	14235
222.00	14309
223.00	14582
224.00	14998
225.00	15546
226.00	16201
227.00	16946
228.00	17746
229.00	18561
230.00	19386
231.00	20186
232.00	20887
233.00	21488
234.00	21989
235.00	22390
236.00	22737
237.00	23069
238.00	23329
239.00	23594
240.00	23816
241.00	23993
242.00	24159
243.00	24279
244.00	24503
245.00	24762
246.00	25078
247.00	25481
248.00	25812
249.00	25901
250.00	25682
251.00	25266
252.00	24837
253.00	24489
254.00	24210
255.00	24030
256.00	23906
257.00	23749
258.00	23591
259.00	23409
260.00	23248
261.00	23016
262.00	22759
263.00	22504
264.00	22134
265.00	21732
266.00	21306
267.00	20823
268.00	20229
269.00	19626
270.00	18953
271.00	18280
272.00	17536
273.00	16803
274.00	16065
275.00	15334
276.00	14641
277.00	13990
278.00	13397
279.00	12853
280.00	12369
281.00	11925
282.00	11523
283.00	11175
284.00	10882
285.00	10644
286.00	10456
287.00	10321
288.00	10228
289.00	10164
290.00	10112
291.00	10082
292.00	10071
293.00	10088
294.00	10116
295.00	10163
296.00	10225
297.00	10285
298.00	10361
299.00	10404
300.00	10427
301.00	10454
302.00	10447
303.00	10417
304.00	10392
305.00	10335
306.00	10257
307.00	10156
308.00	10016
309.00	9785.7
310.00	9477.4
311.00	9091.2
312.00	8628.6
313.00	8102.7
314.00	7526.6
315.00	6937.4
316.00	6353.2
317.00	5780.0
318.00	5244.5
319.00	4742.0
320.00	4279.4
321.00	3861.9
322.00	3490.1
323.00	3154.8
324.00	2852.6
325.00	2584.4
326.00	2348.9
327.00	2144.7
328.00	1953.3
329.00	1776.0
330.00	1629.1
331.00	1491.8
332.00	1364.2
333.00	1254.6
334.00	1148.1
335.00	1054.0
336.00	968.98
337.00	889.97
338.00	819.26
339.00	751.43
340.00	692.17
341.00	635.72
342.00	584.84
343.00	540.47
344.00	500.45
345.00	458.12
346.00	420.06
347.00	389.41
348.00	366.49
349.00	335.69
350.00	311.13
351.00	291.26
352.00	268.38
353.00	251.90
354.00	231.74
355.00	217.03
356.00	197.89
357.00	182.04
358.00	170.34
359.00	163.30
360.00	157.33
361.00	157.55
362.00	151.15
363.00	146.03
364.00	139.07
365.00	121.50
366.00	118.29
367.00	118.57
368.00	118.10
369.00	108.01
370.00	105.25
371.00	98.643
372.00	83.556
373.00	85.498
374.00	91.954
375.00	88.639
376.00	80.915
377.00	87.243
378.00	90.663
379.00	80.182
380.00	79.438
381.00	76.611
382.00	68.178
383.00	71.772
384.00	77.111
385.00	75.169
386.00	73.668
387.00	62.617
388.00	60.686
389.00	52.416
390.00	60.012
391.00	51.404
392.00	54.242
393.00	62.769
394.00	55.126
395.00	50.659
396.00	60.873
397.00	59.046
398.00	54.591
399.00	41.923
400.00	42.889
401.00	36.061
402.00	34.444
403.00	47.251
404.00	42.889
405.00	38.469
406.00	42.051
407.00	46.309
408.00	44.157
409.00	32.269
410.00	44.506
411.00	31.722
412.00	36.910
413.00	36.514
414.00	45.204
415.00	27.685
416.00	32.501
417.00	25.836
418.00	24.370
419.00	39.132
420.00	37.247
421.00	34.095
422.00	29.128
423.00	30.477
424.00	28.977
425.00	19.519
426.00	29.733
427.00	36.305
428.00	36.945
429.00	37.166
430.00	31.768
431.00	24.556
432.00	24.068
433.00	29.198
434.00	32.315
435.00	25.917
436.00	23.079
437.00	25.615
438.00	24.277
439.00	18.891
440.00	21.008
441.00	25.347
442.00	29.046
443.00	34.851
444.00	24.010
445.00	24.428
446.00	21.532
447.00	20.892
448.00	22.276
449.00	27.034
450.00	21.881
451.00	21.904
452.00	19.624
453.00	31.338
454.00	21.276
455.00	33.792
456.00	32.943
457.00	27.744
458.00	26.278
459.00	27.918
460.00	26.324
461.00	34.793
462.00	30.454
463.00	39.678
464.00	24.870
465.00	32.548
466.00	17.937
467.00	22.137
468.00	23.544
469.00	18.961
470.00	17.519
471.00	31.431
472.00	26.406
473.00	28.639
474.00	21.381
475.00	23.056
476.00	26.662
477.00	18.833
478.00	40.551
479.00	26.545
480.00	21.008
481.00	29.209
482.00	11.656
483.00	24.184
484.00	35.991
485.00	40.853
486.00	7.5382
487.00	12.424
488.00	11.678
489.00	8.9914
490.00	20.334
491.00	35.200
492.00	27.232
493.00	7.7359
494.00	49.438
495.00	17.414
496.00	26.196
497.00	10.004
498.00	12.715
499.00	0.67364
500.00	26.220
