Wavelength (nm)	FL159 [13] 491-80-5, Biochanin A [C]
210.00	26726
211.00	26348
212.00	25758
213.00	24886
214.00	23798
215.00	22559
216.00	21206
217.00	19883
218.00	18649
219.00	17574
220.00	16645
221.00	15831
222.00	15072
223.00	14382
224.00	13745
225.00	13207
226.00	12761
227.00	12436
228.00	12223
229.00	12126
230.00	12116
231.00	12173
232.00	12296
233.00	12475
234.00	12731
235.00	13065
236.00	13461
237.00	13954
238.00	14523
239.00	15157
240.00	15878
241.00	16654
242.00	17465
243.00	18318
244.00	19208
245.00	20130
246.00	21129
247.00	22203
248.00	23356
249.00	24561
250.00	25824
251.00	27100
252.00	28344
253.00	29585
254.00	30794
255.00	31972
256.00	33110
257.00	34187
258.00	35159
259.00	35947
260.00	36491
261.00	36700
262.00	36532
263.00	35981
264.00	35070
265.00	33854
266.00	32392
267.00	30784
268.00	29067
269.00	27330
270.00	25614
271.00	23990
272.00	22459
273.00	21038
274.00	19754
275.00	18626
276.00	17637
277.00	16768
278.00	16006
279.00	15332
280.00	14719
281.00	14162
282.00	13665
283.00	13228
284.00	12842
285.00	12497
286.00	12175
287.00	11852
288.00	11517
289.00	11178
290.00	10828
291.00	10490
292.00	10170
293.00	9864.0
294.00	9563.8
295.00	9275.3
296.00	8987.5
297.00	8707.0
298.00	8420.6
299.00	8140.6
300.00	7874.7
301.00	7608.2
302.00	7347.2
303.00	7093.8
304.00	6850.1
305.00	6614.4
306.00	6387.7
307.00	6163.8
308.00	5954.1
309.00	5754.9
310.00	5568.2
311.00	5392.7
312.00	5236.6
313.00	5091.9
314.00	4969.4
315.00	4857.5
316.00	4767.5
317.00	4683.0
318.00	4616.6
319.00	4556.9
320.00	4509.5
321.00	4465.1
322.00	4425.3
323.00	4385.0
324.00	4345.8
325.00	4310.9
326.00	4271.3
327.00	4227.0
328.00	4178.8
329.00	4124.0
330.00	4064.2
331.00	3994.7
332.00	3918.7
333.00	3841.4
334.00	3755.9
335.00	3665.8
336.00	3571.2
337.00	3470.1
338.00	3361.0
339.00	3254.8
340.00	3143.3
341.00	3028.2
342.00	2910.0
343.00	2795.1
344.00	2675.1
345.00	2552.4
346.00	2430.9
347.00	2311.1
348.00	2193.7
349.00	2080.4
350.00	1966.4
351.00	1855.4
352.00	1748.9
353.00	1646.4
354.00	1544.6
355.00	1444.9
356.00	1353.9
357.00	1269.7
358.00	1183.8
359.00	1102.0
360.00	1023.7
361.00	946.49
362.00	876.17
363.00	811.59
364.00	752.94
365.00	695.69
366.00	638.41
367.00	591.41
368.00	542.04
369.00	501.83
370.00	459.74
371.00	420.30
372.00	385.62
373.00	356.84
374.00	327.35
375.00	300.61
376.00	277.34
377.00	258.80
378.00	232.25
379.00	216.97
380.00	205.75
381.00	191.35
382.00	174.95
383.00	167.46
384.00	157.27
385.00	142.19
386.00	130.66
387.00	122.97
388.00	121.77
389.00	110.57
390.00	108.16
391.00	100.34
392.00	97.100
393.00	88.557
394.00	88.640
395.00	83.202
396.00	88.130
397.00	76.697
398.00	77.419
399.00	71.489
400.00	68.417
401.00	65.559
402.00	65.115
403.00	64.704
404.00	63.850
405.00	58.183
406.00	60.466
407.00	54.322
408.00	60.039
409.00	57.772
410.00	51.677
411.00	53.681
412.00	48.589
413.00	51.644
414.00	50.856
415.00	52.548
416.00	51.956
417.00	52.745
418.00	49.049
419.00	45.763
420.00	45.484
421.00	45.205
422.00	38.239
423.00	36.695
424.00	37.188
425.00	36.416
426.00	38.601
427.00	38.091
428.00	42.330
429.00	39.389
430.00	37.007
431.00	32.243
432.00	34.625
433.00	33.557
434.00	33.574
435.00	34.247
436.00	35.052
437.00	36.022
438.00	35.102
439.00	35.923
440.00	34.149
441.00	42.527
442.00	36.054
443.00	36.991
444.00	31.389
445.00	34.527
446.00	37.631
447.00	35.217
448.00	33.984
449.00	34.773
450.00	30.798
451.00	34.083
452.00	30.321
453.00	33.656
454.00	35.463
455.00	37.566
456.00	39.094
457.00	39.521
458.00	34.970
459.00	37.796
460.00	33.245
461.00	33.853
462.00	33.557
463.00	34.543
464.00	32.588
465.00	37.664
466.00	33.459
467.00	29.319
468.00	28.366
469.00	32.276
470.00	36.843
471.00	33.984
472.00	30.863
473.00	34.444
474.00	28.875
475.00	33.327
476.00	29.648
477.00	27.298
478.00	28.514
479.00	30.354
480.00	23.504
481.00	26.050
482.00	24.900
483.00	27.676
484.00	27.873
485.00	5.6407
486.00	11.002
487.00	22.633
488.00	20.087
489.00	21.335
490.00	23.060
491.00	20.497
492.00	20.629
493.00	16.932
494.00	18.477
495.00	17.951
496.00	17.754
497.00	21.056
498.00	19.282
499.00	19.643
500.00	15.930
