Wavelength (nm)	FL161 [13] 3681-99-0, Puerarin [C]
210.00	20217
211.00	19923
212.00	19607
213.00	19233
214.00	18718
215.00	18022
216.00	17202
217.00	16295
218.00	15452
219.00	14717
220.00	14148
221.00	13780
222.00	13590
223.00	13558
224.00	13676
225.00	13921
226.00	14255
227.00	14696
228.00	15232
229.00	15818
230.00	16491
231.00	17197
232.00	17927
233.00	18623
234.00	19292
235.00	19918
236.00	20496
237.00	21020
238.00	21505
239.00	21967
240.00	22387
241.00	22730
242.00	22991
243.00	23172
244.00	23275
245.00	23386
246.00	23553
247.00	23794
248.00	24104
249.00	24409
250.00	24600
251.00	24561
252.00	24226
253.00	23701
254.00	23102
255.00	22556
256.00	22090
257.00	21694
258.00	21376
259.00	21072
260.00	20762
261.00	20454
262.00	20132
263.00	19792
264.00	19416
265.00	18999
266.00	18552
267.00	18102
268.00	17607
269.00	17070
270.00	16481
271.00	15902
272.00	15281
273.00	14668
274.00	14047
275.00	13444
276.00	12855
277.00	12297
278.00	11776
279.00	11279
280.00	10812
281.00	10384
282.00	9972.1
283.00	9604.5
284.00	9281.2
285.00	9000.8
286.00	8747.3
287.00	8532.5
288.00	8365.4
289.00	8220.8
290.00	8093.5
291.00	7993.2
292.00	7915.0
293.00	7852.3
294.00	7806.5
295.00	7792.2
296.00	7807.2
297.00	7849.7
298.00	7905.1
299.00	7972.2
300.00	8020.0
301.00	8059.3
302.00	8079.9
303.00	8107.1
304.00	8120.2
305.00	8114.2
306.00	8125.3
307.00	8097.8
308.00	8060.0
309.00	7991.1
310.00	7913.2
311.00	7747.4
312.00	7522.5
313.00	7248.6
314.00	6914.0
315.00	6523.7
316.00	6093.5
317.00	5633.4
318.00	5186.7
319.00	4758.8
320.00	4329.9
321.00	3941.0
322.00	3574.3
323.00	3233.6
324.00	2936.7
325.00	2649.2
326.00	2405.5
327.00	2187.3
328.00	1994.9
329.00	1812.0
330.00	1639.5
331.00	1501.1
332.00	1368.1
333.00	1241.9
334.00	1137.5
335.00	1026.7
336.00	936.15
337.00	850.88
338.00	775.33
339.00	699.16
340.00	627.44
341.00	570.93
342.00	515.85
343.00	467.03
344.00	416.37
345.00	370.85
346.00	329.73
347.00	293.08
348.00	260.71
349.00	240.79
350.00	213.81
351.00	188.53
352.00	148.01
353.00	147.59
354.00	119.26
355.00	114.49
356.00	103.26
357.00	84.100
358.00	62.370
359.00	37.936
360.00	37.294
361.00	36.721
362.00	32.045
363.00	27.438
364.00	18.979
365.00	19.255
366.00	10.613
367.00	17.719
368.00	22.464
369.00	8.0917
370.00	3.3010
371.00	11.759
372.00	30.211
373.00	6.6241
374.00	10.824
375.00	4.8139
376.00	14.189
377.00	9.8337
378.00	34.062
379.00	52.239
380.00	44.010
381.00	30.784
382.00	45.477
383.00	53.156
384.00	45.683
385.00	33.810
386.00	30.718
387.00	41.878
388.00	94.232
389.00	74.611
390.00	31.082
391.00	19.591
392.00	53.179
393.00	122.86
394.00	52.560
395.00	69.316
396.00	27.896
397.00	35.667
398.00	98.632
399.00	137.83
400.00	82.564
401.00	37.179
402.00	34.864
403.00	25.994
404.00	40.870
405.00	111.72
406.00	108.81
407.00	52.010
408.00	45.202
409.00	37.500
410.00	41.214
411.00	38.692
412.00	68.215
413.00	126.34
414.00	99.205
415.00	57.603
416.00	36.010
417.00	56.388
418.00	51.780
419.00	36.214
420.00	61.316
421.00	142.62
422.00	180.46
423.00	181.15
424.00	114.88
425.00	86.553
426.00	39.036
427.00	95.698
428.00	88.272
429.00	107.59
430.00	174.80
431.00	206.43
432.00	117.89
433.00	90.679
434.00	90.977
435.00	41.374
436.00	76.146
437.00	112.25
438.00	122.56
439.00	124.97
440.00	90.060
441.00	108.88
442.00	75.367
443.00	98.059
444.00	93.085
445.00	89.601
446.00	106.36
447.00	78.530
448.00	106.15
449.00	92.214
450.00	83.825
451.00	72.479
452.00	58.176
453.00	68.811
454.00	57.534
455.00	34.856
456.00	37.546
457.00	49.397
458.00	93.475
459.00	114.49
460.00	82.381
461.00	91.848
462.00	34.773
463.00	73.579
464.00	97.853
465.00	137.83
466.00	150.07
467.00	127.38
468.00	150.16
469.00	117.27
470.00	53.133
471.00	71.260
472.00	49.190
473.00	89.853
474.00	78.874
475.00	95.080
476.00	120.25
477.00	104.00
478.00	64.708
479.00	49.970
480.00	70.828
481.00	78.370
482.00	84.490
483.00	105.21
484.00	108.72
485.00	169.41
486.00	77.109
487.00	97.968
488.00	104.11
489.00	125.79
490.00	149.36
491.00	107.98
492.00	75.344
493.00	114.88
494.00	80.089
495.00	71.539
496.00	114.47
497.00	95.469
498.00	86.255
499.00	81.418
500.00	71.860
