Wavelength (nm)	FL165 [13] 32884-29-0, JCS C 1971_1994, 10 [D]
210.00	12703
211.00	17034
212.00	21458
213.00	25615
214.00	28256
215.00	30029
216.00	31486
217.00	32388
218.00	33152
219.00	33705
220.00	33900
221.00	33744
222.00	33393
223.00	32986
224.00	32463
225.00	31940
226.00	31305
227.00	30578
228.00	29965
229.00	29442
230.00	29092
231.00	28742
232.00	28403
233.00	28065
234.00	27754
235.00	27379
236.00	26705
237.00	26023
238.00	25199
239.00	24376
240.00	23557
241.00	22739
242.00	21943
243.00	21192
244.00	20441
245.00	19714
246.00	19062
247.00	18615
248.00	18193
249.00	17907
250.00	17734
251.00	17663
252.00	17592
253.00	17598
254.00	17623
255.00	17648
256.00	17720
257.00	17811
258.00	17902
259.00	18009
260.00	18122
261.00	18235
262.00	18355
263.00	18482
264.00	18610
265.00	18738
266.00	18873
267.00	19007
268.00	19142
269.00	19334
270.00	19532
271.00	19771
272.00	20038
273.00	20284
274.00	20400
275.00	20261
276.00	20050
277.00	19813
278.00	19522
279.00	19231
280.00	18938
281.00	18644
282.00	18350
283.00	18056
284.00	17761
285.00	17307
286.00	16815
287.00	16041
288.00	15206
289.00	14323
290.00	13415
291.00	12579
292.00	11859
293.00	11265
294.00	10690
295.00	10124
296.00	9761.2
297.00	9431.2
298.00	9142.0
299.00	8893.5
300.00	8645.0
301.00	8424.0
302.00	8215.9
303.00	8007.9
304.00	7809.3
305.00	7613.5
306.00	7417.7
307.00	7265.1
308.00	7141.4
309.00	7017.6
310.00	6893.9
311.00	6799.8
312.00	6734.2
313.00	6668.6
314.00	6603.0
315.00	6538.9
316.00	6498.1
317.00	6457.2
318.00	6416.4
319.00	6384.5
320.00	6379.6
321.00	6374.7
322.00	6369.7
323.00	6366.1
324.00	6366.1
325.00	6366.1
326.00	6366.1
327.00	6361.1
328.00	6349.8
329.00	6338.5
330.00	6327.2
331.00	6264.8
332.00	6201.8
333.00	6138.8
334.00	6038.5
335.00	5934.0
336.00	5829.5
337.00	5720.4
338.00	5603.1
339.00	5485.7
340.00	5368.4
341.00	5251.0
342.00	5128.9
343.00	5002.8
344.00	4876.7
345.00	4750.6
346.00	4624.6
347.00	4491.6
348.00	4358.0
349.00	4224.5
350.00	4090.9
351.00	3957.5
352.00	3825.4
353.00	3693.3
354.00	3561.2
355.00	3429.1
356.00	3297.0
357.00	3164.9
358.00	3024.3
