Wavelength (nm)	FL166 [14] 82-02-0, Khellin [C]
210.00	14004
211.00	14027
212.00	14091
213.00	14221
214.00	14386
215.00	14566
216.00	14725
217.00	14808
218.00	14820
219.00	14781
220.00	14706
221.00	14613
222.00	14537
223.00	14484
224.00	14474
225.00	14498
226.00	14579
227.00	14716
228.00	14938
229.00	15263
230.00	15757
231.00	16382
232.00	17163
233.00	18053
234.00	19048
235.00	20108
236.00	21302
237.00	22585
238.00	23968
239.00	25409
240.00	26797
241.00	27983
242.00	28988
243.00	29727
244.00	30232
245.00	30541
246.00	30700
247.00	30700
248.00	30491
249.00	30064
250.00	29414
251.00	28470
252.00	27296
253.00	25969
254.00	24533
255.00	23042
256.00	21573
257.00	20177
258.00	18881
259.00	17732
260.00	16648
261.00	15557
262.00	14420
263.00	13131
264.00	11709
265.00	10227
266.00	8774.1
267.00	7451.7
268.00	6320.8
269.00	5438.0
270.00	4782.7
271.00	4342.4
272.00	4052.2
273.00	3882.2
274.00	3792.7
275.00	3756.8
276.00	3755.8
277.00	3780.6
278.00	3807.8
279.00	3829.3
280.00	3843.1
281.00	3842.6
282.00	3827.4
283.00	3795.3
284.00	3744.3
285.00	3678.3
286.00	3603.5
287.00	3512.0
288.00	3408.9
289.00	3295.9
290.00	3171.7
291.00	3046.8
292.00	2924.1
293.00	2802.5
294.00	2691.5
295.00	2596.1
296.00	2503.4
297.00	2422.3
298.00	2351.3
299.00	2295.6
300.00	2250.5
301.00	2218.0
302.00	2198.3
303.00	2187.0
304.00	2188.4
305.00	2212.9
306.00	2248.7
307.00	2298.5
308.00	2356.5
309.00	2412.0
310.00	2479.8
311.00	2563.2
312.00	2643.8
313.00	2722.5
314.00	2813.4
315.00	2901.6
316.00	2986.8
317.00	3075.6
318.00	3162.3
319.00	3243.0
320.00	3318.8
321.00	3395.7
322.00	3462.2
323.00	3533.9
324.00	3589.6
325.00	3641.0
326.00	3683.0
327.00	3717.6
328.00	3744.1
329.00	3764.9
330.00	3771.3
331.00	3775.6
332.00	3770.9
333.00	3757.6
334.00	3734.5
335.00	3702.4
336.00	3667.5
337.00	3623.4
338.00	3568.8
339.00	3511.0
340.00	3444.1
341.00	3373.4
342.00	3297.8
343.00	3212.5
344.00	3126.8
345.00	3027.4
346.00	2925.3
347.00	2826.2
348.00	2713.0
349.00	2601.4
350.00	2486.8
351.00	2370.3
352.00	2249.5
353.00	2130.8
354.00	2006.7
355.00	1898.5
356.00	1787.2
357.00	1681.4
358.00	1575.4
359.00	1474.5
360.00	1372.6
361.00	1266.9
362.00	1169.7
363.00	1088.4
364.00	1005.8
365.00	923.03
366.00	849.11
367.00	777.21
368.00	714.23
369.00	650.41
370.00	599.23
371.00	551.56
372.00	508.42
373.00	460.37
374.00	424.01
375.00	388.73
376.00	353.68
377.00	321.66
378.00	293.56
379.00	265.50
380.00	245.98
381.00	229.25
382.00	210.36
383.00	190.78
384.00	173.58
385.00	155.37
386.00	151.69
387.00	143.37
388.00	126.66
389.00	119.02
390.00	102.71
391.00	91.832
392.00	91.200
393.00	86.040
394.00	80.336
395.00	71.070
396.00	68.762
397.00	60.239
398.00	65.333
399.00	61.283
400.00	54.092
401.00	47.145
402.00	41.996
403.00	41.408
404.00	48.488
405.00	45.547
406.00	40.032
407.00	40.332
408.00	38.812
409.00	43.339
410.00	44.604
411.00	35.804
412.00	34.018
413.00	34.395
414.00	35.238
415.00	36.836
416.00	38.090
417.00	29.401
418.00	29.401
419.00	30.212
420.00	30.101
421.00	35.372
422.00	40.631
423.00	33.374
424.00	32.520
425.00	25.440
426.00	22.632
427.00	30.811
428.00	31.843
429.00	36.614
430.00	36.559
431.00	33.984
432.00	28.902
433.00	32.009
434.00	25.174
435.00	29.834
436.00	28.314
437.00	36.559
438.00	37.979
439.00	33.696
440.00	32.409
441.00	33.363
442.00	27.138
443.00	32.819
444.00	32.120
445.00	28.070
446.00	31.332
447.00	29.157
448.00	26.949
449.00	29.901
450.00	32.642
451.00	28.969
452.00	27.426
453.00	25.096
454.00	29.424
455.00	29.013
456.00	36.348
457.00	39.722
458.00	34.595
459.00	32.120
460.00	23.631
461.00	25.817
462.00	25.218
463.00	44.893
464.00	36.548
465.00	30.067
466.00	33.984
467.00	33.896
468.00	28.536
469.00	29.701
470.00	43.983
471.00	43.550
472.00	45.292
473.00	50.152
474.00	40.409
475.00	38.645
476.00	35.305
477.00	44.759
478.00	35.882
479.00	49.498
480.00	42.596
481.00	38.157
482.00	37.203
483.00	44.127
484.00	40.143
485.00	51.184
486.00	15.186
487.00	10.692
488.00	29.157
489.00	42.141
490.00	44.027
491.00	35.238
492.00	46.213
493.00	43.272
494.00	46.635
495.00	44.316
496.00	47.878
497.00	36.148
498.00	44.748
499.00	43.272
500.00	42.940
