Wavelength (nm)	FL176 [15] 78933-17-2, J Chem Sci 2015_127_405, 2 [D]
220.00	9177.8
221.00	8935.8
222.00	8679.3
223.00	8453.0
224.00	8261.8
225.00	8193.0
226.00	8250.0
227.00	8383.5
228.00	8571.7
229.00	8855.1
230.00	9140.3
231.00	9460.8
232.00	9781.2
233.00	10062
234.00	10317
235.00	10608
236.00	10927
237.00	11312
238.00	11719
239.00	12134
240.00	12563
241.00	12985
242.00	13395
243.00	13753
244.00	14084
245.00	14365
246.00	14625
247.00	14816
248.00	14975
249.00	15045
250.00	14988
251.00	14856
252.00	14626
253.00	14338
254.00	13995
255.00	13420
256.00	12840
257.00	12162
258.00	11454
259.00	10711
260.00	9968.6
261.00	9225.8
262.00	8425.7
263.00	7597.4
264.00	6968.7
265.00	6372.5
266.00	5855.7
267.00	5358.6
268.00	4933.5
269.00	4547.1
270.00	4191.2
271.00	3885.3
272.00	3595.4
273.00	3373.6
274.00	3151.7
275.00	2982.9
276.00	2861.3
277.00	2752.4
278.00	2705.9
279.00	2665.9
280.00	2677.5
281.00	2689.2
282.00	2708.7
283.00	2741.4
284.00	2828.9
285.00	2921.8
286.00	3057.2
287.00	3200.0
288.00	3382.5
289.00	3572.6
290.00	3783.7
291.00	4016.7
292.00	4268.8
293.00	4565.7
294.00	4862.6
295.00	5166.4
296.00	5517.0
297.00	5867.5
298.00	6218.1
299.00	6579.5
300.00	6952.3
301.00	7325.0
302.00	7657.0
303.00	7983.5
304.00	8310.0
305.00	8620.1
306.00	8911.1
307.00	9202.1
308.00	9485.5
309.00	9761.4
310.00	10037
311.00	10293
312.00	10532
313.00	10756
314.00	10898
315.00	11000
316.00	11027
317.00	11029
318.00	11013
319.00	10986
320.00	10951
321.00	10910
322.00	10857
323.00	10804
324.00	10782
325.00	10778
326.00	10855
327.00	10965
328.00	11111
329.00	11366
330.00	11686
331.00	12005
332.00	12324
333.00	12643
334.00	12962
335.00	13281
336.00	13600
337.00	13937
338.00	14322
339.00	14707
340.00	15122
341.00	15552
342.00	15984
343.00	16431
344.00	16879
345.00	17288
346.00	17668
347.00	18037
348.00	18387
349.00	18706
350.00	18938
351.00	19149
352.00	19322
353.00	19448
354.00	19539
355.00	19601
356.00	19595
357.00	19548
358.00	19486
359.00	19380
360.00	19264
361.00	19148
362.00	19031
363.00	18875
364.00	18704
365.00	18458
366.00	18156
367.00	17854
368.00	17516
369.00	17151
370.00	16776
371.00	16272
372.00	15760
373.00	15198
374.00	14606
375.00	13902
376.00	13197
377.00	12481
378.00	11720
379.00	10959
380.00	10163
381.00	9359.1
382.00	8550.8
383.00	7737.8
384.00	6943.0
385.00	6154.0
386.00	5504.0
387.00	4853.9
388.00	4280.4
389.00	3713.5
390.00	3155.9
391.00	2772.8
392.00	2389.8
393.00	2034.9
394.00	1759.9
395.00	1484.9
396.00	1290.4
397.00	1101.0
398.00	978.93
399.00	879.26
400.00	851.03
