Wavelength (nm)	HeptaCOOHP I (in 1 N aqHCl).abs
300.00	0.016620
301.00	0.016822
302.00	0.017323
303.00	0.017726
304.00	0.018068
305.00	0.018586
306.00	0.019169
307.00	0.019620
308.00	0.020134
309.00	0.020752
310.00	0.021268
311.00	0.021921
312.00	0.022595
313.00	0.023218
314.00	0.023770
315.00	0.024452
316.00	0.025172
317.00	0.025901
318.00	0.026457
319.00	0.027013
320.00	0.027723
321.00	0.028403
322.00	0.029020
323.00	0.029771
324.00	0.030424
325.00	0.031066
326.00	0.031756
327.00	0.032528
328.00	0.033198
329.00	0.033859
330.00	0.034478
331.00	0.035355
332.00	0.035919
333.00	0.036486
334.00	0.037290
335.00	0.037886
336.00	0.038633
337.00	0.039349
338.00	0.040081
339.00	0.040806
340.00	0.041507
341.00	0.042295
342.00	0.043046
343.00	0.043895
344.00	0.044673
345.00	0.045590
346.00	0.046548
347.00	0.047473
348.00	0.048400
349.00	0.049405
350.00	0.050422
351.00	0.051473
352.00	0.052634
353.00	0.053695
354.00	0.054736
355.00	0.055693
356.00	0.056534
357.00	0.057554
358.00	0.058562
359.00	0.059596
360.00	0.060826
361.00	0.062112
362.00	0.063399
363.00	0.064651
364.00	0.066012
365.00	0.067283
366.00	0.068553
367.00	0.069787
368.00	0.071103
369.00	0.072313
370.00	0.073629
371.00	0.075119
372.00	0.076768
373.00	0.078523
374.00	0.080627
375.00	0.083680
376.00	0.087521
377.00	0.092472
378.00	0.099057
379.00	0.10691
380.00	0.11561
381.00	0.12562
382.00	0.13567
383.00	0.14525
384.00	0.15383
385.00	0.16145
386.00	0.16813
387.00	0.17493
388.00	0.18247
389.00	0.19093
390.00	0.20093
391.00	0.21161
392.00	0.22310
393.00	0.23572
394.00	0.25080
395.00	0.27137
396.00	0.30088
397.00	0.34439
398.00	0.40397
399.00	0.48120
400.00	0.57781
401.00	0.69195
402.00	0.81208
403.00	0.91822
404.00	0.98677
405.00	1.00000
406.00	0.95390
407.00	0.85788
408.00	0.73266
409.00	0.60098
410.00	0.47986
411.00	0.37111
412.00	0.28152
413.00	0.21054
414.00	0.15790
415.00	0.11666
416.00	0.086638
417.00	0.064649
418.00	0.048712
419.00	0.037190
420.00	0.028503
421.00	0.022122
422.00	0.017470
423.00	0.014195
424.00	0.011596
425.00	0.0094826
426.00	0.0079401
427.00	0.0067419
428.00	0.0056225
429.00	0.0050752
430.00	0.0041932
431.00	0.0039114
432.00	0.0036126
433.00	0.0033800
434.00	0.0028692
435.00	0.0027988
436.00	0.0024773
437.00	0.0021891
438.00	0.0021130
439.00	0.0019544
440.00	0.0017825
441.00	0.0016339
442.00	0.0015335
443.00	0.0014377
444.00	0.0013817
445.00	0.0013997
446.00	0.0013886
447.00	0.0013785
448.00	0.0013362
449.00	0.0012098
450.00	0.0013309
451.00	0.0013568
452.00	0.0012913
453.00	0.0012458
454.00	0.0012067
455.00	0.0012178
456.00	0.0012500
457.00	0.0012987
