Wavelength (nm)	UroP III (0.1 M PPB).abs
300.00	0.047482
301.00	0.047222
302.00	0.048542
303.00	0.049034
304.00	0.048760
305.00	0.050521
306.00	0.051674
307.00	0.051990
308.00	0.053445
309.00	0.054462
310.00	0.055452
311.00	0.056684
312.00	0.058194
313.00	0.059295
314.00	0.060703
315.00	0.062218
316.00	0.063101
317.00	0.064760
318.00	0.066675
319.00	0.068432
320.00	0.069747
321.00	0.071778
322.00	0.072819
323.00	0.074715
324.00	0.076462
325.00	0.078809
326.00	0.080170
327.00	0.081685
328.00	0.082949
329.00	0.084664
330.00	0.086704
331.00	0.087838
332.00	0.089047
333.00	0.090706
334.00	0.092248
335.00	0.093694
336.00	0.095618
337.00	0.097486
338.00	0.099916
339.00	0.10208
340.00	0.10499
341.00	0.10781
342.00	0.11093
343.00	0.11468
344.00	0.11874
345.00	0.12257
346.00	0.12691
347.00	0.13107
348.00	0.13579
349.00	0.14014
350.00	0.14450
351.00	0.14966
352.00	0.15364
353.00	0.15836
354.00	0.16301
355.00	0.16845
356.00	0.17417
357.00	0.18063
358.00	0.18724
359.00	0.19556
360.00	0.20384
361.00	0.21382
362.00	0.22398
363.00	0.23452
364.00	0.24528
365.00	0.25792
366.00	0.27104
367.00	0.28471
368.00	0.29976
369.00	0.31637
370.00	0.33246
371.00	0.35057
372.00	0.36861
373.00	0.38763
374.00	0.40595
375.00	0.42257
376.00	0.43907
377.00	0.45496
378.00	0.47163
379.00	0.48788
380.00	0.50663
381.00	0.52546
382.00	0.54560
383.00	0.56741
384.00	0.59265
385.00	0.62022
386.00	0.65027
387.00	0.68131
388.00	0.71566
389.00	0.75158
390.00	0.79053
391.00	0.82938
392.00	0.86905
393.00	0.90556
394.00	0.93715
395.00	0.96641
396.00	0.98735
397.00	0.99964
398.00	1.0000
399.00	0.98746
400.00	0.96059
401.00	0.92001
402.00	0.86753
403.00	0.80668
404.00	0.74031
405.00	0.67083
406.00	0.60621
407.00	0.54267
408.00	0.48116
409.00	0.42543
410.00	0.37485
411.00	0.32868
412.00	0.28814
413.00	0.25180
414.00	0.22098
415.00	0.19370
416.00	0.17008
417.00	0.15024
418.00	0.13282
419.00	0.11769
420.00	0.10385
421.00	0.092685
422.00	0.083084
423.00	0.074519
424.00	0.067377
425.00	0.060685
426.00	0.055220
427.00	0.049388
428.00	0.045010
429.00	0.041627
430.00	0.037161
431.00	0.033573
432.00	0.031185
433.00	0.029186
434.00	0.026231
435.00	0.024832
436.00	0.023368
437.00	0.021449
438.00	0.019646
439.00	0.017898
440.00	0.016588
441.00	0.015640
442.00	0.015538
443.00	0.014069
444.00	0.013488
445.00	0.012666
446.00	0.011927
447.00	0.012591
448.00	0.011110
449.00	0.010906
450.00	0.010282
451.00	0.010623
452.00	0.010350
453.00	0.0099797
454.00	0.0094535
455.00	0.0091318
456.00	0.0096289
457.00	0.0093755
458.00	0.0084789
459.00	0.0089759
460.00	0.0097946
461.00	0.0095607
462.00	0.0093657
463.00	0.0091026
464.00	0.0099602
465.00	0.010097
466.00	0.010477
467.00	0.011139
468.00	0.011549
469.00	0.011973
470.00	0.012266
471.00	0.012982
472.00	0.014046
473.00	0.014013
474.00	0.015175
475.00	0.014882
476.00	0.015449
477.00	0.016876
478.00	0.017150
479.00	0.017671
480.00	0.018098
481.00	0.019399
482.00	0.019715
483.00	0.020268
484.00	0.021063
485.00	0.021532
486.00	0.021565
487.00	0.023029
488.00	0.024353
489.00	0.025115
490.00	0.026040
491.00	0.027880
492.00	0.029916
493.00	0.032881
494.00	0.036217
495.00	0.039206
496.00	0.042714
497.00	0.045730
498.00	0.048797
499.00	0.051911
500.00	0.054434
501.00	0.055657
502.00	0.056865
503.00	0.056749
504.00	0.055503
505.00	0.054616
506.00	0.053519
507.00	0.051023
508.00	0.049160
509.00	0.046000
510.00	0.042779
511.00	0.039261
512.00	0.036492
513.00	0.032425
514.00	0.029409
515.00	0.026430
516.00	0.024218
517.00	0.021690
518.00	0.021351
519.00	0.020412
520.00	0.020148
521.00	0.019901
522.00	0.019502
523.00	0.019241
524.00	0.020175
525.00	0.020194
526.00	0.020570
527.00	0.021463
528.00	0.022383
529.00	0.024088
530.00	0.026040
531.00	0.028447
532.00	0.031045
533.00	0.034475
534.00	0.037807
535.00	0.041171
536.00	0.044094
537.00	0.046255
538.00	0.047603
539.00	0.047371
540.00	0.046162
541.00	0.043634
542.00	0.039749
543.00	0.036352
544.00	0.031198
545.00	0.028006
546.00	0.025097
547.00	0.022620
548.00	0.021946
549.00	0.021978
550.00	0.022113
551.00	0.022792
552.00	0.023712
553.00	0.025264
554.00	0.028187
555.00	0.030553
556.00	0.032950
557.00	0.034479
558.00	0.036673
559.00	0.038067
560.00	0.038397
561.00	0.038360
