Wavelength (nm)	UroP I (in 1 N aqHCl).abs
300.00	0.015924
301.00	0.015915
302.00	0.016017
303.00	0.016077
304.00	0.016138
305.00	0.016496
306.00	0.016733
307.00	0.016857
308.00	0.017129
309.00	0.017547
310.00	0.018065
311.00	0.018641
312.00	0.019243
313.00	0.019780
314.00	0.020372
315.00	0.021028
316.00	0.021621
317.00	0.022343
318.00	0.023040
319.00	0.023609
320.00	0.024282
321.00	0.024934
322.00	0.025709
323.00	0.026377
324.00	0.027076
325.00	0.027870
326.00	0.028567
327.00	0.029258
328.00	0.030015
329.00	0.030808
330.00	0.031613
331.00	0.032365
332.00	0.033105
333.00	0.033882
334.00	0.034758
335.00	0.035584
336.00	0.036451
337.00	0.037308
338.00	0.038182
339.00	0.039042
340.00	0.040031
341.00	0.041042
342.00	0.041927
343.00	0.042897
344.00	0.043841
345.00	0.044892
346.00	0.046056
347.00	0.047243
348.00	0.048380
349.00	0.049514
350.00	0.050657
351.00	0.051943
352.00	0.053191
353.00	0.054536
354.00	0.055913
355.00	0.057108
356.00	0.058018
357.00	0.058674
358.00	0.059327
359.00	0.060166
360.00	0.061183
361.00	0.062240
362.00	0.063581
363.00	0.065084
364.00	0.066485
365.00	0.067761
366.00	0.069185
367.00	0.070447
368.00	0.071316
369.00	0.072303
370.00	0.073293
371.00	0.074605
372.00	0.075684
373.00	0.077015
374.00	0.078593
375.00	0.080700
376.00	0.083406
377.00	0.087170
378.00	0.092881
379.00	0.099959
380.00	0.10698
381.00	0.11628
382.00	0.12663
383.00	0.13690
384.00	0.14652
385.00	0.15495
386.00	0.16188
387.00	0.16842
388.00	0.17553
389.00	0.18126
390.00	0.18882
391.00	0.19811
392.00	0.20988
393.00	0.22094
394.00	0.23066
395.00	0.24396
396.00	0.26295
397.00	0.29218
398.00	0.33508
399.00	0.39147
400.00	0.46663
401.00	0.56401
402.00	0.68012
403.00	0.80237
404.00	0.91128
405.00	0.98715
406.00	1.00000
407.00	0.95003
408.00	0.85323
409.00	0.72560
410.00	0.59132
411.00	0.46264
412.00	0.35299
413.00	0.26394
414.00	0.19520
415.00	0.14151
416.00	0.10284
417.00	0.074874
418.00	0.054903
419.00	0.041057
420.00	0.031961
421.00	0.026616
422.00	0.021748
423.00	0.017810
424.00	0.014233
425.00	0.011494
426.00	0.0094010
427.00	0.010163
428.00	0.0083475
429.00	0.0099836
430.00	0.0095416
431.00	0.0083967
432.00	0.0073853
433.00	0.0074030
434.00	0.0048441
435.00	0.0049988
436.00	0.0053650
437.00	0.0057262
438.00	0.0061275
439.00	0.0053173
440.00	0.0058247
441.00	0.0054658
442.00	0.0034773
443.00	0.0048464
444.00	0.0042198
445.00	0.0038146
446.00	0.0047725
447.00	0.0039036
448.00	0.0042786
449.00	0.0040592
450.00	0.0035621
451.00	0.0032415
452.00	0.0032557
453.00	0.0027647
454.00	0.0033230
455.00	0.0022925
456.00	0.0020307
457.00	0.0031036
458.00	0.0027575
459.00	0.0030974
460.00	0.0024636
461.00	0.0025565
462.00	0.0025305
463.00	0.0031913
464.00	0.0034310
465.00	0.0041883
466.00	0.0038882
467.00	0.0039042
468.00	0.0044047
469.00	0.0036947
470.00	0.0032451
471.00	0.0030248
472.00	0.0036123
473.00	0.0038780
474.00	0.0041246
475.00	0.0039748
476.00	0.0043450
477.00	0.0040310
478.00	0.0031512
479.00	0.0032777
480.00	0.0036852
481.00	0.0036392
482.00	0.0036287
483.00	0.0046113
484.00	0.0035269
485.00	0.0029606
486.00	0.0030731
487.00	0.0032238
488.00	0.0046871
489.00	0.0048339
490.00	0.0048596
491.00	0.0045420
492.00	0.0048261
493.00	0.0052178
494.00	0.0049252
495.00	0.0049712
496.00	0.0060608
497.00	0.0052464
498.00	0.0060674
499.00	0.0057173
500.00	0.0055492
501.00	0.0061909
502.00	0.0066572
503.00	0.0068822
504.00	0.0070001
505.00	0.0075048
506.00	0.0071830
507.00	0.0071705
508.00	0.0077997
509.00	0.0075557
510.00	0.0083846
511.00	0.0086614
512.00	0.0088618
513.00	0.0089327
514.00	0.0086769
515.00	0.0087199
516.00	0.0088811
517.00	0.0087961
518.00	0.0093560
519.00	0.0095918
520.00	0.0092880
521.00	0.0096837
522.00	0.0094985
523.00	0.0096217
524.00	0.0096824
525.00	0.0097396
526.00	0.010005
527.00	0.0099113
528.00	0.010332
529.00	0.010066
530.00	0.010268
531.00	0.010687
532.00	0.010849
533.00	0.011646
534.00	0.011832
535.00	0.012603
536.00	0.013315
537.00	0.014730
538.00	0.016491
539.00	0.017975
540.00	0.020061
541.00	0.022461
542.00	0.025283
543.00	0.027971
544.00	0.030846
545.00	0.033445
546.00	0.035883
547.00	0.037939
548.00	0.039202
549.00	0.039880
550.00	0.040517
551.00	0.041200
552.00	0.041158
553.00	0.040843
554.00	0.039681
555.00	0.038478
556.00	0.035689
557.00	0.033019
558.00	0.029739
559.00	0.027024
560.00	0.024655
561.00	0.022193
562.00	0.020474
563.00	0.019319
564.00	0.018367
565.00	0.017412
566.00	0.017050
567.00	0.016618
568.00	0.016224
569.00	0.016228
570.00	0.014973
571.00	0.015937
572.00	0.016383
573.00	0.015997
574.00	0.015641
575.00	0.015914
576.00	0.015910
577.00	0.013898
578.00	0.013213
579.00	0.014156
580.00	0.013653
581.00	0.014051
582.00	0.010174
583.00	0.0092739
584.00	0.012927
585.00	0.012807
586.00	0.011734
587.00	0.012592
588.00	0.012738
589.00	0.013399
590.00	0.014818
591.00	0.015860
592.00	0.017870
593.00	0.017653
594.00	0.016526
595.00	0.016060
596.00	0.014587
597.00	0.014694
598.00	0.014672
599.00	0.012643
600.00	0.011586
601.00	0.010193
602.00	0.0090572
603.00	0.0078431
604.00	0.0069052
605.00	0.0074611
606.00	0.0068933
607.00	0.0064943
608.00	0.0066014
609.00	0.0059226
610.00	0.0057482
611.00	0.0055154
612.00	0.0052086
613.00	0.0054103
614.00	0.0057203
615.00	0.0057847
616.00	0.0056316
617.00	0.0052717
618.00	0.0049367
619.00	0.0056188
620.00	0.0057436
621.00	0.0052855
622.00	0.0059686
623.00	0.0053558
624.00	0.0047863
625.00	0.0046225
626.00	0.0041069
627.00	0.0043321
628.00	0.0041709
629.00	0.0047266
630.00	0.0045236
631.00	0.0044106
632.00	0.0041128
633.00	0.0044014
634.00	0.0041558
635.00	0.0040717
636.00	0.0044126
637.00	0.0043374
638.00	0.0045177
639.00	0.0042573
640.00	0.0041893
641.00	0.0040730
642.00	0.0044126
643.00	0.0046382
644.00	0.0042858
645.00	0.0036524
646.00	0.0027749
647.00	0.0020077
648.00	0.0022547
649.00	0.0029220
650.00	0.0032914
651.00	0.0035850
652.00	0.0035430
653.00	0.0040888
654.00	0.0022314
655.00	0.0021359
656.00	0.0038179
657.00	0.0031883
658.00	0.0025883
659.00	0.0031749
660.00	0.0031575
661.00	0.0031972
662.00	0.0031213
663.00	0.0029982
664.00	0.0032261
665.00	0.0032182
666.00	0.0028849
667.00	0.0030038
668.00	0.0029801
669.00	0.0031029
670.00	0.0030002
671.00	0.0031919
672.00	0.0031581
673.00	0.0027801
674.00	0.0028672
675.00	0.0029545
676.00	0.0029539
677.00	0.0029092
678.00	0.0028770
679.00	0.0028498
680.00	0.0029089
681.00	0.0028537
682.00	0.0028005
683.00	0.0027194
684.00	0.0027105
685.00	0.0031782
686.00	0.0030271
687.00	0.0028626
688.00	0.0027266
689.00	0.0027946
690.00	0.0028113
691.00	0.0030281
692.00	0.0030892
693.00	0.0031716
694.00	0.0028389
695.00	0.0030494
696.00	0.0029916
697.00	0.0033197
698.00	0.0030796
699.00	0.0027966
700.00	0.0025801
