Wavelength (nm)	Co(II) UroP I (in 0.1 M MOPS).abs
300.00	0.061282
301.00	0.061282
302.00	0.061187
303.00	0.061307
304.00	0.061633
305.00	0.062094
306.00	0.062576
307.00	0.063506
308.00	0.064387
309.00	0.065441
310.00	0.066522
311.00	0.068078
312.00	0.069829
313.00	0.071470
314.00	0.073415
315.00	0.075495
316.00	0.077503
317.00	0.079789
318.00	0.081710
319.00	0.083629
320.00	0.085477
321.00	0.087633
322.00	0.089231
323.00	0.091063
324.00	0.092476
325.00	0.094084
326.00	0.095370
327.00	0.096520
328.00	0.097684
329.00	0.098494
330.00	0.099565
331.00	0.10039
332.00	0.10129
333.00	0.10174
334.00	0.10244
335.00	0.10281
336.00	0.10309
337.00	0.10316
338.00	0.10294
339.00	0.10273
340.00	0.10226
341.00	0.10160
342.00	0.10086
343.00	0.099899
344.00	0.098764
345.00	0.097603
346.00	0.096381
347.00	0.095275
348.00	0.094148
349.00	0.092845
350.00	0.091563
351.00	0.090642
352.00	0.089679
353.00	0.088935
354.00	0.088022
355.00	0.087265
356.00	0.086810
357.00	0.086305
358.00	0.085942
359.00	0.085121
360.00	0.084918
361.00	0.084728
362.00	0.084870
363.00	0.085212
364.00	0.085570
365.00	0.086000
366.00	0.086477
367.00	0.087198
368.00	0.088222
369.00	0.089475
370.00	0.090999
371.00	0.092511
372.00	0.094946
373.00	0.096998
374.00	0.099757
375.00	0.10331
376.00	0.10701
377.00	0.11178
378.00	0.11669
379.00	0.12304
380.00	0.12920
381.00	0.13684
382.00	0.14549
383.00	0.15470
384.00	0.16446
385.00	0.17507
386.00	0.18551
387.00	0.19540
388.00	0.20462
389.00	0.21278
390.00	0.22121
391.00	0.23045
392.00	0.24182
393.00	0.25610
394.00	0.27408
395.00	0.29688
396.00	0.32451
397.00	0.35766
398.00	0.39436
399.00	0.43474
400.00	0.47937
401.00	0.53080
402.00	0.58909
403.00	0.65344
404.00	0.72508
405.00	0.80265
406.00	0.87554
407.00	0.94053
408.00	0.98717
409.00	1.0000
410.00	0.97366
411.00	0.91054
412.00	0.82240
413.00	0.72296
414.00	0.62721
415.00	0.53500
416.00	0.45624
417.00	0.38921
418.00	0.33313
419.00	0.28725
420.00	0.24797
421.00	0.21540
422.00	0.18839
423.00	0.16563
424.00	0.14633
425.00	0.12927
426.00	0.11463
427.00	0.10164
428.00	0.090910
429.00	0.081228
430.00	0.072940
431.00	0.066230
432.00	0.059906
433.00	0.054210
434.00	0.049082
435.00	0.045110
436.00	0.041104
437.00	0.037746
438.00	0.034695
439.00	0.031805
440.00	0.029352
441.00	0.027119
442.00	0.025211
443.00	0.023472
444.00	0.021999
445.00	0.020766
446.00	0.019651
447.00	0.018328
448.00	0.017628
449.00	0.016609
450.00	0.015867
451.00	0.015203
452.00	0.014858
453.00	0.014207
454.00	0.013800
455.00	0.013262
456.00	0.013000
457.00	0.013003
458.00	0.012427
459.00	0.012106
460.00	0.011942
461.00	0.011902
462.00	0.011760
463.00	0.011444
464.00	0.011438
465.00	0.011496
466.00	0.011345
467.00	0.011230
468.00	0.011118
469.00	0.011098
470.00	0.011203
471.00	0.011170
472.00	0.011093
473.00	0.011046
474.00	0.011220
475.00	0.011213
476.00	0.011397
477.00	0.011289
478.00	0.011466
479.00	0.011436
480.00	0.011560
481.00	0.011825
482.00	0.011726
483.00	0.011655
484.00	0.011700
485.00	0.012390
486.00	0.011979
487.00	0.012166
488.00	0.012500
489.00	0.012619
490.00	0.012715
491.00	0.012871
492.00	0.013168
493.00	0.013366
494.00	0.013413
495.00	0.013619
496.00	0.013721
497.00	0.013769
498.00	0.014023
499.00	0.014480
500.00	0.014744
501.00	0.014968
502.00	0.015230
503.00	0.015670
504.00	0.016119
505.00	0.016603
506.00	0.017096
507.00	0.017674
508.00	0.018524
509.00	0.019515
510.00	0.020411
511.00	0.021530
512.00	0.022628
513.00	0.024061
514.00	0.025630
515.00	0.027235
516.00	0.028795
517.00	0.030643
518.00	0.032348
519.00	0.034221
520.00	0.036031
521.00	0.037886
522.00	0.039699
523.00	0.041655
524.00	0.043346
525.00	0.045033
526.00	0.046643
527.00	0.048037
528.00	0.049193
529.00	0.050360
530.00	0.051312
531.00	0.052200
532.00	0.052732
533.00	0.053397
534.00	0.053698
535.00	0.053939
536.00	0.054048
537.00	0.054113
538.00	0.053820
539.00	0.053143
540.00	0.052114
541.00	0.050752
542.00	0.049259
543.00	0.047357
544.00	0.045520
545.00	0.043543
546.00	0.041979
547.00	0.040611
548.00	0.039801
549.00	0.039211
550.00	0.038955
551.00	0.039180
552.00	0.039877
553.00	0.040984
554.00	0.041937
555.00	0.043441
556.00	0.044994
557.00	0.046380
558.00	0.047887
559.00	0.049223
560.00	0.050201
561.00	0.050740
562.00	0.050924
563.00	0.050751
564.00	0.050225
565.00	0.049396
566.00	0.048307
567.00	0.047330
568.00	0.046141
569.00	0.045149
570.00	0.044286
571.00	0.043249
572.00	0.042070
573.00	0.040854
574.00	0.039653
575.00	0.038236
576.00	0.036510
577.00	0.034436
578.00	0.032148
579.00	0.029493
580.00	0.026336
581.00	0.023259
582.00	0.020236
583.00	0.017529
584.00	0.014726
585.00	0.012409
586.00	0.010436
587.00	0.0088395
588.00	0.0076340
589.00	0.0066288
590.00	0.0057276
591.00	0.0050640
592.00	0.0045840
593.00	0.0041652
594.00	0.0038846
595.00	0.0035430
596.00	0.0032640
597.00	0.0031100
598.00	0.0029262
599.00	0.0026807
600.00	0.0026754
601.00	0.0025490
602.00	0.0024114
603.00	0.0023287
604.00	0.0021999
605.00	0.0021255
606.00	0.0020891
607.00	0.0019849
608.00	0.0019091
609.00	0.0019187
610.00	0.0017379
611.00	0.0017416
612.00	0.0016687
613.00	0.0016024
614.00	0.0016158
615.00	0.0015556
616.00	0.0014358
617.00	0.0014440
618.00	0.0013599
619.00	0.0013272
620.00	0.0013733
621.00	0.0012074
622.00	0.0011940
623.00	0.0011970
624.00	0.0011181
625.00	0.00097820
626.00	0.00092461
627.00	0.0010467
628.00	0.00095662
629.00	0.00088964
630.00	0.00088593
631.00	0.00077729
632.00	0.00084873
633.00	0.00081524
634.00	0.00072967
635.00	0.00073265
636.00	0.00067461
637.00	0.00066494
638.00	0.00068725
639.00	0.00062328
640.00	0.00055928
641.00	0.00053993
642.00	0.00061137
643.00	0.00041418
644.00	0.00041716
645.00	0.00047222
646.00	0.00064559
647.00	0.00053249
648.00	0.00061806
649.00	0.00046107
650.00	0.00051687
651.00	0.00040600
652.00	0.00039930
653.00	0.00041046
654.00	0.00046626
655.00	0.00039011
656.00	0.00039011
657.00	0.00039011
658.00	0.00035020
659.00	0.00028918
660.00	0.00038293
661.00	0.00037176
662.00	0.00033233
663.00	0.00042608
664.00	0.00031969
665.00	0.00035093
666.00	0.00032638
667.00	0.00022369
668.00	0.00024229
669.00	0.00027801
670.00	0.00021700
671.00	0.00020659
672.00	0.00024750
673.00	0.00019691
674.00	0.00015301
675.00	0.00019318
676.00	0.00010167
677.00	0.00020213
678.00	7.5624e-05
679.00	0.00010390
680.00	0.00010985
681.00	9.5715e-05
682.00	0.00017310
683.00	0.00011506
684.00	9.7948e-05
685.00	3.3957e-05
686.00	0.00011208
687.00	7.1160e-05
688.00	9.6459e-05
689.00	5.5535e-05
690.00	5.1070e-05
691.00	5.1815e-05
692.00	0.00012027
693.00	3.9909e-05
694.00	2.7260e-05
695.00	6.9682e-06
696.00	6.8184e-05
697.00	5.6822e-05
698.00	8.9762e-05
699.00	0.00011878
700.00	2.7049e-06
