Wavelength (nm)	Fe(II) UroP I (in 0.1 M MOPS).abs
300.00	0.10528
301.00	0.10697
302.00	0.10895
303.00	0.11122
304.00	0.11297
305.00	0.11553
306.00	0.11705
307.00	0.11897
308.00	0.12119
309.00	0.12342
310.00	0.12531
311.00	0.12750
312.00	0.12982
313.00	0.13176
314.00	0.13388
315.00	0.13576
316.00	0.13741
317.00	0.13926
318.00	0.14100
319.00	0.14258
320.00	0.14415
321.00	0.14573
322.00	0.14697
323.00	0.14821
324.00	0.14942
325.00	0.15043
326.00	0.15145
327.00	0.15231
328.00	0.15297
329.00	0.15365
330.00	0.15383
331.00	0.15427
332.00	0.15452
333.00	0.15446
334.00	0.15437
335.00	0.15442
336.00	0.15423
337.00	0.15391
338.00	0.15384
339.00	0.15374
340.00	0.15306
341.00	0.15279
342.00	0.15262
343.00	0.15215
344.00	0.15222
345.00	0.15201
346.00	0.15176
347.00	0.15208
348.00	0.15217
349.00	0.15224
350.00	0.15260
351.00	0.15276
352.00	0.15313
353.00	0.15310
354.00	0.15305
355.00	0.15319
356.00	0.15340
357.00	0.15389
358.00	0.15389
359.00	0.15399
360.00	0.15377
361.00	0.15313
362.00	0.15336
363.00	0.15322
364.00	0.15335
365.00	0.15366
366.00	0.15417
367.00	0.15428
368.00	0.15443
369.00	0.15532
370.00	0.15566
371.00	0.15647
372.00	0.15691
373.00	0.15760
374.00	0.15861
375.00	0.16052
376.00	0.16297
377.00	0.16562
378.00	0.16912
379.00	0.17329
380.00	0.17803
381.00	0.18399
382.00	0.19075
383.00	0.19800
384.00	0.20636
385.00	0.21483
386.00	0.22273
387.00	0.22945
388.00	0.23422
389.00	0.23789
390.00	0.24061
391.00	0.24331
392.00	0.24838
393.00	0.25612
394.00	0.26936
395.00	0.28777
396.00	0.31038
397.00	0.33895
398.00	0.37237
399.00	0.40906
400.00	0.45092
401.00	0.50007
402.00	0.55778
403.00	0.62506
404.00	0.70208
405.00	0.78863
406.00	0.87153
407.00	0.94607
408.00	0.99492
409.00	1.00000
410.00	0.95522
411.00	0.86379
412.00	0.74226
413.00	0.61143
414.00	0.49208
415.00	0.38410
416.00	0.29879
417.00	0.23283
418.00	0.18367
419.00	0.14869
420.00	0.12279
421.00	0.10418
422.00	0.091174
423.00	0.081984
424.00	0.074529
425.00	0.069181
426.00	0.065245
427.00	0.061340
428.00	0.058727
429.00	0.056249
430.00	0.053989
431.00	0.052813
432.00	0.052101
433.00	0.050559
434.00	0.048600
435.00	0.047850
436.00	0.046474
437.00	0.045359
438.00	0.044514
439.00	0.043157
440.00	0.042483
441.00	0.041109
442.00	0.040657
443.00	0.039772
444.00	0.039375
445.00	0.038481
446.00	0.037764
447.00	0.037593
448.00	0.036810
449.00	0.036076
450.00	0.035917
451.00	0.035406
452.00	0.034587
453.00	0.034743
454.00	0.034255
455.00	0.033507
456.00	0.033440
457.00	0.033385
458.00	0.032449
459.00	0.032039
460.00	0.031958
461.00	0.031862
462.00	0.031486
463.00	0.030985
464.00	0.030572
465.00	0.030231
466.00	0.029739
467.00	0.029954
468.00	0.029312
469.00	0.028991
470.00	0.028662
471.00	0.028253
472.00	0.027438
473.00	0.026423
474.00	0.026124
475.00	0.025708
476.00	0.025174
477.00	0.024923
478.00	0.024630
479.00	0.023763
480.00	0.023625
481.00	0.023209
482.00	0.022610
483.00	0.022845
484.00	0.022514
485.00	0.022307
486.00	0.021054
487.00	0.021627
488.00	0.022891
489.00	0.021761
490.00	0.021899
491.00	0.021464
492.00	0.021613
493.00	0.021359
494.00	0.021649
495.00	0.021403
496.00	0.021131
497.00	0.020925
498.00	0.021342
499.00	0.021275
500.00	0.021143
501.00	0.021352
502.00	0.021369
503.00	0.021081
504.00	0.021238
505.00	0.020777
506.00	0.020997
507.00	0.020888
508.00	0.020771
509.00	0.020509
510.00	0.020653
511.00	0.020826
512.00	0.020982
513.00	0.021262
514.00	0.021488
515.00	0.021728
516.00	0.022289
517.00	0.022771
518.00	0.023537
519.00	0.024234
520.00	0.025531
521.00	0.026404
522.00	0.027529
523.00	0.028877
524.00	0.030433
525.00	0.031631
526.00	0.033228
527.00	0.034755
528.00	0.036393
529.00	0.038455
530.00	0.040328
531.00	0.042330
532.00	0.044234
533.00	0.046346
534.00	0.048200
535.00	0.050002
536.00	0.051453
537.00	0.052724
538.00	0.053287
539.00	0.053448
540.00	0.052898
541.00	0.051733
542.00	0.049852
543.00	0.047373
544.00	0.044583
545.00	0.041246
546.00	0.038333
547.00	0.035251
548.00	0.032804
549.00	0.030504
550.00	0.028463
551.00	0.026465
552.00	0.024797
553.00	0.023271
554.00	0.022102
555.00	0.021012
556.00	0.020070
557.00	0.019609
558.00	0.019110
559.00	0.018634
560.00	0.018758
561.00	0.019099
562.00	0.019402
563.00	0.020431
564.00	0.021446
565.00	0.023020
566.00	0.024675
567.00	0.026732
568.00	0.028936
569.00	0.031359
570.00	0.033558
571.00	0.035945
572.00	0.037977
573.00	0.039492
574.00	0.040338
575.00	0.040807
576.00	0.040300
577.00	0.039274
578.00	0.037099
579.00	0.035044
580.00	0.031396
581.00	0.027848
582.00	0.024297
583.00	0.021679
584.00	0.017773
585.00	0.014290
586.00	0.012438
587.00	0.010374
588.00	0.0086089
589.00	0.0080716
590.00	0.0069217
591.00	0.0060654
592.00	0.0053437
593.00	0.0042483
594.00	0.0043796
595.00	0.0043163
596.00	0.0042786
597.00	0.0040370
598.00	0.0036514
599.00	0.0034060
600.00	0.0036500
601.00	0.0035774
602.00	0.0034862
603.00	0.0031465
604.00	0.0034412
605.00	0.0031576
606.00	0.0030094
607.00	0.0030918
608.00	0.0031216
609.00	0.0031394
610.00	0.0031170
611.00	0.0030293
612.00	0.0027000
613.00	0.0029046
614.00	0.0027401
615.00	0.0026739
616.00	0.0025889
617.00	0.0027098
618.00	0.0025485
619.00	0.0028787
620.00	0.0027019
621.00	0.0027450
622.00	0.0024813
623.00	0.0026331
624.00	0.0029942
625.00	0.0027665
626.00	0.0026735
627.00	0.0025671
628.00	0.0025369
629.00	0.0027126
630.00	0.0026671
631.00	0.0025674
632.00	0.0026011
633.00	0.0025729
634.00	0.0027549
635.00	0.0026843
636.00	0.0024319
