Wavelength (nm)	Fe(III) UroP I (in 0.1 M MOPS).abs
300.00	0.097344
301.00	0.097344
302.00	0.097661
303.00	0.098399
304.00	0.099256
305.00	0.10038
306.00	0.10154
307.00	0.10271
308.00	0.10400
309.00	0.10491
310.00	0.10635
311.00	0.10828
312.00	0.10968
313.00	0.11149
314.00	0.11327
315.00	0.11519
316.00	0.11684
317.00	0.11872
318.00	0.12100
319.00	0.12293
320.00	0.12509
321.00	0.12740
322.00	0.12940
323.00	0.13111
324.00	0.13346
325.00	0.13557
326.00	0.13770
327.00	0.13982
328.00	0.14214
329.00	0.14402
330.00	0.14622
331.00	0.14834
332.00	0.15068
333.00	0.15295
334.00	0.15527
335.00	0.15776
336.00	0.16028
337.00	0.16272
338.00	0.16523
339.00	0.16796
340.00	0.17088
341.00	0.17366
342.00	0.17651
343.00	0.17930
344.00	0.18204
345.00	0.18471
346.00	0.18710
347.00	0.18942
348.00	0.19182
349.00	0.19422
350.00	0.19656
351.00	0.19880
352.00	0.20134
353.00	0.20392
354.00	0.20641
355.00	0.20929
356.00	0.21221
357.00	0.21560
358.00	0.21943
359.00	0.22331
360.00	0.22837
361.00	0.23402
362.00	0.24073
363.00	0.24797
364.00	0.25628
365.00	0.26645
366.00	0.27746
367.00	0.28916
368.00	0.30221
369.00	0.31635
370.00	0.33133
371.00	0.34732
372.00	0.36356
373.00	0.38020
374.00	0.39688
375.00	0.41382
376.00	0.43147
377.00	0.44964
378.00	0.46872
379.00	0.48951
380.00	0.51140
381.00	0.53695
382.00	0.56634
383.00	0.59663
384.00	0.63051
385.00	0.66861
386.00	0.70945
387.00	0.75463
388.00	0.80261
389.00	0.85001
390.00	0.89890
391.00	0.94373
392.00	0.97987
393.00	1.00000
394.00	0.99990
395.00	0.97836
396.00	0.93478
397.00	0.87159
398.00	0.79940
399.00	0.72502
400.00	0.65149
401.00	0.58180
402.00	0.51854
403.00	0.46356
404.00	0.41618
405.00	0.37530
406.00	0.34212
407.00	0.31300
408.00	0.28645
409.00	0.26268
410.00	0.24108
411.00	0.22008
412.00	0.20050
413.00	0.18225
414.00	0.16695
415.00	0.15283
416.00	0.14055
417.00	0.12966
418.00	0.12022
419.00	0.11213
420.00	0.10490
421.00	0.098302
422.00	0.092626
423.00	0.087643
424.00	0.083097
425.00	0.078845
426.00	0.075473
427.00	0.071516
428.00	0.068838
429.00	0.065734
430.00	0.063261
431.00	0.061022
432.00	0.059294
433.00	0.057132
434.00	0.055218
435.00	0.053671
436.00	0.052416
437.00	0.051099
438.00	0.049968
439.00	0.048969
440.00	0.047822
441.00	0.046922
442.00	0.046180
443.00	0.045595
444.00	0.044946
445.00	0.044536
446.00	0.044093
447.00	0.043822
448.00	0.043391
449.00	0.043457
450.00	0.043076
451.00	0.043104
452.00	0.042759
453.00	0.042574
454.00	0.042403
455.00	0.042435
456.00	0.042227
457.00	0.042074
458.00	0.041918
459.00	0.041693
460.00	0.041745
461.00	0.041521
462.00	0.041422
463.00	0.041307
464.00	0.041136
465.00	0.041259
466.00	0.040977
467.00	0.041164
468.00	0.041007
469.00	0.040892
470.00	0.041057
471.00	0.041118
472.00	0.041142
473.00	0.041295
474.00	0.041332
475.00	0.041729
476.00	0.041751
477.00	0.042197
478.00	0.042647
479.00	0.042497
480.00	0.043008
481.00	0.043201
482.00	0.043661
483.00	0.043911
484.00	0.044304
485.00	0.044371
486.00	0.044960
487.00	0.045232
488.00	0.046003
489.00	0.045857
490.00	0.045807
491.00	0.046212
492.00	0.046224
493.00	0.046333
494.00	0.046614
495.00	0.046640
496.00	0.046422
497.00	0.046499
498.00	0.046493
499.00	0.046311
500.00	0.046114
501.00	0.045811
502.00	0.045375
503.00	0.044899
504.00	0.044502
505.00	0.043978
506.00	0.043532
507.00	0.042911
508.00	0.042324
509.00	0.041626
510.00	0.040739
511.00	0.040470
512.00	0.039823
513.00	0.039161
514.00	0.038328
515.00	0.037828
516.00	0.037167
517.00	0.036584
518.00	0.036001
519.00	0.035898
520.00	0.035279
521.00	0.034900
522.00	0.034394
523.00	0.034141
524.00	0.033942
525.00	0.033754
526.00	0.033315
527.00	0.033097
528.00	0.032802
529.00	0.032449
530.00	0.032294
531.00	0.031975
532.00	0.031532
533.00	0.031112
534.00	0.031146
535.00	0.030630
536.00	0.030346
537.00	0.029698
538.00	0.028867
539.00	0.028282
540.00	0.027677
541.00	0.027008
542.00	0.026009
543.00	0.025314
544.00	0.024372
545.00	0.023722
546.00	0.022940
547.00	0.022167
548.00	0.021469
549.00	0.021000
550.00	0.020399
551.00	0.019848
552.00	0.019551
553.00	0.019131
554.00	0.018842
555.00	0.018813
556.00	0.018537
557.00	0.018452
558.00	0.018283
559.00	0.018189
560.00	0.018257
561.00	0.018090
562.00	0.018034
563.00	0.018123
564.00	0.017999
565.00	0.018115
566.00	0.018111
567.00	0.017939
568.00	0.018028
569.00	0.017988
570.00	0.018029
571.00	0.018045
572.00	0.017974
573.00	0.017774
574.00	0.017727
575.00	0.017651
576.00	0.017360
577.00	0.017111
578.00	0.017072
579.00	0.016724
580.00	0.016541
581.00	0.016048
582.00	0.015972
583.00	0.015792
584.00	0.015448
585.00	0.015170
586.00	0.015023
587.00	0.014839
588.00	0.014778
589.00	0.014695
590.00	0.014606
591.00	0.014746
592.00	0.014704
593.00	0.014701
594.00	0.014709
595.00	0.015011
596.00	0.015147
597.00	0.015321
598.00	0.015663
599.00	0.015746
600.00	0.016032
601.00	0.016237
602.00	0.016638
603.00	0.016899
604.00	0.017122
605.00	0.017479
606.00	0.017806
607.00	0.018037
608.00	0.018248
609.00	0.018461
610.00	0.018825
611.00	0.018885
612.00	0.019127
613.00	0.019228
614.00	0.019275
615.00	0.019174
616.00	0.019269
617.00	0.019282
618.00	0.018965
619.00	0.019005
620.00	0.018603
621.00	0.018510
622.00	0.018425
623.00	0.018240
624.00	0.017865
625.00	0.017467
626.00	0.017081
627.00	0.016735
628.00	0.016172
629.00	0.015548
630.00	0.015010
631.00	0.014320
632.00	0.013619
633.00	0.012820
634.00	0.012299
635.00	0.011676
636.00	0.010946
637.00	0.010247
638.00	0.0095985
639.00	0.0090632
640.00	0.0083728
641.00	0.0079228
642.00	0.0072522
643.00	0.0068341
644.00	0.0063507
645.00	0.0058648
646.00	0.0055724
647.00	0.0052130
648.00	0.0043788
649.00	0.0042352
650.00	0.0040234
651.00	0.0036931
652.00	0.0034956
653.00	0.0030434
654.00	0.0030019
655.00	0.0029751
656.00	0.0029751
657.00	0.0029751
658.00	0.0028639
659.00	0.0020013
660.00	0.0018679
661.00	0.0016201
662.00	0.0015548
663.00	0.0015444
664.00	0.0013363
665.00	0.0012134
666.00	0.0013042
667.00	0.0010318
668.00	0.0011585
669.00	0.00096370
670.00	0.00077361
671.00	0.00086913
672.00	0.00078686
673.00	0.00077456
674.00	0.00073956
675.00	0.00063459
676.00	0.00061093
677.00	0.00064027
678.00	0.00062890
679.00	0.00057594
680.00	0.00046341
