Wavelength (nm)	"23, JHC 2005_161, MBV-DME CHCl3"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.22652
251.00	0.23046
252.00	0.23441
253.00	0.23803
254.00	0.24103
255.00	0.24403
256.00	0.24704
257.00	0.25004
258.00	0.25304
259.00	0.25767
260.00	0.26267
261.00	0.26768
262.00	0.27269
263.00	0.27770
264.00	0.28251
265.00	0.28725
266.00	0.29199
267.00	0.29672
268.00	0.30146
269.00	0.30679
270.00	0.31222
271.00	0.31766
272.00	0.32145
273.00	0.32502
274.00	0.32859
275.00	0.33154
276.00	0.33196
277.00	0.33239
278.00	0.33282
279.00	0.33325
280.00	0.33377
281.00	0.33517
282.00	0.33658
283.00	0.33799
284.00	0.33972
285.00	0.34277
286.00	0.34582
287.00	0.34943
288.00	0.35414
289.00	0.35885
290.00	0.36356
291.00	0.36762
292.00	0.37136
293.00	0.37511
294.00	0.37885
295.00	0.38260
296.00	0.38664
297.00	0.39252
298.00	0.39839
299.00	0.40426
300.00	0.40921
301.00	0.41395
302.00	0.41868
303.00	0.42063
304.00	0.42237
305.00	0.42411
306.00	0.42585
307.00	0.42744
308.00	0.42888
309.00	0.43032
310.00	0.42992
311.00	0.42840
312.00	0.42687
313.00	0.42535
314.00	0.42382
315.00	0.42364
316.00	0.42352
317.00	0.42340
318.00	0.42327
319.00	0.42327
320.00	0.42454
321.00	0.42581
322.00	0.42708
323.00	0.42835
324.00	0.43098
325.00	0.43381
326.00	0.43663
327.00	0.43945
328.00	0.44658
329.00	0.45423
330.00	0.46189
331.00	0.46995
332.00	0.47832
333.00	0.48669
334.00	0.49507
335.00	0.50344
336.00	0.51429
337.00	0.53259
338.00	0.55089
339.00	0.56873
340.00	0.58371
341.00	0.59869
342.00	0.61367
343.00	0.62866
344.00	0.64364
345.00	0.66264
346.00	0.68432
347.00	0.70600
348.00	0.72768
349.00	0.74904
350.00	0.76884
351.00	0.78865
352.00	0.80845
353.00	0.82826
354.00	0.84594
355.00	0.86288
356.00	0.87982
357.00	0.89676
358.00	0.91074
359.00	0.92374
360.00	0.93674
361.00	0.94974
362.00	0.96274
363.00	0.97063
364.00	0.97776
365.00	0.98489
366.00	0.99202
