Wavelength (nm)	"24, Perkin 1, 1982_1291, 4"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.23540
251.00	0.24014
252.00	0.24488
253.00	0.24948
254.00	0.25297
255.00	0.25646
256.00	0.25995
257.00	0.26345
258.00	0.26694
259.00	0.27043
260.00	0.27392
261.00	0.27741
262.00	0.28074
263.00	0.28405
264.00	0.28736
265.00	0.29067
266.00	0.29398
267.00	0.29729
268.00	0.30060
269.00	0.30391
270.00	0.30722
271.00	0.31034
272.00	0.31337
273.00	0.31640
274.00	0.31943
275.00	0.32246
276.00	0.32550
277.00	0.32853
278.00	0.33156
279.00	0.33459
280.00	0.33762
281.00	0.34065
282.00	0.34387
283.00	0.34744
284.00	0.35100
285.00	0.35457
286.00	0.35813
287.00	0.36170
288.00	0.36527
289.00	0.36883
290.00	0.37240
291.00	0.37592
292.00	0.37923
293.00	0.38253
294.00	0.38584
295.00	0.38915
296.00	0.39246
297.00	0.39577
298.00	0.39908
299.00	0.40239
300.00	0.40570
301.00	0.40805
302.00	0.41039
303.00	0.41274
304.00	0.41508
305.00	0.41743
306.00	0.41977
307.00	0.42212
308.00	0.42405
309.00	0.42525
310.00	0.42645
311.00	0.42765
312.00	0.42885
313.00	0.43005
314.00	0.43125
315.00	0.43244
316.00	0.43364
317.00	0.43484
318.00	0.43604
319.00	0.43913
320.00	0.44229
321.00	0.44545
322.00	0.44861
323.00	0.45178
324.00	0.45494
325.00	0.45810
326.00	0.46126
327.00	0.46449
328.00	0.46836
329.00	0.47224
330.00	0.47611
331.00	0.47998
332.00	0.48386
333.00	0.48773
334.00	0.49179
335.00	0.49943
336.00	0.50708
337.00	0.51472
338.00	0.52236
339.00	0.53000
340.00	0.53911
341.00	0.55286
342.00	0.56661
343.00	0.58132
344.00	0.60035
345.00	0.61939
346.00	0.63842
347.00	0.65712
348.00	0.67456
349.00	0.69200
350.00	0.70945
351.00	0.72689
352.00	0.74433
353.00	0.76293
354.00	0.79331
355.00	0.82368
356.00	0.85406
357.00	0.87601
358.00	0.89485
359.00	0.91370
360.00	0.93254
361.00	0.95007
362.00	0.95955
363.00	0.96903
364.00	0.97851
365.00	0.98511
366.00	0.99086
