Wavelength (nm)	"66, Inorg Chem 2001_5585, F1C"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.81169
301.00	0.82147
302.00	0.83097
303.00	0.84034
304.00	0.84936
305.00	0.85800
306.00	0.86663
307.00	0.87375
308.00	0.87699
309.00	0.88022
310.00	0.88345
311.00	0.88360
312.00	0.88013
313.00	0.87665
314.00	0.87318
315.00	0.86627
316.00	0.85733
317.00	0.84840
318.00	0.83667
319.00	0.82405
320.00	0.81143
321.00	0.79881
322.00	0.78717
323.00	0.77613
324.00	0.76509
325.00	0.75405
326.00	0.74301
327.00	0.73197
328.00	0.72096
329.00	0.70994
330.00	0.69901
331.00	0.69585
332.00	0.69270
333.00	0.68954
334.00	0.68639
335.00	0.68323
336.00	0.67881
337.00	0.67352
338.00	0.66822
339.00	0.66054
340.00	0.65194
341.00	0.64334
342.00	0.63901
343.00	0.63544
344.00	0.63186
345.00	0.63141
346.00	0.63255
347.00	0.63370
348.00	0.63485
349.00	0.63582
350.00	0.63663
351.00	0.63744
352.00	0.63823
353.00	0.63636
354.00	0.63450
355.00	0.63264
356.00	0.63078
357.00	0.62891
358.00	0.62224
359.00	0.61510
360.00	0.60795
361.00	0.60166
362.00	0.59570
363.00	0.58974
364.00	0.58378
365.00	0.57782
366.00	0.57336
367.00	0.56899
368.00	0.56463
369.00	0.56027
370.00	0.55638
371.00	0.55515
372.00	0.55393
373.00	0.55270
374.00	0.55147
375.00	0.55025
376.00	0.55152
377.00	0.55372
378.00	0.55592
379.00	0.55811
380.00	0.56031
381.00	0.56251
382.00	0.56540
383.00	0.56863
384.00	0.57185
385.00	0.57507
386.00	0.58081
387.00	0.58699
388.00	0.59317
