Wavelength (nm)	"77, JACS 2001_10554, 2"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.90675
301.00	0.91910
302.00	0.92985
303.00	0.93738
304.00	0.94490
305.00	0.95490
306.00	0.96662
307.00	0.97742
308.00	0.98715
309.00	0.99422
310.00	0.99615
311.00	0.99807
312.00	1.0000
313.00	0.99776
314.00	0.99552
315.00	0.99327
316.00	0.98683
317.00	0.97811
318.00	0.96939
319.00	0.95269
320.00	0.93520
321.00	0.91744
322.00	0.89843
323.00	0.87942
324.00	0.86022
325.00	0.84078
326.00	0.82134
327.00	0.80175
328.00	0.78070
329.00	0.75964
330.00	0.73870
331.00	0.72018
332.00	0.70166
333.00	0.68314
334.00	0.66808
335.00	0.65443
336.00	0.64079
337.00	0.62915
338.00	0.62093
339.00	0.61270
340.00	0.60448
341.00	0.59803
342.00	0.59411
343.00	0.59020
344.00	0.58629
345.00	0.58238
346.00	0.57846
347.00	0.57456
348.00	0.57099
349.00	0.56742
350.00	0.56385
351.00	0.56027
352.00	0.55670
353.00	0.55207
354.00	0.54662
355.00	0.54116
356.00	0.53570
357.00	0.53025
358.00	0.52404
359.00	0.51665
360.00	0.50926
361.00	0.50188
362.00	0.49450
363.00	0.48715
364.00	0.47981
365.00	0.47247
366.00	0.46513
367.00	0.45779
368.00	0.45197
369.00	0.44693
370.00	0.44189
371.00	0.43686
372.00	0.43182
373.00	0.42728
374.00	0.42326
375.00	0.41924
376.00	0.41522
377.00	0.41120
378.00	0.40947
379.00	0.40910
380.00	0.40872
381.00	0.40835
382.00	0.40797
383.00	0.40760
384.00	0.40769
385.00	0.40786
386.00	0.40803
387.00	0.40820
388.00	0.40837
389.00	0.40854
