Wavelength (nm)	"156, Chem Eur J 2008_4006, 2"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.45048
251.00	0.44822
252.00	0.44596
253.00	0.44370
254.00	0.44144
255.00	0.43919
256.00	0.43633
257.00	0.43319
258.00	0.43005
259.00	0.42690
260.00	0.42367
261.00	0.41999
262.00	0.41631
263.00	0.41263
264.00	0.40895
265.00	0.40528
266.00	0.40160
267.00	0.39792
268.00	0.39322
269.00	0.38798
270.00	0.38274
271.00	0.37749
272.00	0.37225
273.00	0.36701
274.00	0.36177
275.00	0.35526
276.00	0.34860
277.00	0.34194
278.00	0.33528
279.00	0.32862
280.00	0.32251
281.00	0.31802
282.00	0.31353
283.00	0.30904
284.00	0.30455
285.00	0.30005
286.00	0.29556
287.00	0.29107
288.00	0.28657
289.00	0.28204
290.00	0.27751
291.00	0.27298
292.00	0.26846
293.00	0.26393
294.00	0.25940
295.00	0.25487
296.00	0.25008
297.00	0.24524
298.00	0.24041
299.00	0.23557
300.00	0.23074
301.00	0.22590
302.00	0.22364
303.00	0.22188
304.00	0.22011
305.00	0.21834
306.00	0.21657
307.00	0.21480
308.00	0.21496
309.00	0.21552
310.00	0.21607
311.00	0.21663
312.00	0.21719
313.00	0.21774
314.00	0.21920
315.00	0.22176
316.00	0.22432
317.00	0.22688
318.00	0.22944
319.00	0.23232
320.00	0.23655
321.00	0.24079
322.00	0.24505
323.00	0.24937
324.00	0.25370
325.00	0.25802
326.00	0.26235
327.00	0.26667
328.00	0.27100
329.00	0.27532
330.00	0.27965
331.00	0.28428
332.00	0.29037
333.00	0.29646
334.00	0.30255
335.00	0.30864
336.00	0.31474
337.00	0.32083
338.00	0.32692
339.00	0.33301
340.00	0.34192
341.00	0.35110
342.00	0.36029
343.00	0.36947
344.00	0.37866
345.00	0.38784
346.00	0.39703
347.00	0.40621
348.00	0.41562
349.00	0.42560
350.00	0.43558
351.00	0.44557
352.00	0.45555
353.00	0.46554
354.00	0.47552
355.00	0.48551
356.00	0.49549
357.00	0.50547
358.00	0.51573
359.00	0.52794
360.00	0.54016
361.00	0.55238
362.00	0.56460
363.00	0.57682
364.00	0.58903
365.00	0.60485
366.00	0.62194
