Wavelength (nm)	"175, JOC 2011_6108, 2d"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.77441
301.00	0.76017
302.00	0.74593
303.00	0.73168
304.00	0.71976
305.00	0.70789
306.00	0.69602
307.00	0.68414
308.00	0.67287
309.00	0.66498
310.00	0.65710
311.00	0.64922
312.00	0.64134
313.00	0.63345
314.00	0.62557
315.00	0.61886
316.00	0.61343
317.00	0.60799
318.00	0.60256
319.00	0.59712
320.00	0.59169
321.00	0.58743
322.00	0.58435
323.00	0.58126
324.00	0.57818
325.00	0.57510
326.00	0.57201
327.00	0.56893
328.00	0.56653
329.00	0.56528
330.00	0.56404
331.00	0.56279
332.00	0.56154
333.00	0.56030
334.00	0.55905
335.00	0.55811
336.00	0.55751
337.00	0.55692
338.00	0.55632
339.00	0.55573
340.00	0.55513
341.00	0.55459
342.00	0.55523
343.00	0.55587
344.00	0.55651
345.00	0.55715
346.00	0.55779
347.00	0.55842
348.00	0.55888
349.00	0.55934
350.00	0.55980
351.00	0.56026
352.00	0.56072
353.00	0.56118
354.00	0.56343
355.00	0.56600
356.00	0.56857
357.00	0.57114
358.00	0.57370
359.00	0.57627
360.00	0.57884
361.00	0.58145
362.00	0.58547
363.00	0.58949
364.00	0.59350
365.00	0.59752
366.00	0.60154
367.00	0.60555
368.00	0.60969
369.00	0.61465
370.00	0.61960
371.00	0.62456
372.00	0.62951
373.00	0.63447
374.00	0.63955
375.00	0.64537
376.00	0.65119
377.00	0.65700
378.00	0.66282
379.00	0.66963
380.00	0.67725
381.00	0.68487
382.00	0.69249
383.00	0.70011
384.00	0.70780
385.00	0.71774
386.00	0.72768
387.00	0.73762
388.00	0.74756
389.00	0.75750
