Wavelength (nm)	"188, TL 2022_103_153977, 3a"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.67093
301.00	0.67100
302.00	0.67089
303.00	0.67061
304.00	0.67033
305.00	0.67005
306.00	0.66977
307.00	0.66988
308.00	0.67047
309.00	0.67107
310.00	0.67166
311.00	0.67225
312.00	0.67284
313.00	0.67398
314.00	0.67579
315.00	0.67761
316.00	0.67942
317.00	0.68124
318.00	0.68305
319.00	0.68607
320.00	0.68911
321.00	0.69216
322.00	0.69520
323.00	0.69824
324.00	0.70385
325.00	0.70986
326.00	0.71588
327.00	0.72190
328.00	0.72756
329.00	0.73301
330.00	0.73845
331.00	0.74389
332.00	0.74933
333.00	0.75497
334.00	0.76176
335.00	0.76856
336.00	0.77535
337.00	0.78214
338.00	0.79064
339.00	0.80048
340.00	0.81031
341.00	0.82015
342.00	0.83065
343.00	0.84147
344.00	0.85229
345.00	0.86311
346.00	0.87426
347.00	0.88560
348.00	0.89695
349.00	0.90830
350.00	0.91977
351.00	0.93134
352.00	0.94292
353.00	0.95335
354.00	0.96284
355.00	0.97234
356.00	0.98132
357.00	0.98812
358.00	0.99493
359.00	0.99697
360.00	0.99849
361.00	1.0000
362.00	0.99778
363.00	0.99555
364.00	0.99300
365.00	0.98620
366.00	0.97940
367.00	0.96851
368.00	0.95648
369.00	0.94445
370.00	0.92934
371.00	0.91217
372.00	0.89501
373.00	0.87765
374.00	0.86000
375.00	0.84234
376.00	0.82900
377.00	0.81695
378.00	0.80489
379.00	0.79284
380.00	0.78140
381.00	0.77004
382.00	0.75814
383.00	0.74608
384.00	0.73434
385.00	0.72332
386.00	0.71231
387.00	0.70194
388.00	0.69230
