Wavelength (nm)	"196, JOC 2014_2591, 9"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.49174
301.00	0.49881
302.00	0.50587
303.00	0.51294
304.00	0.52009
305.00	0.53013
306.00	0.54017
307.00	0.55021
308.00	0.56044
309.00	0.57072
310.00	0.58100
311.00	0.59129
312.00	0.60157
313.00	0.61319
314.00	0.62502
315.00	0.63685
316.00	0.64868
317.00	0.66052
318.00	0.67207
319.00	0.68361
320.00	0.69515
321.00	0.70669
322.00	0.71823
323.00	0.72838
324.00	0.73684
325.00	0.74529
326.00	0.75374
327.00	0.76219
328.00	0.77039
329.00	0.77704
330.00	0.78369
331.00	0.79034
332.00	0.79700
333.00	0.80219
334.00	0.80656
335.00	0.81093
336.00	0.81530
337.00	0.81944
338.00	0.82224
339.00	0.82503
340.00	0.82783
341.00	0.82982
342.00	0.83089
343.00	0.83197
344.00	0.83305
345.00	0.83191
346.00	0.83076
347.00	0.82962
348.00	0.82639
349.00	0.82238
350.00	0.81838
351.00	0.81311
352.00	0.80635
353.00	0.79960
354.00	0.79284
355.00	0.78548
356.00	0.77517
357.00	0.76487
358.00	0.75456
359.00	0.74425
360.00	0.73357
361.00	0.72186
362.00	0.71015
363.00	0.69844
364.00	0.68673
365.00	0.67502
366.00	0.66386
367.00	0.65288
368.00	0.64189
369.00	0.63091
370.00	0.61993
371.00	0.60894
372.00	0.60000
373.00	0.59225
374.00	0.58450
375.00	0.57676
376.00	0.56901
377.00	0.56236
378.00	0.55805
379.00	0.55374
380.00	0.54943
381.00	0.54739
382.00	0.54575
383.00	0.54412
384.00	0.54536
385.00	0.54663
386.00	0.54790
387.00	0.55001
388.00	0.55398
389.00	0.55795
