Wavelength (nm)	"202, Inorg Chem 2006_1463, 10"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.76949
301.00	0.77192
302.00	0.77435
303.00	0.77679
304.00	0.78089
305.00	0.78582
306.00	0.79075
307.00	0.79564
308.00	0.80038
309.00	0.80512
310.00	0.80986
311.00	0.81457
312.00	0.81880
313.00	0.82303
314.00	0.82726
315.00	0.83150
316.00	0.83594
317.00	0.84037
318.00	0.84481
319.00	0.84924
320.00	0.85368
321.00	0.85904
322.00	0.86450
323.00	0.86996
324.00	0.87541
325.00	0.88087
326.00	0.88632
327.00	0.89312
328.00	0.90161
329.00	0.91010
330.00	0.91860
331.00	0.92481
332.00	0.92969
333.00	0.93457
334.00	0.93943
335.00	0.94213
336.00	0.94483
337.00	0.94753
338.00	0.95015
339.00	0.95245
340.00	0.95475
341.00	0.95705
342.00	0.95754
343.00	0.95803
344.00	0.95852
345.00	0.95758
346.00	0.95664
347.00	0.95569
348.00	0.95218
349.00	0.94832
350.00	0.94446
351.00	0.93655
352.00	0.92636
353.00	0.91617
354.00	0.90334
355.00	0.89044
356.00	0.87631
357.00	0.85322
358.00	0.83128
359.00	0.81107
360.00	0.79411
361.00	0.77753
362.00	0.76645
363.00	0.76260
364.00	0.76517
365.00	0.76881
366.00	0.77343
367.00	0.77541
368.00	0.76988
369.00	0.75629
370.00	0.74184
371.00	0.72882
372.00	0.71983
373.00	0.71083
374.00	0.70425
375.00	0.69772
376.00	0.69119
377.00	0.68698
378.00	0.68292
379.00	0.67885
380.00	0.67542
381.00	0.67333
382.00	0.67123
383.00	0.66914
384.00	0.66704
385.00	0.66594
386.00	0.66517
387.00	0.66440
388.00	0.66363
